Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
1    1    2.22457           0.0               2.22457           0.0               *                 *                 
1    2    6.25723           0.0               *                 *                 *                 *                 
1    3    -1.6              0.1               *                 *                 *                 *                 
1    4    -0.2              0.13416           *                 *                 *                 *                 
1    5    -0.91196          0.26941           *                 *                 *                 *                 
2    1    *                 *                 5.49347           0.0               *                 *                 
2    2    20.57762          0.0               19.81386          0.0               *                 *                 
2    3    -0.735            0.02              20.67886          0.10198           *                 *                 
2    4    1.71045           0.02              22.58932          0.08944           *                 *                 
2    5    -0.40971          0.00756           23.09156          0.25424           *                 *                 
2    6    2.53476           0.00756           *                 *                 -3.45459          0.01824           
2    7    -1.25483          0.04682           *                 *                 12.02485          0.04687           
2    8    -0.19             0.10398           *                 *                 33.49847          0.09285           
3    1    *                 *                 -3.103            0.21213           *                 *                 
3    2    21.71562          0.21794           -1.965            0.05              *                 *                 
3    3    5.66332           0.05              4.43332           0.02              *                 *                 
3    4    7.25109           0.0               9.97396           5e-05             *                 *                 
3    5    2.03262           5e-05             12.41629          0.00756           *                 *                 
3    6    4.06222           0.00019           13.94375          0.00021           *                 *                 
3    7    -0.0264           0.01272           15.17217          0.04851           -5.7474           0.4002            
3    8    0.39569           0.01274           15.75786          0.09285           16.42469          0.04616           
3    9    -0.21             0.03              *                 *                 31.6715           0.03002           
3    10   0.1               0.07616           *                 *                 51.63541          0.07              
4    2    *                 *                 0.59282           0.0503            *                 *                 
4    3    10.67735          0.00545           5.60685           7e-05             *                 *                 
4    4    18.89864          8e-05             17.2544           4e-05             *                 *                 
4    5    1.66454           8e-05             16.88632          9e-05             *                 *                 
4    6    6.81228           5e-05             19.63639          0.0002            *                 *                 
4    7    0.50164           0.00025           20.16443          0.01272           *                 *                 
4    8    3.17072           0.00192           22.93947          0.00201           -6.83685          0.02408           
4    9    -0.51             0.01              22.63947          0.03169           10.54364          0.01394           
4    10   1.7759            0.13264           24.31536          0.14963           31.94672          0.13225           
4    11   -1.8              0.1               *                 *                 46.97021          0.1658            
4    12   0.45              0.14142           *                 *                 62.18413          0.1658            
5    2    *                 *                 -2.01255          0.02573           *                 *                 
5    3    12.8263           0.02517           0.1364            0.001             *                 *                 
5    4    18.5764           0.00135           -0.18585          0.0009            *                 *                 
5    5    8.4372            0.0009            6.58681           8e-05             *                 *                 
5    6    11.45422          2e-05             11.22875          8e-05             *                 *                 
5    7    3.36963           0.00132           14.09674          0.00134           *                 *                 
5    8    4.87877           0.00166           15.80478          0.00215           *                 *                 
5    9    0.96958           0.02124           17.28436          0.02353           -8.30072          0.04627           
5    10   2.77676           0.02987           18.28523          0.13391           12.39149          0.02527           
5    11   -0.08295          0.0146            20.00228          0.16761           26.43226          0.02594           
5    12   1.46751           0.20558           21.01979          0.26296           41.76462          0.2041            
5    13   -0.005            0.005             *                 *                 50.91952          0.20417           
5    14   0.09371           0.56364           *                 *                 61.25769          0.52536           
6    2    *                 *                 -0.09875          0.03107           *                 *                 
6    3    14.22461          0.01837           1.29957           0.00236           *                 *                 
6    4    21.28362          0.00214           4.00679           0.00091           *                 *                 
6    5    13.12059          9e-05             8.69018           6e-05             *                 *                 
6    6    18.72071          6e-05             15.95668          1e-05             *                 *                 
6    7    4.94631           0.0               17.53336          0.00132           *                 *                 
6    8    8.17643           0.0               20.83102          0.001             *                 *                 
6    9    1.21807           0.0008            21.07951          0.02123           -30.34223         0.06669           
6    10   4.25033           0.00367           22.55308          0.02133           -10.29264         0.02079           
6    11   0.73355           0.01773           23.36958          0.03009           4.53145           0.01737           
6    12   4.18395           0.03466           26.08602          0.2063            19.60165          0.03              
6    13   0.57683           0.0937            26.66785          0.22664           30.6617           0.09839           
6    14   2.98151           0.25074           29.55565          0.57375           44.54549          0.23062           
6    16   *                 *                 *                 *                 61.63592          0.23149           
7    3    *                 *                 -2.60008          0.40001           *                 *                 
7    4    22.56778          0.40265           -1.31592          0.04615           *                 *                 
7    5    15.03681          0.04616           0.6003            0.001             *                 *                 
7    6    20.0639           0.00104           1.94349           0.00027           *                 *                 
7    7    10.55338          0.00027           7.55056           0.0               *                 *                 
7    8    10.8333           0.0               10.20742          0.0               *                 *                 
7    9    2.48885           0.0023            11.47821          0.00244           *                 *                 
