Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
4    2    5.766542          4.860945          4.128503          2.782728          4.626261          3.645653          3.90009           3.45509           4.85409           *                 
4    4    -8.287774         -7.319815         -7.909654         -8.945095         -5.811912         -7.052407         -5.22737          -4.49637          -8.58337          -12.00737         
4    6    -1.870221         -0.416751         -0.130326         -2.206584         1.300779          0.342124          -0.35631          -0.29231          -1.22331          -7.26231          
4    8    1.468052          3.8757            4.856112          1.629323          3.939548          3.297531          *                 *                 *                 -3.07964          
6    4    6.996099          5.969409          6.278249          6.393927          5.619404          6.829434          3.13307           2.50407           7.13207           4.28107           
6    6    -4.258303         -4.908262         -4.561235         -4.30918          -4.383074         -2.594441         -2.92461          -4.03661          -2.85961          -4.07261          
6    8    -4.256124         -3.958276         -3.490847         -4.161711         -3.967635         -1.725316         -1.36555          -2.17955          -2.58955          -4.73655          
6    10   -0.809015         -0.354135         0.410698          -0.877257         -0.300084         0.861053          *                 *                 *                 -3.46231          
8    4    2.223843          2.212272          2.289783          3.347508          *                 2.802983          3.22833           3.32233           3.87833           4.61533           
8    6    2.98179           3.833783          4.146439          4.208203          2.858357          4.300853          4.71541           5.74041           4.80441           4.54441           
8    8    -3.261616         -2.190961         -1.786092         -1.847121         -3.264153         -0.4328           0.10016           1.38616           -0.13184          -0.41184          
8    10   -2.315784         -0.814794         -0.090102         -0.185269         -1.612341         1.838271          1.78841           2.77341           1.36741           0.35941           
8    12   -1.735943         -0.200351         0.929262          0.244965          -0.892098         2.647737          2.18734           3.01334           1.39434           -0.17066          
8    14   -2.71712          -0.769356         0.375561          -0.748905         -1.747977         1.64913           1.0276            0.8876            0.5746            -1.6574           
10   6    2.468728          1.735597          *                 *                 1.98765           *                 *                 *                 *                 *                 
10   8    4.103787          3.739981          3.123526          2.791063          4.421629          3.105175          0.97023           0.37823           1.52923           1.43523           
10   10   -5.961987         -5.773981         -5.942479         -5.542948         -4.482377         -4.027962         -5.63135          -4.87335          -5.87735          -6.74635          
10   12   -4.77298          -4.91508          -3.787225         -3.60057          -3.044144         -1.700495         -2.64312          -3.04512          -3.56812          -5.04312          
10   14   -3.367157         -2.358453         -1.988267         -1.937416         -0.160524         -0.168087         -2.01561          -2.57261          -2.87661          -4.01761          
10   16   -2.16065          -0.450736         -0.098773         -0.342663         1.307455          1.103891          -1.26173          -1.43473          -1.87673          -3.11873          
12   8    2.706519          1.624899          0.862495          1.032222          1.550338          0.911799          -0.46976          -0.90976          0.21924           0.50624           
12   10   3.998091          2.248929          3.024098          2.894421          2.77291           2.941494          2.19603           0.17903           2.35803           1.89103           
12   12   -2.594727         -3.267218         -2.793432         -3.098378         -2.829059         -2.271522         -2.59379          -4.05279          -2.62979          -2.24279          
12   14   -2.209107         -2.558957         -1.882051         -1.947976         -1.151578         -0.516933         -1.366            -1.658            -1.682            -2.037            
12   16   -2.92511          -2.544903         -2.124832         -2.28917          -1.264695         -0.97775          -1.61519          -1.65219          -2.67219          -3.24819          
12   18   -3.205793         -2.400162         -1.82103          -2.140933         -1.372392         -0.554366         -2.24321          -2.59521          -3.03321          -3.87821          
12   20   -2.86188          -1.66467          -0.993405         -1.594175         -0.988591         0.065011          -1.55875          -2.28275          -2.17675          -3.47275          
14   12   3.825482          3.716007          2.808997          3.060929          4.525975          2.83034           0.19299           1.22099           0.60499           0.45799           
14   14   -1.580043         -2.202896         -2.132998         -2.120083         -1.506342         -1.646154         -0.65116          -1.51516          -1.51716          -0.94916          
14   16   -1.003861         -1.474625         -1.157668         -0.999521         -0.521014         -0.050987         -1.66123          -2.18223          -1.46723          -1.59623          
14   18   -2.308545         -2.401036         -2.084801         -2.056196         -1.524858         -0.675898         -1.50918          -2.26118          -2.42818          -2.95718          
14   20   -1.84617          -1.660983         -1.130611         -1.321538         -0.925451         0.326277          -0.64893          -1.91293          -2.17193          -2.46193          
14   22   -1.726029         0.035582          0.863679          0.234908          0.937878          1.318703          0.25895           -0.59705          -0.62605          -1.58005          
16   14   3.883924          4.223586          3.831696          3.925525          3.716185          3.694977          0.09832           0.35132           0.91132           0.71932           
16   16   -1.009172         -0.428965         -1.072268         -0.419224         -0.484163         0.102012          -1.17771          -1.02071          -1.91971          -1.52871          
16   18   -0.993041         -0.036715         -0.729126         -0.067904         -0.221386         0.892632          -1.01882          -0.03282          -0.89682          -0.93682          
16   20   -1.787418         -0.440606         -1.022282         -0.563025         -0.772364         0.832075          -1.44225          -0.59925          -1.08225          -1.37125          
16   22   -1.774457         -0.09055          -0.552008         -0.127305         -0.344856         1.414202          -0.46363          0.23637           -0.49463          -0.98063          
16   24   -3.18992          -1.177794         -1.218772         -1.104185         -1.286116         0.770972          0.10476           -0.13424          -0.76524          -1.30124          
16   26   -3.682555         -1.874199         -1.422495         -1.663752         -1.880305         0.181229          -0.4685           -0.4055           -1.1775           -2.5345           
18   16   0.524752          2.258945          2.194277          2.166696          1.155339          2.365358          1.95454           2.88854           2.90654           2.71154           
18   18   -2.461152         -0.859277         -0.797016         -0.96757          -2.000894         -0.242486         0.03731           0.47831           -0.12069          -0.20969          
