Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,3,5.66341,0.05,5.66332,0.05,*,*,2.798064,2.93638,1.786548,2.188815,3.664077,3.126187,2.63244,*,*
3,5,2.03261,5e-05,2.03262,5e-05,*,*,1.09633,0.542144,*,1.423271,1.344148,2.068477,1.650081,*,*
5,3,13.01817,0.07072,12.8263,0.02517,*,*,9.799043,10.488155,9.574545,9.423758,11.367653,10.656133,*,*,*
5,5,8.43627,0.00106,8.4372,0.0009,*,*,7.529265,7.177172,6.743149,7.567175,7.940679,8.630992,8.282997,*,*
5,7,3.37035,0.00146,3.36963,0.00132,*,*,2.421439,2.569733,2.273004,3.12594,2.783747,3.46778,3.034474,*,*
5,9,0.9698,0.02124,0.96958,0.02124,*,*,*,*,*,*,*,*,*,*,*
7,3,*,*,*,*,*,*,14.82401,15.874804,15.300968,14.563772,16.339485,15.645428,*,*,*
7,5,15.0368,0.04617,15.03681,0.04616,*,*,13.021021,12.954587,12.565841,12.963454,13.707696,14.477687,14.177523,*,*
7,7,10.55338,0.00027,10.55338,0.00027,*,*,7.232557,7.687613,7.417736,7.903583,7.683775,8.689639,8.315014,*,*
7,9,2.4891,0.00262,2.48885,0.0023,*,*,3.68534,3.302043,2.539946,2.842735,3.699835,2.986352,2.582786,*,*
7,11,2.82822,0.02387,2.82823,0.02387,*,*,2.954487,2.191927,1.594431,2.171638,2.612161,2.950917,2.17782,*,*
7,13,2.16834,0.05796,2.1611,0.08058,*,*,2.42203,1.44447,1.044613,1.614326,1.951905,2.388807,1.710218,*,*
7,15,1.28381,0.21443,1.53843,0.24727,*,*,0.864444,0.021127,*,0.377698,0.72037,0.663538,0.340899,*,*
9,3,*,*,*,*,*,*,17.789999,19.014034,18.60726,17.326624,19.004461,18.063643,*,*,*
9,5,*,*,*,*,*,*,17.16627,17.369472,17.024609,16.832519,17.928348,18.358832,*,*,*
9,7,14.16644,0.13405,13.95782,0.01629,*,*,11.606972,12.257998,12.04876,12.335521,12.257695,13.567243,*,*,*
9,9,9.14932,0.00059,9.14991,0.00053,*,*,7.257406,7.143966,6.520811,6.892231,7.718929,7.45203,7.056788,7.51,9.91
9,11,6.60134,3e-05,6.60134,3e-05,*,*,6.568541,5.747954,5.483632,5.772434,6.264019,6.132079,5.936484,5.67,9.87
9,13,5.23039,0.01253,5.23034,0.01253,*,*,5.263263,4.680719,4.033931,4.402296,5.107094,4.521813,4.501956,4.64,3.41
9,15,3.84154,0.10748,3.81206,0.1032,*,*,3.353784,2.8316,2.47278,2.88989,3.186524,3.031805,2.727176,2.9,4.07
9,17,1.07225,0.19339,0.75661,0.1472,*,*,0.224195,0.325203,0.089936,0.632381,0.717786,0.47117,*,0.95,*
9,19,*,*,*,*,*,*,*,*,*,*,*,*,*,0.25,*
11,3,*,*,*,*,*,*,19.857445,21.050126,20.671626,19.104292,20.755232,19.553246,*,*,*
11,5,*,*,*,*,*,*,20.415902,20.791114,20.387968,19.745937,21.150661,21.023302,*,*,*
11,7,*,*,18.20654,1.00575,*,*,15.368607,16.166466,16.039538,16.064623,16.143839,17.445954,*,*,*
11,9,14.15041,0.01373,14.1501,0.01059,*,*,10.63864,10.550184,10.3574,10.794068,11.356507,11.67737,11.230467,12.92,14.36
11,11,11.06959,0.00081,11.0682,0.0002,*,*,9.883571,9.269524,9.174496,9.32229,9.820324,9.959986,9.646184,9.98,10.29
11,13,6.95958,8e-05,6.95937,2e-05,*,*,7.769625,7.539906,6.750689,7.082968,8.208665,7.28906,7.216511,6.57,6.61
11,15,5.57582,0.00595,5.57428,0.0037,*,*,5.717498,5.540925,5.133444,5.388065,5.70373,5.400597,5.147447,5.15,6.03
11,17,3.54313,0.0135,3.54184,0.0109,*,*,2.476226,2.793806,2.629463,2.996265,2.906041,2.891442,2.282254,3.66,3.35
11,19,2.37523,0.02833,2.27664,0.00873,*,*,1.602471,1.270712,1.270636,1.607691,1.792684,1.610958,1.421527,2.07,1.3
11,21,1.66161,0.41415,1.6772,0.03979,*,*,1.210715,*,*,*,0.138269,0.029962,*,1.38,0.42
11,23,*,*,0.17132,0.74948,*,*,0.791541,*,*,0.126047,0.318904,0.160561,*,0.67,0.32
11,25,*,*,*,*,*,*,0.006604,*,*,*,*,*,*,*,*
13,3,*,*,*,*,*,*,21.903571,22.899607,22.617741,20.867525,22.321881,20.972835,*,*,*
13,5,*,*,*,*,*,*,23.199848,23.71407,23.351301,22.411446,23.821331,23.502996,*,*,*
13,7,*,*,*,*,*,*,18.647076,19.541016,19.484335,19.209323,19.355539,20.544295,*,*,*
13,9,*,*,*,*,*,*,13.54426,13.638491,13.613417,13.893944,14.564296,14.817234,14.32268,16.12,18.62
13,11,14.89783,0.01885,14.86825,0.00042,*,*,12.710464,12.347477,12.333076,12.446411,13.0636,13.29043,12.948323,14.28,14.86
13,13,11.36545,0.00048,11.36549,7e-05,*,*,10.677369,10.403073,9.883949,10.212059,11.249967,10.69504,10.644692,10.98,12.24
13,15,7.7251,6e-05,7.7251,6e-05,*,*,8.084031,8.142898,7.697721,7.93694,8.305951,8.040485,7.741197,7.91,7.71
13,17,5.72841,0.0141,5.7284,0.00291,*,*,4.788879,5.810862,5.160246,5.399714,5.266184,5.471715,4.948852,5.21,5.4
13,19,4.17966,0.08832,4.21998,0.00751,*,*,3.793034,3.120811,3.686587,3.862092,3.980219,3.928231,3.870462,3.89,3.82
13,21,2.47443,0.13442,2.57423,0.00763,*,*,2.991395,1.95249,1.381097,1.862708,2.181148,1.811179,1.438692,2.81,2.51
13,23,2.15915,0.27704,1.89721,0.14969,*,*,2.538661,1.607725,1.601201,1.769623,1.904989,1.833668,1.678746,2.1,1.65
13,25,1.96705,0.80199,1.67102,0.41558,*,*,1.766364,0.773351,0.55758,0.907498,1.157194,0.913439,0.69487,1.34,0.82
13,27,*,*,*,*,*,*,1.090636,0.069289,*,0.238278,0.544159,0.384216,0.159124,1.93,*
13,29,*,*,*,*,*,*,0.445378,*,*,*,0.176987,*,*,*,0.09
13,31,*,*,*,*,*,*,0.166261,*,*,*,0.036683,*,*,*,*
15,3,*,*,*,*,*,*,23.53848,24.191565,24.042568,22.180807,23.388007,21.962718,*,*,*
15,5,*,*,*,*,*,*,25.575069,26.137216,25.966359,24.785581,25.94079,25.612441,*,*,*
15,7,*,*,*,*,*,*,21.315395,22.358764,22.347141,21.812064,21.94256,23.039864,*,*,*
15,9,*,*,*,*,*,*,15.79565,16.358592,16.164982,16.266758,17.194712,17.052903,*,18.95,21.86
15,11,*,*,*,*,*,*,15.076207,14.906229,14.939486,15.034577,15.801467,15.964992,15.677587,15.77,15.72
15,13,14.51304,0.02655,14.4966,0.02637,*,*,13.556485,13.203297,12.96353,13.236428,14.05063,14.023846,13.953578,14.86,14.99
15,15,11.31927,0.00068,11.31932,0.00036,*,*,10.384521,10.561671,10.078519,10.456119,10.843371,10.873285,10.459226,11.83,12.62
15,17,7.93565,4e-05,7.93565,4e-05,*,*,7.082894,8.263647,7.623972,7.781361,7.627991,8.072297,7.59088,7.28,6.91
15,19,6.2915,0.00512,6.28267,0.00136,*,*,5.952427,5.437827,6.065338,6.120485,6.200261,6.347464,6.346435,6.45,5.93
15,21,3.46455,0.01324,3.46455,0.01324,*,*,4.589434,4.002324,3.532005,3.875514,4.279752,3.718714,3.312076,4.82,3.52
15,23,3.83499,0.11013,3.69688,0.0819,*,*,4.108843,3.180666,3.207314,3.305953,3.468291,3.519277,3.524023,3.73,2.62
15,25,3.30442,0.17333,3.41105,0.19046,*,*,3.643786,2.597983,2.503578,2.675615,2.905293,2.638316,2.486565,3.23,2.08
15,27,1.85594,0.49641,2.08181,0.33656,*,*,2.906506,1.964416,1.624217,2.018253,2.313299,2.088398,1.929694,2.03,1.89
15,29,*,*,*,*,*,*,2.048327,1.23755,0.743609,1.257336,1.721552,1.295386,1.169883,1.34,1.46
15,31,*,*,*,*,*,*,1.433052,0.669359,*,0.829648,1.348335,0.930357,0.886014,0.25,0.12
15,33,*,*,*,*,*,*,*,*,*,*,0.213697,0.07655,*,*,*
17,3,*,*,*,*,*,*,24.232123,24.678561,24.697211,22.803684,23.819911,22.440348,*,*,*
17,5,*,*,*,*,*,*,27.03117,27.657726,27.654017,26.298732,27.223459,26.80737,*,*,*
17,7,*,*,*,*,*,*,23.321816,24.56999,24.615847,23.81535,23.877385,24.861103,*,*,*
17,9,*,*,*,*,*,*,17.791616,18.65284,18.53033,18.416713,19.216669,19.020229,*,20.97,20.24
17,11,*,*,*,*,*,*,17.162452,17.327421,17.275802,17.234758,18.081015,18.234271,*,19.01,18.37
17,13,*,*,*,*,*,*,15.798209,16.14602,15.427454,15.636761,16.419227,16.645081,*,16.84,17.39
17,15,14.33392,0.05043,14.37144,0.00349,*,*,12.550165,13.426072,12.314895,12.780816,13.16697,13.475629,13.022276,14.09,15.16
17,17,11.50766,0.00045,11.50806,0.00039,*,*,9.453536,10.188342,10.081091,10.175693,9.998315,10.708977,10.24081,10.98,11.6
17,19,8.57963,6e-05,8.57979,0.0,*,*,8.150562,8.269695,8.410542,8.394417,8.456762,8.848255,8.859595,8.57,8.58
17,21,6.10788,8e-05,6.10788,8e-05,*,*,6.529776,6.082825,5.655335,5.978045,6.409767,5.923704,5.53283,6.81,6.65
17,23,5.82892,0.03211,5.82893,0.03211,*,*,5.846327,5.049719,5.007065,5.101186,5.410525,5.305829,5.44584,5.14,5.65
17,25,5.67712,0.15934,5.5959,0.09098,*,*,5.510344,4.430412,4.42852,4.48059,4.751411,4.527359,4.500105,4.84,4.26
17,27,4.1342,0.19089,4.29633,0.1497,*,*,4.612929,3.680147,3.420087,3.683387,4.009783,3.721532,3.702787,3.84,3.83
17,29,4.41692,0.72794,3.66817,0.24916,*,*,3.569607,2.962771,2.318054,2.879047,3.401452,2.930804,2.87514,2.77,3.11
17,31,*,*,*,*,*,*,2.661386,2.085666,1.369687,2.098135,2.556783,2.229852,2.030446,1.67,2.02
17,33,*,*,*,*,*,*,0.911187,0.642166,0.283115,0.77348,1.170095,0.968612,0.125619,1.07,0.78
17,35,*,*,*,*,*,*,*,*,*,*,0.034216,*,*,0.2,*
19,3,*,*,*,*,*,*,24.174265,24.661728,24.835292,22.98224,23.897757,22.647992,*,*,*
19,5,*,*,*,*,*,*,27.573672,28.257884,28.374567,26.921021,27.770588,27.245859,*,*,*
19,7,*,*,*,*,*,*,24.71381,26.093909,26.253003,25.180194,25.147429,25.927587,*,*,*
19,9,*,*,*,*,*,*,19.498052,20.542556,20.559689,20.180759,20.773879,20.618689,*,*,*
19,11,*,*,*,*,*,*,19.142578,19.506064,19.543524,19.284447,20.046693,20.251824,*,21.56,21.0
19,13,*,*,*,*,*,*,17.850757,18.387317,17.702682,17.8052,18.550169,18.930123,*,19.02,20.3
19,15,*,*,*,*,*,*,14.626623,15.67801,14.585186,14.989253,15.302429,15.849254,15.41316,16.09,18.09
19,17,14.32859,0.02146,14.31549,0.00062,*,*,11.876272,12.605867,12.515008,12.553276,12.378516,13.330644,12.873255,14.14,13.15
19,19,12.07181,0.00046,12.07187,0.00022,*,*,10.427597,10.609478,10.742917,10.701933,10.747099,11.386533,11.395389,11.43,10.51
19,21,7.79951,7e-05,7.79962,6e-05,*,*,8.493782,8.144604,7.773256,8.078605,8.534489,8.166583,7.801428,8.69,7.14
19,23,7.5338,0.00011,7.5338,0.00011,*,*,7.777224,7.058751,6.890779,7.06184,7.494555,7.251164,7.262498,7.39,6.92
19,25,7.28768,0.03688,7.27742,0.00059,*,*,7.347676,6.289276,6.347247,6.338017,6.670689,6.507826,6.630752,6.59,6.35
19,27,6.88145,0.01849,6.8696,0.00089,*,*,6.426205,5.435294,5.319828,5.433415,5.796767,5.536581,5.706557,5.5,5.63
19,29,4.49898,0.02472,4.64382,0.0016,*,*,4.931939,4.612711,3.787091,4.433647,4.933637,4.527568,4.483048,4.15,4.94
19,31,3.10419,0.28707,4.18767,0.00777,*,*,3.865727,3.486669,2.827714,3.275149,3.760909,3.460602,3.22858,2.76,3.31
19,33,*,*,2.69275,0.03598,*,*,2.041782,1.991136,1.564877,1.927197,2.250548,1.993654,1.099575,2.14,2.29
19,35,*,*,*,*,*,*,0.980385,0.929111,0.725444,1.103429,1.369914,1.002444,0.303211,1.07,1.22
19,37,*,*,*,*,*,*,0.603597,0.334502,0.412294,0.710388,1.045625,0.633591,0.172308,1.06,0.32
19,39,*,*,*,*,*,*,0.324955,*,*,0.09029,0.432101,0.035476,*,*,*
19,41,*,*,*,*,*,*,0.024016,*,*,*,*,*,*,0.06,*
19,43,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.29
19,47,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2.09
21,3,*,*,*,*,*,*,23.888778,24.519684,24.80892,23.042991,23.898624,22.819488,*,*,*
21,5,*,*,*,*,*,*,27.781807,28.464662,28.644604,27.14178,27.975663,27.398348,*,*,*
21,7,*,*,*,*,*,*,25.517201,26.960838,27.21145,25.939283,25.859136,26.483688,*,*,*
21,9,*,*,*,*,*,*,21.210777,21.937184,21.905999,21.278434,21.895978,21.631702,*,*,*
21,11,*,*,*,*,*,*,21.035432,21.454723,21.631814,21.189881,21.828407,22.022965,*,*,*
21,13,*,*,*,*,*,*,19.183668,19.660177,19.648337,19.566292,20.321942,20.540309,*,20.8,17.73
21,15,*,*,*,*,*,*,16.542949,17.223427,16.748368,17.043193,17.339921,17.94684,*,18.23,25.54
21,17,*,*,*,*,*,*,14.085663,14.857174,14.781704,14.78411,14.644255,15.734871,*,16.3,15.4
21,19,14.42652,0.02417,14.42194,0.02417,*,*,12.562561,12.797267,12.965912,12.898541,12.960209,13.774372,13.756181,14.27,13.92
21,21,11.55016,0.00016,11.55006,0.00016,*,*,10.326669,10.078138,9.785776,10.093406,10.568969,10.310425,9.885533,11.29,11.51
21,23,9.69948,0.00255,9.6992,0.00255,*,*,9.601142,8.971524,8.851745,9.044313,9.495174,9.364278,9.411895,9.36,8.37
21,25,8.76064,0.0001,8.76064,0.0001,*,*,9.142137,8.137791,8.269366,8.238885,8.631863,8.474484,8.511424,8.03,8.18
21,27,8.2353,0.00554,8.23856,0.00531,*,*,8.112746,7.165971,7.110849,7.147958,7.561782,7.356372,7.521813,7.17,7.67
21,29,6.05583,0.01528,6.05743,0.01524,*,*,6.166262,6.143294,5.202941,5.836264,6.352608,5.930762,5.852207,5.5,6.3
21,31,5.20967,0.19435,5.28591,0.08426,*,*,5.071037,4.865039,4.176178,4.500372,4.987544,4.66567,4.48848,4.11,4.78
21,33,*,*,3.05541,0.28857,*,*,3.22305,3.353078,2.89922,3.168161,3.403033,3.134049,2.237733,3.01,3.59
21,35,*,*,2.76422,0.74217,*,*,2.337221,2.380441,2.152679,2.454128,2.675233,2.392678,1.710057,2.74,2.43
21,37,*,*,*,*,*,*,1.970662,1.780646,1.846077,2.064774,2.30201,2.00823,1.630978,2.24,1.64
21,39,*,*,*,*,*,*,1.655834,1.104096,1.218749,1.416781,1.672781,1.346271,1.264763,1.76,1.28
21,41,*,*,*,*,*,*,1.302776,0.378984,0.087433,0.477539,0.708412,0.319963,0.105127,1.08,0.1
21,43,*,*,*,*,*,*,1.062616,*,*,*,0.138141,*,*,0.78,*
21,45,*,*,*,*,*,*,0.992925,*,*,*,0.083957,*,*,0.43,*
21,47,*,*,*,*,*,*,0.645488,*,*,*,*,*,*,0.16,*
21,49,*,*,*,*,*,*,0.246893,*,*,*,*,*,*,0.0,*
23,3,*,*,*,*,*,*,23.750633,24.540298,24.871739,23.269203,24.058689,23.215804,*,*,*
23,5,*,*,*,*,*,*,27.867197,28.568733,28.777693,27.24524,28.073099,27.513373,*,*,*
23,7,*,*,*,*,*,*,25.850705,27.313692,27.578053,26.236827,26.161513,26.766844,*,*,*
23,9,*,*,*,*,*,*,22.810689,23.068156,23.037369,22.119635,22.81571,22.265792,*,*,*
23,11,*,*,*,*,*,*,22.721687,23.140614,23.441374,22.781605,23.372897,23.463004,*,*,*
23,13,*,*,*,*,*,*,20.281039,21.070612,21.137298,20.887987,21.616789,21.63426,*,*,*
23,15,*,*,*,*,*,*,18.246368,18.975818,18.661203,18.795539,19.105898,19.78265,*,19.86,18.14
23,17,*,*,*,*,*,*,15.903584,16.792074,16.592524,16.616005,16.73801,17.561012,*,17.99,18.33
23,19,*,*,*,*,*,*,14.522473,14.835871,15.054133,14.944409,15.058929,15.958418,*,16.4,16.33
23,21,*,*,14.27134,0.18663,*,*,12.010416,11.874409,11.673322,12.007085,12.498756,12.357329,12.01286,13.9,13.93
23,23,13.2647,0.01704,13.26065,0.00086,*,*,11.758633,11.118948,11.223878,11.292886,11.620852,11.819788,11.758694,11.4,11.52
23,25,10.54465,0.00243,10.54239,0.00098,*,*,10.629654,9.869949,9.924874,9.966415,10.444087,10.255528,10.139229,10.03,9.1
23,27,9.33593,0.00128,9.3334,0.00092,*,*,9.368046,8.662174,8.538143,8.628458,9.153026,8.870874,8.937328,8.97,8.71
23,29,7.31124,0.00013,7.31124,0.00013,*,*,7.354697,7.496782,6.654172,7.171184,7.733097,7.225232,7.09764,6.99,7.56
23,31,6.11343,0.01532,6.11343,0.01532,*,*,6.285774,6.220113,5.470533,5.769474,6.24377,5.890716,5.74779,5.53,5.74
23,33,4.99993,0.22743,5.08161,0.20084,*,*,4.411677,4.710071,4.259504,4.457654,4.61535,4.493891,3.804909,4.69,4.88
23,35,4.09132,0.34022,4.05962,0.12027,*,*,3.682483,3.765429,3.470014,3.783885,3.943797,3.687925,3.119238,4.26,3.61
23,37,3.58202,0.56554,3.48126,0.27326,*,*,3.507822,3.14419,3.236668,3.380244,3.558329,3.320566,2.950517,3.41,3.33
23,39,*,*,*,*,*,*,3.085171,2.407654,2.605302,2.729474,2.918491,2.65713,2.580574,3.07,2.51
23,41,*,*,*,*,*,*,2.677673,1.668491,1.415201,1.771385,1.982487,1.692058,1.587121,2.17,1.88
23,43,*,*,*,*,*,*,2.304931,1.372084,1.004012,1.41197,1.547694,1.569776,1.509066,1.85,1.72
23,45,*,*,*,*,*,*,2.089977,0.926222,0.991528,1.195113,1.436914,1.110931,1.027783,1.58,1.08
23,47,*,*,*,*,*,*,1.591082,0.400878,0.364324,0.57181,0.824129,0.588587,0.464265,1.33,0.95
23,49,*,*,*,*,*,*,1.152434,*,*,0.07628,0.340237,0.150227,0.052875,1.23,0.52
23,51,*,*,*,*,*,*,0.439309,*,*,*,*,*,*,*,0.29
23,53,*,*,*,*,*,*,0.122338,*,*,*,*,*,*,*,*
23,55,*,*,*,*,*,*,0.003173,*,*,*,*,*,*,*,*
25,3,*,*,*,*,*,*,23.860986,24.825236,25.056269,23.765754,24.426027,23.915256,*,*,*
25,5,*,*,*,*,*,*,27.933382,28.619242,28.892878,27.34807,28.160732,27.700652,*,*,*
25,7,*,*,*,*,*,*,26.095591,27.491867,27.756609,26.378831,26.361479,26.961802,*,*,*
25,9,*,*,*,*,*,*,23.906298,23.99,24.154321,22.944445,23.615772,22.779979,*,*,*
25,11,*,*,*,*,*,*,24.191234,24.600136,24.946928,24.032294,24.626988,24.520543,*,*,*
25,13,*,*,*,*,*,*,21.715057,22.471938,22.558168,22.17277,22.815148,22.840043,*,*,*
25,15,*,*,*,*,*,*,19.797224,20.559641,20.445574,20.362437,20.616668,21.282483,*,*,*
25,17,*,*,*,*,*,*,17.528448,18.458452,18.16782,18.176911,18.526854,19.101911,*,19.59,20.12
25,19,*,*,*,*,*,*,16.426026,16.794708,17.03763,16.852704,17.034086,17.880198,*,17.58,18.83
25,21,*,*,*,*,*,*,13.634143,13.604628,13.491289,13.856462,14.343354,14.357898,14.005636,15.38,16.21
25,23,*,*,14.80128,0.03242,*,*,13.732418,13.211607,13.416419,13.405518,13.673688,14.050341,13.770274,13.81,14.09
25,25,13.08255,0.02402,13.07828,0.00221,*,*,12.108817,11.5277,11.541516,11.642234,12.173901,12.024446,11.890261,12.32,12.56
25,27,10.53542,0.00204,10.53472,0.0019,*,*,10.645731,10.11652,9.941994,10.11621,10.752474,10.379078,10.434196,10.62,9.98
25,29,8.93878,0.00106,8.93883,0.00106,*,*,8.557834,8.864302,8.136225,8.52297,9.100372,8.555091,8.388673,8.32,8.6
25,31,7.27045,0.00013,7.27044,0.00013,*,*,7.50043,7.562177,6.800317,7.068145,7.524519,7.245325,7.016445,7.48,7.02
25,33,6.49134,0.03006,6.41263,0.00309,*,*,5.657284,6.06257,5.65939,5.860049,5.90865,5.970964,5.507419,6.17,6.22
25,35,5.76959,0.09115,5.51393,0.00329,*,*,5.024061,5.138063,4.79291,5.06737,5.254625,4.986788,4.547521,5.23,5.14
25,37,4.55439,0.31892,4.85315,0.00694,*,*,4.820462,4.496437,4.58534,4.693117,4.836058,4.572219,4.176149,4.5,4.46
25,39,4.33686,0.37134,4.1733,0.00514,*,*,4.467524,3.748945,3.976997,4.01713,4.186952,3.978116,3.946817,4.29,4.02
25,41,*,*,3.85437,0.01178,*,*,4.022445,2.954002,2.734788,3.062767,3.267509,3.006307,2.873453,3.39,3.69
25,43,*,*,*,*,*,*,3.555919,2.656969,2.306771,2.64385,2.818123,2.899811,2.773352,2.96,2.61
25,45,*,*,*,*,*,*,3.120863,2.243607,2.481252,2.48477,2.636904,2.271733,2.24477,2.81,2.32
25,47,*,*,*,*,*,*,2.61811,1.51557,1.380303,1.644882,1.863011,1.612412,1.517928,2.32,1.76
25,49,*,*,*,*,*,*,2.173245,0.934949,1.01556,1.040555,1.265994,1.034425,1.039536,2.2,1.32
25,51,*,*,*,*,*,*,1.091665,0.418208,*,0.511891,0.80555,0.60664,0.527324,0.19,1.1
25,53,*,*,*,*,*,*,0.819392,*,*,0.146559,0.494016,0.371977,0.348641,*,*
25,55,*,*,*,*,*,*,0.486028,*,*,0.089397,0.378437,0.321718,0.395094,*,*
25,57,*,*,*,*,*,*,0.119256,*,*,*,0.199551,0.193649,*,*,*
27,3,*,*,*,*,*,*,23.924414,24.994402,25.126303,24.040532,24.590159,24.326162,*,*,*
