Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         FDRM2012(MeV)     HFB24(MeV)        
2    4    0.97244           0.97545           *                 0.00076           5e-05             *                 7.168914          6.175707          5.43824           3.987916          5.298802          4.53857           5.723             5.379             6.76              2.737             *                 *                 
2    6    2.1397            2.12505           *                 0.00691           0.0001            *                 2.540308          0.97832           0.402399          1.442764          0.772771          1.365737          1.156             1.262             2.532             2.028             *                 *                 
2    8    -1.06853          -1.44483          *                 0.07034           0.09285           *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.075             *                 *                 
4    4    29.57591          29.576            *                 0.00545           0.00545           *                 21.718058         22.598407         22.003544         20.863552         23.464089         22.44397          25.199            26.031            21.926            *                 *                 *                 
4    6    8.47764           8.47682           *                 0.0004            9e-05             *                 15.295801         14.219324         14.519667         14.519215         14.223402         15.098209         12.365            11.804            16.23             13.111            *                 *                 
4    8    3.6728            3.67236           *                 0.015             0.00191           *                 5.977038          5.794539          6.157269          6.977888          5.306878          6.376236          7.272             8.084             8.552             8.999             *                 *                 
4    10   1.26464           1.2659            *                 0.13309           0.13226           *                 0.574371          *                 *                 *                 *                 *                 *                 *                 *                 0.633             *                 *                 
4    12   *                 -1.35             *                 *                 0.1               *                 0.069108          *                 *                 *                 *                 *                 *                 *                 *                 0.109             *                 *                 
4    14   *                 *                 *                 *                 *                 *                 0.039936          *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 
6    4    35.53801          35.50823          *                 0.02307           0.01824           *                 34.145964         35.594818         35.82652          33.380666         36.22666          35.320643         *                 *                 *                 *                 *                 *                 
6    6    31.84132          31.84131          *                 0.0004            7e-05             *                 27.405079         26.705332         27.043863         27.179789         27.584604         29.038014         29.671            28.627            29.602            28.121            *                 *                 
6    8    13.12274          13.12274          *                 0.0               0.0               *                 15.429157         16.194465         16.677597         16.575297         15.172257         16.6953           18.281            19.391            18.272            17.785            *                 *                 
6    10   5.4684            5.46839           *                 0.00358           0.00358           *                 8.22524           7.484937          6.480224          6.214709          6.961286          5.427899          5.011             4.86              5.75              6.111             *                 *                 
6    12   4.91058           4.9175            *                 0.03022           0.03021           *                 6.481444          5.096776          4.081804          4.699483          4.707417          4.034526          4.016             3.908             5.112             5.594             *                 *                 
6    14   3.5112            3.55834           *                 0.24104           0.23257           *                 5.862271          3.854029          3.40364           3.95867           3.782776          3.452986          3.304             4.072             3.763             4.221             *                 *                 
6    16   *                 0.035             *                 *                 0.02              *                 3.373341          1.393901          1.255638          2.000231          1.94645           1.855276          0.245             *                 1.069             2.222             *                 *                 
6    18   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.977             *                 *                 
8    4    *                 *                 *                 *                 *                 *                 41.371293         43.702197         44.691761         41.0194           *                 42.02807          *                 *                 *                 *                 *                 *                 
8    6    40.18323          40.04947          *                 0.01847           0.024             *                 36.504946         36.668763         37.242439         36.382403         37.147539         38.877804         39.5              39.387            38.87             36.392            *                 *                 
8    8    28.88699          28.88742          *                 0.00011           3e-05             *                 24.950001         25.933971         26.509316         26.284223         24.813997         27.725897         29.43             30.801            29.1              28.593            *                 *                 
8    10   12.18715          12.18845          *                 0.00062           0.0               *                 15.889822         15.579854         14.894964         14.595311         15.331848         14.417721         13.418            12.966            13.968            13.601            13.81             12.462636         
8    12   11.56365          11.56365          *                 0.00088           0.00088           *                 13.714356         12.364289         11.754238         11.782787         12.08073          11.497062         11.068            10.801            11.792            11.717            11.14             13.832636         
8    14   10.65594          10.65577          *                 0.05693           0.05693           *                 12.025834         10.429765         9.994679          10.10954          10.071636         9.59912           9.289             9.091             10.088            9.879             8.41              10.002636         
8    16   6.35639           6.92527           *                 0.243             0.17442           *                 8.422132          7.141333          6.820408          7.074606          7.003687          6.779263          6.959             6.581             7.465             7.659             4.59              6.392636          
8    18   *                 -0.018            *                 *                 0.005             *                 2.07616           2.307809          1.994708          2.546163          2.236906          1.450361          2.7               3.64              3.697             4.847             1.43              0.432636          
8    20   *                 *                 *                 *                 *                 *                 0.379705          *                 *                 0.045747          0.287884          *                 1.058             2.288             2.253             2.708             -0.59             0.292636          
