Z    N    AME2003(MeV)      AME2016(MeV)      JYFLTRAP(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       UNEDF2(MeV)       FRDM2012(MeV)     HFB24(MeV)        
3    3    27.37903          27.37894          *                  0.21213           0.21213           *                  *                 *                 *                 *                 *                 *                 *                 *                 *                 
3    5    9.28258           9.28371           *                  9e-05             5e-05             *                  13.209076         12.416491         12.335894         11.28             12.343161         12.027388         10.560982         *                 *                 
3    7    4.0389            4.03581           *                  0.01512           0.01272           *                  *                 *                 *                 *                 *                 *                 *                 *                 *                 
3    9    *                 0.18569           *                  *                 0.03259           *                  *                 *                 *                 *                 *                 *                 *                 *                 *                 
5    5    27.01339          27.01359          *                  0.00107           0.001             *                  25.807889         25.788165         26.131274         24.760082         26.189996         26.242616         25.557616         *                 *                 
5    7    14.82447          14.82385          *                  0.00145           0.00132           *                  16.486721         16.164136         16.522296         16.417739         15.965295         16.89794          16.590563         *                 *                 
5    9    5.84785           5.84835           *                  0.02126           0.02125           *                  8.330068          *                 *                 *                 *                 *                 *                 *                 *                 
5    11   2.72463           2.69381           *                  0.06364           0.03246           *                  4.275837          *                 *                 *                 *                 *                 *                 *                 *                 
5    13   *                 1.46251           *                  *                 0.20564           *                  3.307737          *                 *                 *                 *                 *                 *                 *                 *                 
7    5    37.6047           37.60459          *                  0.4               0.4               *                  35.725891         36.358843         37.095014         35.049524         36.480271         36.848159         36.770837         *                 *                 
7    7    30.6173           30.61729          *                  0.001             0.001             *                  26.257143         26.53043          27.046618         26.51093          26.331676         27.903453         28.128945         *                 *                 
7    9    13.32239          13.32214          *                  0.00262           0.0023            *                  16.74814          16.789437         16.816017         16.402066         16.171945         16.534553         15.806399         *                 *                 
7    11   8.71183           8.71337           *                  0.01876           0.01871           *                  11.450465         10.560648         9.869272          9.777438          10.197795         9.924698          8.685585          *                 *                 
7    13   7.49199           7.48931           *                  0.05861           0.08105           *                  9.664285          8.12766           7.473569          7.747737          7.883274          7.281567          7.307305          *                 *                 
7    15   5.86907           6.14433           *                  0.20009           0.22225           *                  7.492874          5.835117          5.496706          5.905171          5.812448          4.906489          5.442096          *                 *                 
9    5    *                 *                 *                  *                 *                 *                  42.44899          43.546305         44.472394         41.513403         *                 42.97579          43.228359         *                 *                 
9    7    *                 37.42678          *                  *                 0.04195           *                  34.395357         35.10201          35.779439         34.669034         34.810454         36.478021         37.163817         *                 *                 
9    9    25.94919          25.94977          *                  0.00834           0.00833           *                  24.451722         24.873428         25.168485         24.799337         24.527168         25.817648         25.395535         *                 *                 
9    11   17.03374          17.03321          *                  0.00054           0.00046           *                  18.4257           17.694086         17.566282         17.472717         17.705651         17.657139         17.130029         *                 *                 
9    13   13.33185          13.3318           *                  0.0124            0.0124            *                  15.85474          14.638115         14.224094         14.197509         14.560863         13.878006         14.032173         *                 *                 
9    15   11.37649          11.39149          *                  0.07334           0.09845           *                  12.636907         11.67625          11.173575         11.242362         11.398515         10.698444         10.741796         *                 *                 
9    17   5.43039           5.03827           *                  0.18159           0.148             *                  7.670299          7.340677          7.170181          7.392288          7.033915          6.629189          5.759678          *                 *                 
9    19   *                 1.04991           *                  *                 0.40845           *                  3.488164          *                 *                 3.660139          3.398839          *                 *                 *                 *                 
11   7    *                 *                 *                  *                 *                 *                  41.102763         42.057473         *                 *                 41.632474         *                 *                 *                 *                 
11   9    33.48488          34.33002          *                  0.05074           0.09389           *                  31.352853         31.876009         32.754735         32.298306         31.832502         33.809795         33.605818         *                 *                 
11   11   28.17279          28.17475          *                  0.00667           0.00113           *                  24.933234         24.3335           24.912145         24.823803         24.733166         25.646635         24.97908          *                 *                 
11   13   19.37831          19.37902          *                  0.00042           0.00017           *                  21.427484         20.720619         20.460389         20.34964          21.072076         20.419324         20.448971         *                 *                 
11   15   14.58684          14.58551          *                  0.00583           0.0035            *                  17.329859         17.059573         16.386264         16.361234         16.964918         15.862803         15.853966         *                 *                 
11   17   10.26956          10.27017          *                  0.01429           0.01083           *                  12.122456         12.368902         12.190348         12.175103         11.686487         11.376933         10.675466         *                 *                 
11   19   6.7923            6.67965           *                  0.02833           0.01128           *                  7.720739          7.924186          8.043885          8.137966          7.55641           7.289531          6.762713          *                 *                 
11   21   5.43925           5.97715           *                  0.35706           0.03756           *                  6.167612          4.757436          *                 4.894528          4.656073          4.360885          4.116701          *                 *                 
