Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,2,*,*,*,*,*,*,*,*,*,*,*,*,-2.605024,-2.854488,-4.063327,-2.878033,-3.079496,-2.433646,-2.951422,*,*
3,4,9.97594,0.00075,9.97396,5e-05,*,*,*,*,*,*,*,*,5.136871,5.780533,4.662629,5.179596,6.284793,6.112882,5.580173,*,*
3,6,13.93275,0.00714,13.94375,0.00021,*,*,*,*,*,*,*,*,11.829349,12.743161,12.013101,11.916959,13.408744,13.19028,12.807871,**,**
3,8,15.30086,0.07261,15.75786,0.09285,*,*,*,*,*,*,*,*,16.132958,17.508758,17.162497,16.246133,17.362864,17.096159,16.881535,**,**
3,10,*,*,*,*,*,*,*,*,*,*,*,*,19.043949,20.550241,20.013293,18.40602,19.67311,18.643729,18.593124,**,**
3,12,*,*,*,*,*,*,*,*,*,*,*,*,21.830706,23.350744,22.766449,21.016121,22.219673,20.971888,21.006332,**,**
3,14,*,*,*,*,*,*,*,*,*,*,*,*,24.579522,26.0405,25.736992,23.648178,24.532579,23.155854,**,**,**
3,16,*,*,*,*,*,*,*,*,*,*,*,*,26.721155,27.849506,27.913522,25.514265,26.105646,24.652581,**,**,**
3,18,*,*,*,*,*,*,*,*,*,*,*,*,27.319129,28.548198,28.810834,26.359435,26.782097,25.177695,**,**,**
3,20,*,*,*,*,*,*,*,*,*,*,*,*,27.592364,28.772526,29.138369,26.765591,27.117184,25.570884,**,**,**
3,22,*,*,*,*,*,*,*,*,*,*,*,*,27.864829,29.010917,29.491883,27.133958,27.515898,26.039256,**,**,**
3,24,*,*,*,*,*,*,*,*,*,*,*,*,28.121704,29.27952,29.831399,27.643681,27.959142,26.714257,**,**,**
3,26,*,*,*,*,*,*,*,*,*,*,*,*,28.546754,29.666065,30.184343,28.248019,28.454362,27.620355,**,**,**
5,2,*,*,*,*,*,*,*,*,*,*,*,*,-4.250334,-4.86259,-5.679098,-3.452213,-4.876588,-3.255821,-3.839483,*,*
