Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,3,4.58841,0.05,4.43332,0.02,*,*,*,*,*,*,*,*,1.508019,1.681185,0.527951,0.993762,1.686519,1.697111,1.156453,*,*
3,5,12.44317,0.01666,12.41629,0.00756,*,*,*,*,*,*,*,*,8.582469,9.328739,8.392734,8.340289,9.762086,9.418525,8.946515,**,**
3,7,15.17782,0.03308,15.17217,0.04851,*,*,*,*,*,*,*,*,13.920957,15.034606,14.432353,13.81838,15.21091,14.53609,14.52315,**,**
3,9,*,*,*,*,*,*,*,*,*,*,*,*,17.465271,18.822199,18.351862,17.065544,18.332892,17.346124,17.487173,**,**
3,11,*,*,*,*,*,*,*,*,*,*,*,*,20.249765,21.643993,21.13893,19.446596,20.700934,19.621357,19.57167,**,**
3,13,*,*,*,*,*,*,*,*,*,*,*,*,22.987185,24.329404,23.943238,22.008567,23.096319,21.80629,**,**,**
3,15,*,*,*,*,*,*,*,*,*,*,*,*,25.405892,26.583489,26.489302,24.267512,25.076331,23.658771,**,**,**
3,17,*,*,*,*,*,*,*,*,*,*,*,*,26.870133,27.941047,28.141687,25.710877,26.278407,24.768006,**,**,**
3,19,*,*,*,*,*,*,*,*,*,*,*,*,27.427951,28.522879,28.901286,26.453539,26.867132,25.33298,**,**,**
3,21,*,*,*,*,*,*,*,*,*,*,*,*,27.695625,28.799595,29.28533,26.897962,27.265399,25.782068,**,**,**
3,23,*,*,*,*,*,*,*,*,*,*,*,*,27.957621,29.062065,29.640188,27.35898,27.689582,26.360137,**,**,**
3,25,*,*,*,*,*,*,*,*,*,*,*,*,28.276493,29.36274,29.979443,27.888507,28.127842,27.104315,**,**,**
5,3,0.13751,0.00101,0.1364,0.001,*,*,*,*,*,*,*,*,-0.895074,-1.422817,-2.039074,-0.469256,-1.657382,-0.262804,-0.776207,*,*
