Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
2,4,0.97244,0.00076,0.97545,5e-05,*,*,*,*,*,*,*,*,7.168914,6.175707,5.43824,3.987916,5.298802,4.53857,4.504942,*,*
2,6,2.1397,0.00691,2.12505,0.0001,*,*,*,*,*,*,*,*,2.540308,0.97832,0.402399,1.442764,0.772771,1.365737,1.220525,*,*
2,8,*,*,*,*,*,*,*,*,*,*,*,*,-2.102566,-3.239243,-3.5705,-1.599349,-2.073222,-1.320502,-1.863978,*,*
2,10,*,*,*,*,*,*,*,*,*,*,*,*,-4.935763,-6.138534,-7.020108,-5.264757,-5.221013,-4.165611,-4.754517,*,*
2,12,*,*,*,*,*,*,*,*,*,*,*,*,-5.261139,-7.213507,-8.051487,-6.849926,-6.481195,-6.448865,-6.892747,*,*
2,14,*,*,*,*,*,*,*,*,*,*,*,*,-5.167079,-7.28062,-8.363203,-6.693687,-6.10919,-5.990573,*,*,*
2,16,*,*,*,*,*,*,*,*,*,*,*,*,-5.566208,-7.307499,-8.335196,-6.44048,-5.709789,-5.633526,*,*,*
2,18,*,*,*,*,*,*,*,*,*,*,*,*,-5.877151,-7.134207,-8.153501,-6.2019,-5.321152,-5.337646,*,*,*
2,20,*,*,*,*,*,*,*,*,*,*,*,*,-5.862445,-6.906798,-7.894181,-6.004909,-5.201682,-5.209019,*,*,*
2,22,*,*,*,*,*,*,*,*,*,*,*,*,-5.475503,-6.60486,-7.761987,-5.815174,-5.287227,-5.042696,*,*,*
2,24,*,*,*,*,*,*,*,*,*,*,*,*,-5.499006,-6.599306,-7.638874,-5.989387,-5.612801,-5.425341,*,*,*
2,26,*,*,*,*,*,*,*,*,*,*,*,*,-6.403333,-7.638632,-8.420487,-7.068817,-6.575977,-6.87515,*,*,*
4,4,29.57591,0.00545,29.576,0.00545,*,*,*,*,*,*,*,*,21.718058,22.598407,22.003544,20.863552,23.464089,22.44397,22.41469,**,**
4,6,8.47764,0.0004,8.47682,9e-05,*,*,*,*,*,*,*,*,15.295801,14.219324,14.519667,14.519215,14.223402,15.098209,15.162113,*,*
4,8,3.6728,0.015,3.67236,0.00191,*,*,*,*,*,*,*,*,5.977038,5.794539,6.157269,6.977888,5.306878,6.376236,6.15174,*,*
4,10,1.26464,0.13309,1.2659,0.13226,*,*,*,*,*,*,*,*,0.574371,-0.322965,-1.625082,-1.273506,-0.910027,-1.362232,-1.655638,*,*
4,12,*,*,*,*,*,*,*,*,*,*,*,*,0.069108,-1.963692,-2.842595,-1.682457,-1.737343,-1.88683,-2.155615,*,*
4,14,*,*,*,*,*,*,*,*,*,*,*,*,0.039936,-2.194511,-2.771288,-1.668632,-1.807091,-1.85248,-1.939195,*,*
4,16,*,*,*,*,*,*,*,*,*,*,*,*,-1.530705,-3.918487,-4.251389,-2.960105,-2.838536,-2.895896,-3.230298,*,*
4,18,*,*,*,*,*,*,*,*,*,*,*,*,-4.861031,-5.811371,-6.470155,-4.702243,-4.072816,-4.475046,-5.206896,*,*
4,20,*,*,*,*,*,*,*,*,*,*,*,*,-5.383166,-6.511683,-7.295125,-5.219581,-4.627869,-4.528577,-5.220214,*,*
4,22,*,*,*,*,*,*,*,*,*,*,*,*,-4.971206,-6.174586,-7.136567,-5.054967,-4.526551,-4.0107,*,*,*
4,24,*,*,*,*,*,*,*,*,*,*,*,*,-5.006461,-6.117143,-7.010636,-4.981138,-4.768602,-4.033919,*,*,*
4,26,*,*,*,*,*,*,*,*,*,*,*,*,-5.600082,-6.848339,-7.758231,-5.931678,-5.582975,-5.150135,*,*,*
4,28,*,*,*,*,*,*,*,*,*,*,*,*,-6.532542,-8.320443,-9.199771,-7.911702,-7.581694,-7.476156,*,*,*
4,30,*,*,*,*,*,*,*,*,*,*,*,*,-6.755851,-8.679791,-9.713734,-8.034596,-7.549169,-7.284077,*,*,*
4,32,*,*,*,*,*,*,*,*,*,*,*,*,-6.604494,-8.397395,-9.387134,-7.706081,-7.165558,-6.939388,*,*,*
4,34,*,*,*,*,*,*,*,*,*,*,*,*,-6.434218,-8.209314,-9.221309,-7.414568,-6.888176,-6.648524,*,*,*
6,4,35.53801,0.02307,35.50823,0.01824,*,*,*,*,*,*,*,*,34.145964,35.594818,35.82652,33.380666,36.22666,35.320643,35.522096,**,**
6,6,31.84132,0.0004,31.84131,7e-05,*,*,*,*,*,*,*,*,27.405079,26.705332,27.043863,27.179789,27.584604,29.038014,29.141916,**,**
6,8,13.12274,0.0,13.12274,0.0,*,*,*,*,*,*,*,*,15.429157,16.194465,16.677597,16.575297,15.172257,16.6953,16.723828,**,**
6,10,5.4684,0.00358,5.46839,0.00358,*,*,*,*,*,*,*,*,8.22524,7.484937,6.480224,6.214709,6.961286,5.427899,5.196538,*,*
6,12,4.91058,0.03022,4.9175,0.03021,*,*,*,*,*,*,*,*,6.481444,5.096776,4.081804,4.699483,4.707417,4.034526,4.160286,*,*
6,14,3.5112,0.24104,3.55834,0.23257,*,*,*,*,*,*,*,*,5.862271,3.854029,3.40364,3.95867,3.782776,3.452986,3.643805,*,*
6,16,*,*,0.035,0.02,*,*,*,*,*,*,*,*,3.373341,1.393901,1.255638,2.000231,1.94645,1.855276,1.845152,*,*
6,18,*,*,*,*,*,*,*,*,*,*,*,*,-2.291792,-2.580687,-2.897517,-1.797429,-1.717957,-2.499606,-3.448801,*,*
