Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,4,12.91338,0.05,12.91442,0.05,*,*,*,*,*,*,*,*,14.910809,14.810727,14.164196,12.045544,14.66309,13.085098,13.036537,**,**
3,6,6.09651,0.00194,6.09484,0.00019,*,*,*,*,*,*,*,*,9.232785,7.940948,7.75287,8.180127,7.896722,8.443135,8.448223,*,*
3,8,0.29959,0.01939,0.36928,0.00064,*,*,*,*,*,*,*,*,2.201044,1.526354,1.578897,2.729825,1.880899,2.585378,2.209686,*,*
3,10,*,*,*,*,*,*,*,*,*,*,*,*,-2.024772,-3.09705,-4.169312,-3.104869,-2.910767,-2.618041,-3.042928,*,*
3,12,*,*,*,*,*,*,*,*,*,*,*,*,-2.474381,-4.413004,-5.29833,-4.239824,-3.934631,-4.120705,-4.479539,*,*
3,14,*,*,*,*,*,*,*,*,*,*,*,*,-2.418262,-4.590863,-5.39266,-4.06163,-3.796284,-3.806607,*,*,*
3,16,*,*,*,*,*,*,*,*,*,*,*,*,-3.424575,-5.498493,-6.158666,-4.574393,-4.136722,-4.136798,*,*,*
3,18,*,*,*,*,*,*,*,*,*,*,*,*,-5.279177,-6.435515,-7.256188,-5.356729,-4.6447,-4.812532,*,*,*
3,20,*,*,*,*,*,*,*,*,*,*,*,*,-5.589209,-6.68247,-7.566646,-5.598752,-4.866595,-4.815829,*,*,*
3,22,*,*,*,*,*,*,*,*,*,*,*,*,-5.203038,-6.366468,-7.408472,-5.446806,-4.888512,-4.574323,*,*,*
3,24,*,*,*,*,*,*,*,*,*,*,*,*,-5.24213,-6.330703,-7.299357,-5.479664,-5.169556,-4.750339,*,*,*
3,26,*,*,*,*,*,*,*,*,*,*,*,*,-5.978283,-7.252086,-8.067542,-6.464478,-6.080757,-5.969051,*,*,*
5,4,31.5953,0.07072,31.4027,0.02517,*,*,*,*,*,*,*,*,28.077667,29.099148,28.96267,26.616666,29.61697,28.267756,28.322708,**,**
5,6,19.89038,0.00107,19.89142,0.0009,*,*,*,*,*,*,*,*,21.594547,20.771574,20.99244,20.858972,21.122226,22.061152,22.185401,**,**
5,8,8.2484,0.001,8.24839,0.001,*,*,*,*,*,*,*,*,10.939263,11.216008,11.623706,11.819777,10.470753,11.599785,11.521732,*,*
5,10,3.73252,0.0224,3.74634,0.02106,*,*,*,*,*,*,*,*,4.575428,3.728081,2.58416,2.585247,3.196183,2.160013,1.918946,*,*
5,12,1.3441,0.17233,1.38456,0.20518,*,*,*,*,*,*,*,*,3.412371,1.758391,0.747543,1.567248,1.666138,1.153444,1.083112,*,*
5,14,*,*,0.08871,0.56362,*,*,*,*,*,*,*,*,3.095942,0.983309,0.484685,1.245472,1.140647,0.91115,0.988637,*,*
5,16,*,*,*,*,*,*,*,*,*,*,*,*,1.046946,-1.146624,-1.357352,-0.364397,-0.336387,-0.402309,-0.556319,*,*
5,18,*,*,*,*,*,*,*,*,*,*,*,*,-3.474812,-4.140576,-4.611075,-3.16125,-2.816411,-3.392375,-4.229768,*,*
5,20,*,*,*,*,*,*,*,*,*,*,*,*,-4.411611,-5.411276,-6.078734,-4.275563,-3.660013,-3.775295,-4.442294,*,*
5,22,*,*,*,*,*,*,*,*,*,*,*,*,-4.373656,-5.538892,-6.501601,-4.50998,-4.049252,-3.573463,*,*,*
5,24,*,*,*,*,*,*,*,*,*,*,*,*,-4.543375,-5.773065,-6.734418,-4.704825,-4.417432,-3.693187,*,*,*
5,26,*,*,*,*,*,*,*,*,*,*,*,*,-4.918029,-6.381339,-7.280504,-5.460297,-5.180433,-4.663783,*,*,*
5,28,*,*,*,*,*,*,*,*,*,*,*,*,-5.392721,-7.326937,-8.275041,-6.92402,-6.590424,-6.644156,*,*,*
5,30,*,*,*,*,*,*,*,*,*,*,*,*,-5.448692,-7.745346,-8.690711,-7.155318,-6.680754,-6.608923,*,*,*
5,32,*,*,*,*,*,*,*,*,*,*,*,*,-5.39037,-7.637275,-8.579543,-6.940762,-6.428039,-6.301184,*,*,*
5,34,*,*,*,*,*,*,*,*,*,*,*,*,-5.654833,-7.610564,-8.477061,-6.785873,-6.325857,-6.142961,*,*,*
7,4,*,*,*,*,*,*,*,*,*,*,*,*,37.528879,39.279059,39.830141,36.649842,39.11206,38.015899,38.389292,**,**
7,6,35.10072,0.04616,35.10071,0.04615,*,*,*,*,*,*,*,*,32.045607,31.797405,32.194723,31.5708,32.355595,33.6915,33.878223,**,**
7,8,21.38668,0.00027,21.38668,0.00027,*,*,*,*,*,*,*,*,20.295356,21.175005,21.693806,21.462914,20.155886,22.237839,22.276732,**,**
7,10,8.3727,0.01501,8.37399,0.015,*,*,*,*,*,*,*,*,12.181318,11.670764,10.814787,10.448534,11.285469,9.960133,9.819726,**,**
