Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
2,3,*,*,*,*,*,*,*,*,*,*,-1.314979,-1.599293,-2.80473,-1.68298,-1.101938,-1.00457,-1.475435,*,*
2,5,*,*,*,*,*,*,*,*,*,*,-2.349268,-3.006062,-3.77186,-1.737422,-2.133145,-1.237166,-1.716261,*,*
2,7,*,*,*,*,*,*,*,*,*,*,-4.048142,-4.534247,-5.045939,-2.993993,-3.137406,-1.671987,-2.907942,*,*
2,9,*,*,*,*,*,*,*,*,*,*,-4.710021,-5.254859,-5.877969,-4.242346,-4.134131,-2.6833,-3.828439,*,*
2,11,*,*,*,*,*,*,*,*,*,*,-4.437945,-5.236427,-5.814495,-4.542429,-4.259472,-4.048302,-4.465178,*,*
2,13,*,*,*,*,*,*,*,*,*,*,-4.287442,-5.049994,-5.80704,-4.363171,-3.93704,-3.679666,*,*,*
2,15,*,*,*,*,*,*,*,*,*,*,-4.397569,-4.966045,-5.694247,-4.237081,-3.7201,-3.519434,*,*,*
2,17,*,*,*,*,*,*,*,*,*,*,-4.401906,-4.765526,-5.506685,-4.083066,-3.47796,-3.370476,*,*,*
2,19,*,*,*,*,*,*,*,*,*,*,-4.222427,-4.531485,-5.290907,-3.945335,-3.361577,-3.298098,*,*,*
2,21,*,*,*,*,*,*,*,*,*,*,-3.901627,-4.28389,-5.137173,-3.813456,-3.336198,-3.189756,*,*,*
2,23,*,*,*,*,*,*,*,*,*,*,-3.862553,-4.248267,-5.017074,-3.889476,-3.452725,-3.390241,*,*,*
2,25,*,*,*,*,*,*,*,*,*,*,-4.256463,-4.733463,-5.375776,-4.403546,-3.922934,-4.081945,*,*,*
4,3,10.67623,0.00545,10.67735,0.00545,*,*,*,*,*,*,6.443783,7.048382,5.934521,6.440801,8.148447,7.663116,7.163594,*,*
4,5,1.66534,0.0004,1.66454,8e-05,*,*,*,*,*,*,4.227197,3.748223,3.396511,4.384826,4.422806,5.162957,4.759518,*,*
4,7,0.50392,0.00634,0.50164,0.00025,*,*,*,*,*,*,-0.128734,-0.200063,-0.492948,0.768292,0.202856,0.962122,0.456811,*,*
4,9,*,*,*,*,*,*,*,*,*,*,-2.20132,-2.761675,-3.652523,-2.767786,-2.348829,-2.329251,-2.779312,*,*
4,11,*,*,*,*,*,*,*,*,*,*,-2.147947,-3.224518,-3.711931,-2.487644,-2.378462,-2.140189,-2.552728,*,*
4,13,*,*,*,*,*,*,*,*,*,*,-2.119792,-3.239376,-3.628047,-2.497807,-2.345603,-2.125781,-2.493751,*,*
4,15,*,*,*,*,*,*,*,*,*,*,-2.86871,-3.994566,-4.324253,-3.124312,-2.770035,-2.641511,-3.128069,*,*
4,17,*,*,*,*,*,*,*,*,*,*,-4.193865,-4.619719,-5.105995,-3.785184,-3.184722,-3.233439,-3.814618,*,*
4,19,*,*,*,*,*,*,*,*,*,*,-4.038379,-4.608892,-5.13801,-3.770619,-3.239688,-3.040496,-3.537178,*,*
4,21,*,*,*,*,*,*,*,*,*,*,-3.71542,-4.253006,-4.884055,-3.536976,-3.058145,-2.719764,*,*,*
4,23,*,*,*,*,*,*,*,*,*,*,-3.687571,-4.173492,-4.745862,-3.44503,-3.126501,-2.727769,*,*,*
4,25,*,*,*,*,*,*,*,*,*,*,-3.970309,-4.55842,-5.101504,-3.949664,-3.584253,-3.345419,*,*,*
4,27,*,*,*,*,*,*,*,*,*,*,-4.401151,-5.213723,-5.739024,-4.852446,-4.519757,-4.424231,*,*,*
4,29,*,*,*,*,*,*,*,*,*,*,-4.474133,-5.29396,-5.912605,-4.824056,-4.406335,-4.22577,*,*,*
4,31,*,*,*,*,*,*,*,*,*,*,-4.400958,-5.168526,-5.759942,-4.711156,-4.248313,-4.105765,*,*,*
4,33,*,*,*,*,*,*,*,*,*,*,-4.320771,-5.087735,-5.697582,-4.603104,-4.127436,-3.999245,*,*,*
6,3,14.25489,0.02317,14.22461,0.01837,*,*,*,*,*,*,13.008647,13.925392,13.16693,12.912159,14.815263,14.263701,13.935832,*,*
6,5,13.11966,0.00088,13.12059,9e-05,*,*,*,*,*,*,10.587225,10.296875,9.879111,10.740053,11.240328,12.105986,11.773088,*,*
6,7,4.94631,0.0,4.94631,0.0,*,*,*,*,*,*,4.735447,5.118022,4.832683,5.440403,5.133451,5.909419,5.528189,*,*
6,9,1.21807,0.0008,1.21807,0.0008,*,*,*,*,*,*,1.650184,1.154518,0.326359,0.761496,1.502586,0.76607,0.324536,*,*
6,11,0.72661,0.01774,0.73355,0.01773,*,*,*,*,*,*,1.036156,0.244444,-0.400191,0.410657,0.672917,1.694974,0.271479,*,*
6,13,0.57683,0.0937,0.57683,0.0937,*,*,*,*,*,*,0.790987,-0.305411,-0.669616,0.052183,0.315335,1.444164,0.038177,*,*
6,15,*,*,*,*,*,*,*,*,*,*,-0.484288,-1.47324,-1.744182,-0.920671,-0.562744,-0.573762,-0.89803,*,*
6,17,*,*,*,*,*,*,*,*,*,*,-3.059028,-3.235548,-3.616795,-2.612711,-2.194939,-2.504514,-3.212211,*,*
6,19,*,*,*,*,*,*,*,*,*,*,-3.33338,-3.84772,-4.292134,-3.0752,-2.517149,-2.446737,-2.928529,*,*
6,21,*,*,*,*,*,*,*,*,*,*,-3.396848,-3.989329,-4.495618,-3.163199,-2.776845,-2.363947,-2.818018,*,*
6,23,*,*,*,*,*,*,*,*,*,*,-3.495429,-4.15057,-4.583539,-3.265951,-2.902043,-2.433504,*,*,*
6,25,*,*,*,*,*,*,*,*,*,*,-3.554387,-4.289732,-4.718146,-3.575962,-3.266935,-2.930257,*,*,*
6,27,*,*,*,*,*,*,*,*,*,*,-3.556239,-4.488129,-5.001595,-4.038317,-3.687841,-3.724109,*,*,*
6,29,*,*,*,*,*,*,*,*,*,*,-3.475378,-4.698701,-5.170916,-4.195668,-3.758592,-3.708954,*,*,*
6,31,*,*,*,*,*,*,*,*,*,*,-3.47857,-4.717252,-5.205781,-4.150787,-3.709475,-3.612901,*,*,*
6,33,*,*,*,*,*,*,*,*,*,*,-3.788952,-4.753022,-5.18936,-4.156259,-3.753307,-3.604741,*,*,*
6,35,*,*,*,*,*,*,*,*,*,*,-4.093723,-4.75165,-5.213587,-4.1918,-3.769808,-3.55302,*,*,*
8,3,*,*,*,*,*,*,*,*,*,*,16.869121,18.193664,17.864005,16.765575,18.340909,17.685612,17.508991,*,*
8,5,17.00684,0.02078,16.8705,0.02582,*,*,*,*,*,*,15.364222,15.501942,15.200999,15.397151,16.185539,17.115797,16.884035,*,*
