Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
4,3,10.19414,0.05,10.04018,0.02,*,*,*,*,*,*,12.153213,12.13653,11.495663,9.534419,12.504556,10.941249,10.902376,*,*
4,5,29.33133,0.01666,29.30261,0.00756,*,*,*,*,*,*,25.52006,26.66584,26.490086,24.408523,27.975409,26.579085,26.648874,*,*
4,7,35.34331,0.0301,35.3366,0.04682,*,*,*,*,*,*,35.618496,37.486743,37.991974,35.125011,38.21035,36.545543,37.479435,*,*
4,9,*,*,*,*,*,*,*,*,*,*,42.287392,44.679524,45.392197,41.414522,44.035489,41.962219,43.179526,*,*
4,11,*,*,*,*,*,*,*,*,*,*,47.578823,50.013817,50.664342,45.985998,48.442184,46.319663,47.141729,*,*
4,13,*,*,*,*,*,*,*,*,*,*,52.786721,55.062341,55.949662,50.964045,52.896462,50.527469,*,*,*
4,15,*,*,*,*,*,*,*,*,*,*,57.354944,59.309311,60.732579,55.236506,56.55719,53.9896,*,*,*
4,17,*,*,*,*,*,*,*,*,*,*,60.06963,61.872652,63.847083,57.901995,58.771617,55.986344,*,*,*
4,19,*,*,*,*,*,*,*,*,*,*,61.061757,62.972274,65.282635,59.278485,59.848603,56.96951,*,*,*
4,21,*,*,*,*,*,*,*,*,*,*,61.543195,63.475681,65.981912,60.165577,60.57858,57.862342,*,*,*
4,23,*,*,*,*,*,*,*,*,*,*,62.036267,63.949846,66.625426,61.09375,61.387427,59.086817,*,*,*
4,25,*,*,*,*,*,*,*,*,*,*,62.639983,64.532277,67.256724,62.111436,62.244083,60.552292,*,*,*
6,3,1.43748,0.00214,1.43597,0.00214,*,*,*,*,*,*,4.953987,3.670937,3.508611,4.169101,3.344578,4.374275,4.261053,*,*
