Z	N	ME(KeV)    Error(KeV)
37  64  -42558      28
37  65  -37253      83
99  147  67812      113.6
101 148  77259      222.52
101 149  78472      140.25
101 151  80467      91.68
60  99  -49724      30
60  100 -46725      47
62  101 -50599.6    7.3
62  102 -47925.3    4.0
29  48  -48862.8    1.2
29  50  -42408      105
60    96    -60210.17    2.38
60    98    -53897.16    36.67
61    97    -59104.37    2.03
61    99    -52851.43    16.25
62    100   -54380.99    4.97
63    99    -58657.68    3.51
63    100   -56419.68    4.02
64    99    -61337.86    3.97
64    100   -59693.74    2.89
64    101   -56522.39    4.23
64    102   -54387.18    3.67
65    99    -62090.03    3.89

