Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -18.906339              0.001764       -0.0           12        YES            
2      4      6      -23.390371              -0.002871      -0.0           97        YES            
2      6      8      -24.622946              -0.009125      -0.0           156       YES            
4      2      6      -21.183752              0.01081        0.0            235       YES            
4      4      8      -43.535566              -0.000139      0.0            367       YES            
4      6      10     -58.888186              -0.001463      -0.0           425       YES            
4      8      12     -64.864685              -0.000924      -0.0           487       YES            
4      10     14     -63.205375              -3e-06         0.0            548       YES            
4      12     16     -61.054839              0.01668        -9e-06         654       YES            
4      14     18     -59.116256              1e-06          -0.0           728       YES            
4      16     20     -55.888276              0.0            0.0            788       YES            
4      18     22     -50.692318              -0.011403      0.0            832       YES            
4      20     24     -45.476618              0.017642       -4e-06         909       YES            
6      2      8      -18.622759              0.003855       0.0            1044      YES            
6      4      10     -54.331233              -0.003002      0.0            1054      YES            
6      6      12     -83.284082              -0.001133      -0.0           1141      YES            
6      8      14     -100.022375             0.000387       1.2e-05        1226      YES            
6      10     16     -105.249838             0.010788       -1.9e-05       1286      YES            
6      12     18     -109.363219             -9e-06         0.0            1418      YES            
6      14     20     -113.04036              0.001068       -0.0           1479      YES            
6      16     22     -114.857089             -0.0           0.0            1523      YES            
6      18     24     -111.41208              0.0            0.0            1613      YES            
6      20     26     -107.644665             0.0            0.0            1703      YES            
6      22     28     -103.996515             -0.039087      6e-06          1746      YES            
8      2      10     -12.370351              -0.032653      0.0            1866      YES            
8      4      12     -54.967237              0.012984       0.0            1947      YES            
8      6      14     -94.159503              -0.000501      -0.0           1956      YES            
8      8      16     -121.912879             0.0            -0.0           2033      YES            
8      10     18     -136.234236             -0.000301      -0.0           2107      YES            
8      12     20     -148.093739             2e-06          0.0            2213      YES            
8      14     22     -158.378422             0.000175       -0.0           2304      YES            
8      16     24     -165.142555             -0.001876      0.0            2376      YES            
8      18     26     -165.594033             -0.003227      0.0            2436      YES            
8      20     28     -164.707847             -0.001847      -0.0           2497      YES            
8      22     30     -162.278403             -0.022014      0.0            2571      YES            
8      24     32     -159.082415             -0.034491      -5e-06         2646      YES            
8      26     34     -155.636968             -0.037033      -0.0           2751      YES            
10     2      12     -3.027229               0.020117       -0.0           2799      YES            
10     4      14     -48.106456              0.01144        0.0            2919      YES            
10     6      16     -93.012336              0.0017         -0.0           2979      YES            
10     8      18     -129.477513             0.000137       0.0            3007      YES            
10     10     20     -152.94485              0.255993       0.000594       3085      YES            
10     12     22     -172.404013             0.272806       -4.5e-05       3160      YES            
10     14     24     -187.46008              -0.004779      4.2e-05        3243      YES            
10     16     26     -199.02909              -0.00119       7e-06          3305      YES            
10     18     28     -204.264126             -0.001265      3e-06          3424      YES            
10     20     30     -207.732213             -0.001432      3e-06          3486      YES            
10     22     32     -208.430366             0.198614       -0.00031       3538      YES            
10     24     34     -209.239083             0.275122       -0.000501      3613      YES            
10     26     36     -208.441117             0.265009       3.9e-05        3687      YES            
10     28     38     -206.895273             0.2187         2.2e-05        3807      YES            
10     30     40     -205.148367             0.139001       3e-05          3895      YES            
10     32     42     -203.85124              -2e-06         -0.0           3908      YES            
10     34     44     -201.694228             -0.012882      -1e-06         4026      YES            
10     36     46     -196.696157             0.13019        -1e-06         4092      YES            
10     38     48     -191.163523             -0.155057      -8e-06         4188      YES            
12     2      14     9.198168                -0.26513       0.0            4218      YES            
12     4      16     -39.274165              -0.015952      0.0            4342      YES            
12     6      18     -89.214077              -0.00401       -7e-06         4372      YES            
12     8      20     -132.935118             -0.000354      0.0            4447      YES            
12     10     22     -163.856641             0.277817       0.001447       4523      YES            
12     12     24     -190.434833             0.308357       0.001696       4586      YES            
12     14     26     -211.54583              -0.10962       -0.000122      4654      YES            
12     16     28     -227.831881             -0.000186      -0.0           4729      YES            
12     18     30     -238.274692             0.000266       -3e-06         4814      YES            
12     20     32     -246.757516             0.000655       -7e-06         4890      YES            
12     22     34     -251.145613             0.188246       0.00177        5023      YES            
12     24     36     -255.838971             0.287535       -0.000819      5094      YES            
12     26     38     -258.3796               0.288279       0.000999       5142      YES            
12     28     40     -259.248511             0.251888       0.000601       5232      YES            
12     30     42     -259.860017             -0.155885      9.8e-05        5287      YES            
12     32     44     -260.549309             -4e-06         -0.0           5378      YES            
12     34     46     -259.73992              -0.007604      5e-06          5451      YES            
12     36     48     -255.113536             0.115797       -3.6e-05       5532      YES            
12     38     50     -250.326454             0.191852       5.6e-05        5592      YES            
12     40     52     -245.890897             0.230432       4e-06          5667      YES            
14     2      16     21.737993               -0.322576      -0.177061      5761      YES            
14     4      18     -29.077646              -0.012482      0.0            5797      YES            
14     6      20     -84.172899              -1e-06         0.0            5888      YES            
14     8      22     -133.560781             0.000482       -0.0           5934      YES            
14     10     24     -169.119583             0.142937       -0.000375      6010      YES            
14     12     26     -201.430066             0.161661       0.000782       6085      YES            
14     14     28     -230.121109             -0.000749      -1.5e-05       6182      YES            
14     16     30     -251.836808             -0.000323      5e-06          6243      YES            
14     18     32     -267.564726             -0.000705      2e-06          6302      YES            
14     20     34     -281.088946             0.000255       8e-06          6405      YES            
14     22     36     -288.748612             0.06067        0.004678       6509      YES            
14     24     38     -296.416184             0.210982       0.001712       6537      YES            
14     26     40     -302.248387             0.223996       0.000165       6612      YES            
14     28     42     -307.472945             -0.193779      0.000574       6697      YES            
14     30     44     -310.842306             -0.113496      0.005329       6816      YES            
14     32     46     -313.940383             0.000574       1e-06          6849      YES            
14     34     48     -314.399405             -0.003619      3e-06          6906      YES            
14     36     50     -310.803062             0.0            -0.0           6983      YES            
14     38     52     -306.926968             0.108677       -7e-06         7122      YES            
14     40     54     -303.561043             0.208415       -0.000155      7167      YES            
16     4      20     -17.351537              0.01577        6e-06          7209      YES            
16     6      22     -76.024889              -0.0           0.0            7283      YES            
16     8      24     -130.017763             0.0            0.0            7418      YES            
16     10     26     -169.633722             -0.003016      -4e-06         7429      YES            
16     12     28     -206.619628             -0.005244      -1.5e-05       7518      YES            
16     14     30     -240.726635             -0.000948      -8e-06         7592      YES            
16     16     32     -267.604921             -0.000543      2e-06          7667      YES            
16     18     34     -288.458118             0.000505       -1.7e-05       7755      YES            
16     20     36     -306.792523             -6e-06         0.0            7812      YES            
16     22     38     -318.590901             -0.002385      -4.5e-05       7932      YES            
16     24     40     -330.586998             0.179177       -0.000415      7962      YES            
16     26     42     -340.335006             0.185166       -4.5e-05       8037      YES            
16     28     44     -348.442874             -0.147224      0.00016        8122      YES            
16     30     46     -354.973438             0.000455       -8e-06         8228      YES            
16     32     48     -360.37491              0.000281       -1e-06         8304      YES            
16     34     50     -362.278615             1e-06          -0.0           8333      YES            
16     36     52     -361.102307             2e-06          0.0            8438      YES            
16     38     54     -359.527074             -0.003141      -5e-06         8481      YES            
16     40     56     -357.75499              -0.008937      3e-06          8601      YES            
16     42     58     -356.039951             0.229522       -0.000179      8697      YES            
16     44     60     -354.139222             0.252993       6.9e-05        8742      YES            
16     46     62     -351.641829             0.254135       2e-06          8847      YES            
16     48     64     -348.696076             -0.226933      8.1e-05        8868      YES            
18     6      24     -64.211494              0.248146       1.3e-05        8970      YES            
18     8      26     -120.449783             0.003452       -0.0           9024      YES            
18     10     28     -164.173158             -1e-06         0.0            9098      YES            
18     12     30     -205.720323             0.001251       -1.6e-05       9180      YES            
18     14     32     -244.705679             0.003891       0.000317       9270      YES            
18     16     34     -276.486391             -0.000766      -2e-06         9302      YES            
18     18     36     -302.662998             0.000202       -4e-06         9390      YES            
18     20     38     -326.179855             -1.7e-05       -0.0           9462      YES            
