Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -30.820949              0.000617       0.0            47        YES            
2      4      6      -36.273566              -0.005642      0.0            122       YES            
2      6      8      -36.64459               0.004869       -0.0           161       YES            
4      2      6      -33.531605              -0.006548      0.0            259       YES            
4      4      8      -55.773115              -0.00051       0.0            302       YES            
4      6      10     -70.095284              0.000536       0.0            387       YES            
4      8      12     -76.236224              0.001926       -0.0           461       YES            
4      10     14     -74.5412                -0.0           -0.0           548       YES            
4      12     16     -71.73906               0.008436       9e-06          609       YES            
4      14     18     -68.922731              1e-06          0.0            728       YES            
4      16     20     -64.669488              -0.003583      0.0            817       YES            
4      18     22     -58.197137              -0.0           -0.0           848       YES            
4      20     24     -50.930417              0.450852       0.494758       974       YES            
6      2      8      -29.825055              0.006304       0.0            1045      YES            
6      4      10     -65.692042              0.001084       -0.0           1079      YES            
6      6      12     -92.70219               0.000159       -0.0           1167      YES            
6      8      14     -109.327747             -0.0           0.0            1268      YES            
6      10     16     -115.803529             -0.0           0.0            1343      YES            
6      12     18     -119.881668             -0.001683      0.0            1357      YES            
6      14     20     -123.297555             0.000619       0.0            1479      YES            
6      16     22     -124.533239             -1e-06         0.0            1568      YES            
6      18     24     -121.633072             -0.001255      -0.0           1612      YES            
6      20     26     -116.652378             0.004334       -0.0           1659      YES            
6      22     28     -110.78573              -0.076697      -3e-06         1744      YES            
8      2      10     -21.489365              -0.027964      0.0            1836      YES            
8      4      12     -66.232572              0.004937       0.0            1932      YES            
8      6      14     -103.388963             0.000356       0.0            1962      YES            
8      8      16     -129.889764             -1.3e-05       -0.0           2032      YES            
8      10     18     -144.78617              1.9e-05        0.0            2167      YES            
8      12     20     -156.559343             -0.000186      -0.0           2182      YES            
8      14     22     -166.516591             -0.000102      0.0            2287      YES            
8      16     24     -173.33983              -0.001325      4e-06          2344      YES            
8      18     26     -175.341631             -0.00154       -0.0           2405      YES            
8      20     28     -174.659049             -0.005532      -0.0           2494      YES            
8      22     30     -170.750885             -0.02496       -5e-06         2585      YES            
8      24     32     -165.987051             -0.073972      1.2e-05        2674      YES            
8      26     34     -161.359374             -0.106433      4e-06          2764      YES            
10     2      12     -9.650625               -0.019408      -0.0           2812      YES            
10     4      14     -58.112712              0.009348       0.0            2919      YES            
10     6      16     -102.725295             -0.0           -0.0           2963      YES            
10     8      18     -137.545071             -0.000139      -0.0           3007      YES            
10     10     20     -159.681949             0.0            0.0            3098      YES            
10     12     22     -179.14576              0.220846       0.000361       3159      YES            
10     14     24     -194.382347             -0.003204      0.0            3272      YES            
10     16     26     -206.551698             -0.000299      0.0            3334      YES            
10     18     28     -213.385748             -0.001116      0.0            3423      YES            
10     20     30     -217.468377             0.001096       8e-06          3479      YES            
10     22     32     -217.404854             0.011499       0.000154       3569      YES            
10     24     34     -218.242798             0.260722       -0.001143      3613      YES            
10     26     36     -217.141157             0.276317       -0.00014       3688      YES            
10     28     38     -214.585921             0.241247       0.000124       3792      YES            
10     30     40     -211.378716             0.153257       -2e-06         3866      YES            
10     32     42     -208.699801             -0.004144      -0.0           3921      YES            
10     34     44     -204.887508             -0.011313      0.0            4026      YES            
10     36     46     -198.455934             0.388905       0.225351       4109      YES            
10     38     48     -191.076802             0.19202        -2.7e-05       4169      YES            
12     2      14     4.217375                -0.027683      0.0            4237      YES            
12     4      16     -48.286792              1e-06          -0.0           4343      YES            
12     6      18     -98.651595              0.004217       -7e-06         4359      YES            
12     8      20     -140.739772             0.00027        0.0            4434      YES            
12     10     22     -170.646908             0.239999       0.000511       4511      YES            
12     12     24     -196.849431             0.305582       0.028049       4642      YES            
12     14     26     -217.363275             0.156399       -1.8e-05       4667      YES            
12     16     28     -234.479571             -0.000766      0.0            4787      YES            
12     18     30     -246.276377             -0.00077       3e-06          4862      YES            
12     20     32     -255.120713             0.000161       2e-06          4949      YES            
12     22     34     -259.37405              0.00293        2e-06          4995      YES            
12     24     36     -264.600083             0.272482       0.002854       5038      YES            
12     26     38     -267.22251              0.289611       -0.000114      5114      YES            
12     28     40     -267.855928             0.266277       -0.001348      5202      YES            
12     30     42     -267.169024             -0.170776      -1.5e-05       5285      YES            
12     32     44     -266.292185             7e-06          0.0            5363      YES            
12     34     46     -264.187773             0.0            0.0            5408      YES            
12     36     48     -258.960112             0.0            -0.0           5483      YES            
12     38     50     -253.009868             0.047779       1e-06          5621      YES            
12     40     52     -247.135022             0.09618        2.5e-05        5682      YES            
14     2      16     18.526599               -0.375411      0.0            5701      YES            
14     4      18     -37.06315               0.0            -0.0           5783      YES            
14     6      20     -92.991583              2e-06          0.0            5903      YES            
14     8      22     -141.111379             0.00027        -0.0           5994      YES            
