Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -18.740751              0.001985       -0.0           12        YES            
2      4      6      -23.250798              0.0            0.0            143       YES            
2      6      8      -24.627961              -0.010808      0.0            171       YES            
4      2      6      -21.049078              0.012815       0.0            280       YES            
4      4      8      -43.447522              -0.000203      -0.0           307       YES            
4      6      10     -58.708713              -0.001785      0.0            380       YES            
4      8      12     -64.915755              0.0            0.0            458       YES            
4      10     14     -63.55299               -2e-06         -0.0           533       YES            
4      12     16     -61.685816              -0.018003      0.0            637       YES            
4      14     18     -59.810234              0.0            -0.0           713       YES            
4      16     20     -56.912853              0.0            -0.0           788       YES            
4      18     22     -52.438203              -0.0           -0.0           863       YES            
4      20     24     -47.929245              -0.01466       0.0            922       YES            
6      2      8      -18.784341              0.004186       -0.0           1029      YES            
6      4      10     -54.238374              -0.00343       -0.0           1099      YES            
6      6      12     -83.172873              -0.000194      0.0            1131      YES            
6      8      14     -99.873915              0.000559       -2.5e-05       1242      YES            
6      10     16     -105.264684             -3e-06         -0.0           1283      YES            
6      12     18     -109.295831             -1e-06         -0.0           1388      YES            
6      14     20     -112.76003              -0.001659      -0.0           1492      YES            
6      16     22     -114.597399             0.0            0.0            1508      YES            
6      18     24     -112.104457             0.002371       -0.0           1599      YES            
6      20     26     -108.985872             0.0            -0.0           1703      YES            
6      22     28     -105.849644             -0.0           -0.0           1778      YES            
8      2      10     -13.150788              -0.028015      -0.0           1866      YES            
8      4      12     -55.151706              -0.0           -0.0           1913      YES            
8      6      14     -94.045645              -0.000208      -0.0           1957      YES            
8      8      16     -121.760211             2.6e-05        0.0            2034      YES            
8      10     18     -136.167695             0.0            0.0            2108      YES            
8      12     20     -147.659823             -1e-06         -0.0           2183      YES            
8      14     22     -157.254993             -0.000263      0.0            2272      YES            
8      16     24     -164.031837             0.000418       -0.0           2334      YES            
8      18     26     -165.49072              -0.00316       0.0            2406      YES            
8      20     28     -165.138552             -0.001762      -0.0           2542      YES            
8      22     30     -163.099121             -0.024328      -3e-06         2601      YES            
8      24     32     -160.466002             -0.035968      -5e-06         2646      YES            
8      26     34     -157.518486             -0.03413       -6e-06         2706      YES            
10     2      12     -4.385182               0.02043        0.0            2844      YES            
10     4      14     -48.644588              -0.012356      0.0            2872      YES            
