Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -30.083113              0.286422       -0.334673      62        YES            
2      4      6      -37.185901              -0.003268      0.0            139       YES            
2      6      8      -39.740062              0.004098       0.0            207       YES            
4      2      6      -34.526135              -0.005808      -0.0           287       YES            
4      4      8      -56.164806              0.000571       -0.0           344       YES            
4      6      10     -71.474513              0.001162       0.000121       447       YES            
4      8      12     -77.406619              0.002076       0.0            477       YES            
4      10     14     -77.991112              -0.001392      -0.0           532       YES            
4      12     16     -77.924928              -3e-06         0.0            638       YES            
4      14     18     -78.010701              -0.002086      -0.0           682       YES            
4      16     20     -76.573084              0.0            0.0            818       YES            
4      18     22     -71.635933              -0.0           0.0            878       YES            
4      20     24     -66.26723               -0.0           0.0            923       YES            
6      2      8      -32.893904              -0.010272      0.0            1024      YES            
6      4      10     -66.960855              0.023472       0.005236       1062      YES            
6      6      12     -94.41886               0.553861       -0.876132      1194      YES            
6      8      14     -109.795039             -0.000159      0.0            1207      YES            
6      10     16     -117.942576             -0.000315      0.0            1312      YES            
6      12     18     -124.423508             -0.000204      -0.0           1357      YES            
6      14     20     -130.30844              -0.0           -0.0           1433      YES            
6      16     22     -133.782693             -0.002317      -0.0           1521      YES            
6      18     24     -131.425847             -0.005328      4e-06          1611      YES            
6      20     26     -127.87668              -0.022967      4e-06          1700      YES            
6      22     28     -124.029401             -0.054048      6e-06          1730      YES            
8      2      10     -26.063685              0.0            0.0            1808      YES            
8      4      12     -67.461509              0.004068       -0.0           1887      YES            
8      6      14     -103.965452             2e-05          -0.0           1959      YES            
8      8      16     -128.89913              0.0            0.0            2033      YES            
8      10     18     -144.729347             2.7e-05        0.0            2107      YES            
8      12     20     -158.426769             -2.8e-05       0.0            2182      YES            
8      14     22     -170.508695             -0.00062       0.0            2269      YES            
8      16     24     -179.004031             -0.00115       8e-06          2389      YES            
8      18     26     -181.042862             -0.002161      -4e-06         2434      YES            
8      20     28     -181.374192             -0.0           0.0            2483      YES            
8      22     30     -180.131428             0.006896       5e-06          2575      YES            
8      24     32     -178.375164             0.072364       0.000142       2653      YES            
8      26     34     -176.745211             0.085078       3.6e-05        2712      YES            
10     2      12     -16.063486              -0.016692      0.0            2827      YES            
10     4      14     -61.430304              -0.007122      0.0            2902      YES            
10     6      16     -105.0312               -1e-06         -0.0           2963      YES            
10     8      18     -137.556677             -0.00016       -0.0           3007      YES            
10     10     20     -159.611023             2e-06          0.0            3083      YES            
10     12     22     -180.17049              0.226507       0.001628       3217      YES            
10     14     24     -197.040829             0.003109       -0.000126      3289      YES            
10     16     26     -210.091509             -0.000352      4e-06          3304      YES            
10     18     28     -216.354719             0.001          2.5e-05        3450      YES            
10     20     30     -220.740813             0.006316       0.000727       3493      YES            
10     22     32     -224.330031             0.258778       0.000518       3599      YES            
10     24     34     -227.284708             0.282885       0.001824       3630      YES            
10     26     36     -228.685625             0.269165       0.000716       3747      YES            
10     28     38     -228.917781             0.227153       0.000475       3762      YES            
10     30     40     -228.703081             0.130772       0.000102       3893      YES            
10     32     42     -228.762388             -0.003406      -1e-06         3936      YES            
10     34     44     -227.290741             -0.006632      -1e-06         3996      YES            
10     36     46     -222.160946             0.102579       0.0            4107      YES            
10     38     48     -216.94779              0.20007        8.3e-05        4167      YES            
12     2      14     -4.958371               0.936451       -6.634502      4230      YES            
12     4      16     -53.960597              0.177315       0.000161       4318      YES            
12     6      18     -103.106156             -0.002005      -0.0           4387      YES            
12     8      20     -142.62443              0.00018        -0.0           4434      YES            
12     10     22     -171.637293             0.238805       -0.001197      4524      YES            
12     12     24     -198.087235             0.292416       0.001772       4585      YES            
12     14     26     -219.675491             0.096545       0.001506       4715      YES            
12     16     28     -237.233906             -0.000702      6e-06          4787      YES            
12     18     30     -247.909834             -0.001007      3e-06          4847      YES            
12     20     32     -256.562047             0.000223       7e-06          4904      YES            
12     22     34     -264.581909             0.308379       0.005068       4980      YES            
12     24     36     -271.198863             0.299426       0.001004       5040      YES            
12     26     38     -276.044056             0.278869       -0.000321      5168      YES            
12     28     40     -279.10169              0.24126        5e-06          5199      YES            
12     30     42     -281.11713              -0.141496      0.000884       5272      YES            
12     32     44     -282.934979             -2e-06         -0.0           5378      YES            
12     34     46     -282.919335             -0.002649      0.0            5436      YES            
12     36     48     -278.836151             0.0            -1e-06         5543      YES            
12     38     50     -275.415467             0.23186        6e-05          5562      YES            
12     40     52     -272.449128             0.280212       7.8e-05        5667      YES            
14     2      16     6.083621                0.755829       -6.782941      5742      YES            
14     4      18     -45.583288              0.005981       -0.0           5784      YES            
14     6      20     -99.652667              -0.001173      0.0            5857      YES            
14     8      22     -144.984231             -0.000192      0.0            5977      YES            
14     10     24     -178.401483             -0.000991      8e-06          6034      YES            
14     12     26     -209.691783             0.117595       -0.000394      6138      YES            
14     14     28     -237.97435              -0.001167      6e-06          6152      YES            
14     16     30     -260.18386              -0.00047       5e-06          6242      YES            
14     18     32     -275.37756              0.000241       7e-06          6330      YES            
14     20     34     -288.306909             0.000151       -4e-06         6390      YES            
14     22     36     -298.685341             0.000409       -7e-06         6464      YES            
14     24     38     -308.382191             0.167906       -3.2e-05       6534      YES            
14     26     40     -316.804286             0.172305       0.000183       6609      YES            
14     28     42     -324.2342               -0.1643        4.4e-05        6682      YES            
14     30     44     -329.507659             -0.086436      0.000184       6784      YES            
14     32     46     -333.699432             0.000264       -3e-06         6864      YES            
14     34     48     -335.29252              -0.001362      3e-06          6921      YES            
14     36     50     -333.14115              -0.000641      -0.0           6982      YES            
14     38     52     -330.368023             4e-06          0.0            7073      YES            
14     40     54     -327.978359             0.220058       0.000189       7182      YES            
16     4      20     -34.836476              -0.0           0.0            7208      YES            
16     6      22     -93.186417              -0.001768      0.0            7297      YES            
16     8      24     -143.081792             -0.000471      -0.0           7402      YES            
16     10     26     -180.709799             -0.00068       0.0            7491      YES            
16     12     28     -216.159273             -0.000241      1.2e-05        7519      YES            
16     14     30     -249.004182             0.000261       -8e-06         7590      YES            
16     16     32     -275.34304              0.00053        1.7e-05        7665      YES            
16     18     34     -294.826505             0.000363       1e-05          7752      YES            
16     20     36     -311.792209             0.000173       4e-06          7842      YES            
16     22     38     -325.816808             5.8e-05        -0.0           7913      YES            
16     24     40     -338.651383             0.096741       3e-06          7962      YES            
16     26     42     -350.857565             0.132477       -1.5e-05       8037      YES            
16     28     44     -361.144814             -0.093628      1.9e-05        8153      YES            
16     30     46     -369.489314             9e-05          1e-06          8199      YES            
16     32     48     -376.186394             0.00088        -4e-06         8317      YES            
