Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -30.66859               0.001937       0.0            41        YES            
2      4      6      -34.66806               -0.002563      0.0            127       YES            
2      6      8      -36.0787                -0.007518      0.0            156       YES            
4      2      6      -32.090797              -0.038061      -0.0           257       YES            
4      4      8      -52.937172              -0.000227      -0.0           322       YES            
4      6      10     -67.667612              0.00214        0.0            404       YES            
4      8      12     -74.429477              0.0            -0.0           458       YES            
4      10     14     -73.187355              0.072157       2.5e-05        597       YES            
4      12     16     -71.482886              -0.015383      -0.0           622       YES            
4      14     18     -69.798017              -3e-06         0.0            728       YES            
4      16     20     -66.835779              0.0            0.0            773       YES            
4      18     22     -62.131508              0.0            -0.0           893       YES            
4      20     24     -56.910395              0.0            0.0            908       YES            
6      2      8      -29.781151              0.003217       -0.0           984       YES            
6      4      10     -63.381258              -0.002897      0.0            1084      YES            
6      6      12     -90.375147              0.000593       -0.0           1155      YES            
6      8      14     -106.958177             0.000427       0.0            1211      YES            
6      10     16     -113.189492             0.005913       -9e-06         1302      YES            
6      12     18     -117.823199             -2e-06         -0.0           1388      YES            
6      14     20     -121.77819              -1e-06         0.0            1493      YES            
6      16     22     -123.775019             -0.0           0.0            1508      YES            
6      18     24     -121.973805             -0.0           0.0            1643      YES            
6      20     26     -118.577055             0.004399       -0.0           1674      YES            
6      22     28     -114.597766             -0.035751      0.0            1776      YES            
8      2      10     -23.732273              -0.024731      -0.0           1806      YES            
8      4      12     -64.775284              -0.001437      0.0            1897      YES            
8      6      14     -101.186438             0.000684       0.0            1961      YES            
8      8      16     -127.416212             0.0            0.0            2033      YES            
8      10     18     -142.013494             0.000206       0.0            2139      YES            
8      12     20     -153.79966              -6.1e-05       0.0            2182      YES            
8      14     22     -163.890095             0.000191       0.0            2274      YES            
8      16     24     -170.970275             -0.001422      0.0            2331      YES            
8      18     26     -173.527033             -0.001996      -0.0           2451      YES            
8      20     28     -173.548063             -0.001148      0.0            2527      YES            
8      22     30     -170.996695             0.031388       -1.3e-05       2561      YES            
8      24     32     -167.775988             -0.086251      1.9e-05        2674      YES            
8      26     34     -164.54054              -0.088608      1.3e-05        2750      YES            
10     2      12     -13.91147               -0.021226      -0.0           2842      YES            
10     4      14     -57.780614              -0.014258      0.0            2857      YES            
10     6      16     -100.413581             0.0            -0.0           2993      YES            
10     8      18     -134.747532             -0.000164      -0.0           3022      YES            
10     10     20     -157.30912              0.188039       -0.000861      3130      YES            
10     12     22     -176.591319             0.24139        0.00013        3173      YES            
10     14     24     -191.822351             -0.002327      1.3e-05        3288      YES            
10     16     26     -203.931774             -0.000897      0.0            3319      YES            
10     18     28     -211.023307             -0.001994      0.0            3378      YES            
10     20     30     -215.306958             0.001851       -8e-06         3463      YES            
10     22     32     -216.238617             0.142573       -0.000457      3540      YES            
10     24     34     -217.578123             0.269039       0.000191       3614      YES            
10     26     36     -217.239825             0.273782       9.9e-05        3687      YES            
10     28     38     -215.807746             0.231674       0.000208       3761      YES            
10     30     40     -214.019964             0.145027       -6.1e-05       3865      YES            
10     32     42     -212.728058             -0.005133      -3e-06         3966      YES            
10     34     44     -210.562816             -0.009606      -0.0           3981      YES            
10     36     46     -205.585291             0.090337       7e-06          4092      YES            
10     38     48     -200.051502             0.156681       0.000308       4167      YES            
12     2      14     -2.196198               0.870888       5.30939        4275      YES            
12     4      16     -49.178307              -3e-06         -0.0           4313      YES            
12     6      18     -97.018299              -3e-06         -0.0           4418      YES            
12     8      20     -138.105698             -0.000478      0.0            4462      YES            
12     10     22     -168.144363             0.256537       0.001007       4523      YES            
12     12     24     -194.003099             0.295405       0.000324       4609      YES            
12     14     26     -214.743313             -0.115415      -0.000706      4654      YES            
12     16     28     -231.685981             -0.001126      -6e-06         4727      YES            
12     18     30     -243.537522             0.000217       0.0            4858      YES            
12     20     32     -252.389735             0.000466       2e-06          4950      YES            
12     22     34     -257.439935             0.141324       0.000489       4979      YES            
12     24     36     -262.670037             0.27634        -0.001506      5037      YES            
12     26     38     -265.798111             0.289429       0.003221       5126      YES            
12     28     40     -267.081104             0.258396       0.000742       5202      YES            
12     30     42     -267.801596             -0.172171      0.000342       5303      YES            
12     32     44     -268.249872             -0.000906      0.0            5362      YES            
12     34     46     -267.822468             -0.003823      -1e-06         5451      YES            
12     36     48     -263.959108             -0.011887      -5e-06         5496      YES            
12     38     50     -259.433518             0.085113       1.4e-05        5607      YES            
12     40     52     -255.188309             0.159871       -0.000126      5637      YES            
14     2      16     8.864561                0.703342       6.379248       5727      YES            
14     4      18     -39.26597               -2e-06         0.0            5828      YES            
14     6      20     -92.199759              -0.003237      -0.0           5917      YES            
14     8      22     -138.747681             -0.000534      -0.0           5962      YES            
14     10     24     -173.414343             -0.003697      0.000509       6019      YES            
14     12     26     -204.904158             -0.133123      0.003428       6107      YES            
14     14     28     -232.458785             -4.5e-05       -3e-06         6155      YES            
14     16     30     -254.631225             -0.00059       -0.0           6257      YES            
14     18     32     -271.257985             0.000128       -0.0           6314      YES            
14     20     34     -284.634861             0.000183       6e-06          6435      YES            
14     22     36     -293.515806             4.2e-05        0.0            6518      YES            
14     24     38     -301.437021             0.192172       0.000418       6537      YES            
14     26     40     -307.894191             0.218325       -9.8e-05       6609      YES            
14     28     42     -313.403848             -0.195392      0.000994       6742      YES            
14     30     44     -317.170101             -0.152624      0.000531       6818      YES            
14     32     46     -320.105678             0.000472       0.0            6879      YES            
14     34     48     -321.343795             -0.001885      -0.0           6936      YES            
14     36     50     -319.545282             -0.000697      -0.0           7042      YES            
14     38     52     -316.818481             -0.00508       -1e-06         7071      YES            
14     40     54     -313.676239             -0.015302      1e-06          7176      YES            
16     4      20     -27.843507              0.792033       2.450897       7275      YES            
16     6      22     -84.653444              0.002934       0.0            7299      YES            
16     8      24     -135.79024              -0.0           -0.0           7403      YES            
16     10     26     -174.983962             -0.001622      0.0            7430      YES            
16     12     28     -210.866649             0.00094        -1.5e-05       7515      YES            
16     14     30     -243.539331             -0.001017      5e-06          7607      YES            
16     16     32     -270.351728             0.00012        -0.0           7665      YES            
16     18     34     -291.593894             0.000117       0.0            7755      YES            
16     20     36     -309.358938             1e-06          0.0            7812      YES            
16     22     38     -322.359813             -0.000131      -0.0           7886      YES            
16     24     40     -333.683042             0.107477       6.4e-05        7962      YES            
16     26     42     -343.946384             0.154846       -0.001979      8079      YES            
16     28     44     -352.485176             -0.136405      -3.5e-05       8107      YES            
16     30     46     -359.326533             1.8e-05        -0.0           8243      YES            
16     32     48     -365.036099             0.000266       1e-06          8289      YES            
16     34     50     -368.138847             -0.0           0.0            8378      YES            
16     36     52     -368.809024             -0.000279      -0.0           8407      YES            
16     38     54     -368.624131             -0.001069      1e-06          8481      YES            
16     40     56     -367.486826             -0.00375       2e-06          8571      YES            
16     42     58     -365.046274             0.044926       3.7e-05        8681      YES            
16     44     60     -363.115013             0.187616       -5.5e-05       8742      YES            
16     46     62     -360.915305             0.219782       1.7e-05        8847      YES            
