Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
2      2      4      -29.02395               -0.000173      0.0            49        YES            
2      4      6      -34.188049              0.005309       0.0            88        YES            
2      6      8      -34.804723              0.004894       0.0            175       YES            
4      2      6      -32.217249              -0.005668      0.0            289       YES            
4      4      8      -55.534939              0.134812       0.074351       326       YES            
4      6      10     -69.745007              0.000525       -2.4e-05       400       YES            
4      8      12     -75.005042              -0.000454      0.0            457       YES            
4      10     14     -74.080831              0.0            0.0            563       YES            
4      12     16     -72.357579              -0.005282      -0.0           607       YES            
4      14     18     -70.533227              0.0            0.0            728       YES            
4      16     20     -67.704679              0.003064       -0.0           774       YES            
4      18     22     -63.619051              0.0            0.0            833       YES            
4      20     24     -59.002226              0.007332       0.0            954       YES            
6      2      8      -28.777667              -0.017642      -0.0           994       YES            
6      4      10     -64.954158              0.134238       0.074613       1092      YES            
6      6      12     -92.508858              0.0            0.0            1133      YES            
6      8      14     -107.674336             -0.0           0.0            1208      YES            
6      10     16     -114.631876             0.0            -0.0           1283      YES            
6      12     18     -119.336332             -0.00065       0.0            1417      YES            
6      14     20     -123.160008             -0.006345      6e-06          1459      YES            
6      16     22     -125.058184             0.0            -0.0           1568      YES            
6      18     24     -123.370416             -0.001124      -0.0           1642      YES            
6      20     26     -120.467557             -0.0           0.0            1703      YES            
6      22     28     -116.827574             -0.029437      3e-06          1746      YES            
8      2      10     -21.855939              -0.024021      0.0            1806      YES            
8      4      12     -64.800121              0.0            0.0            1898      YES            
8      6      14     -101.951119             0.0            -0.0           1988      YES            
8      8      16     -126.773519             -3e-05         0.0            2034      YES            
8      10     18     -142.084918             1.8e-05        0.0            2107      YES            
8      12     20     -154.224636             -0.001613      1.2e-05        2178      YES            
8      14     22     -164.325559             -0.001251      0.0            2269      YES            
8      16     24     -171.229298             -0.001269      0.0            2376      YES            
8      18     26     -173.458896             -0.0           0.0            2468      YES            
8      20     28     -173.742049             0.0            0.0            2528      YES            
8      22     30     -171.503554             0.026083       -0.0           2606      YES            
8      24     32     -168.636328             0.070361       -2.6e-05       2667      YES            
8      26     34     -165.729789             0.060422       -8e-06         2711      YES            
10     2      12     -12.038681              -0.0           0.0            2783      YES            
10     4      14     -58.33212               0.005327       0.0            2859      YES            
10     6      16     -102.537017             -0.000388      0.0            2962      YES            
10     8      18     -135.71278              -0.0           -0.0           3038      YES            
10     10     20     -158.489844             -0.0013        0.0            3079      YES            
10     12     22     -177.677816             -0.000775      2e-05          3169      YES            
10     14     24     -193.977853             -0.001029      0.0            3242      YES            
10     16     26     -205.768809             0.000598       -1.1e-05       3313      YES            
10     18     28     -212.084791             0.000961       -0.0           3387      YES            
10     20     30     -216.129389             -0.0           -0.0           3458      YES            
10     22     32     -217.053517             0.121161       -9.7e-05       3538      YES            
10     24     34     -218.265953             0.24642        0.000445       3612      YES            
10     26     36     -218.043948             0.255125       -8.8e-05       3702      YES            
10     28     38     -216.859007             0.210358       -2.4e-05       3761      YES            
10     30     40     -215.404582             0.114324       -5.8e-05       3864      YES            
10     32     42     -214.477032             1e-06          0.0            3938      YES            
10     34     44     -212.691382             -0.007069      1e-06          3996      YES            
10     36     46     -208.072395             -0.020814      -3e-06         4101      YES            
10     38     48     -203.241322             0.125153       4e-05          4197      YES            
12     2      14     -0.583143               0.829053       4.059981       4275      YES            
12     4      16     -49.847906              -1e-06         -0.0           4313      YES            
12     6      18     -99.517694              0.001351       -0.0           4404      YES            
12     8      20     -139.599847             0.000217       0.0            4494      YES            
12     10     22     -169.233223             0.000136       0.0            4564      YES            
12     12     24     -195.219174             0.095372       -0.000286      4586      YES            
12     14     26     -217.648749             -0.000221      0.0            4653      YES            
12     16     28     -234.552734             5.4e-05        3e-06          4796      YES            
12     18     30     -245.440608             0.000318       1.3e-05        4812      YES            
12     20     32     -253.789683             0.000273       -0.0           4902      YES            
12     22     34     -258.686064             0.098511       0.000572       4992      YES            
12     24     36     -263.609885             0.249575       -0.005002      5035      YES            
12     26     38     -266.704517             0.264213       4.4e-05        5154      YES            
12     28     40     -268.092661             0.22492        0.000242       5214      YES            
12     30     42     -269.235131             -0.160855      6.7e-05        5270      YES            
12     32     44     -270.042627             -2e-06         -0.0           5378      YES            
12     34     46     -270.1289               -0.00336       -2e-06         5451      YES            
12     36     48     -266.775223             -0.006062      -2e-06         5541      YES            
12     38     50     -262.968596             -0.013818      6e-06          5616      YES            
12     40     52     -259.169177             0.080738       -2.6e-05       5697      YES            
14     2      16     10.581397               0.681891       5.043208       5772      YES            
14     4      18     -39.970383              -0.008412      -0.0           5827      YES            
14     6      20     -94.416062              -0.001885      0.0            5917      YES            
14     8      22     -140.152202             -0.001865      0.0            5931      YES            
14     10     24     -175.65507              -0.000781      -8e-06         6005      YES            
14     12     26     -207.584384             -0.00119       7e-06          6077      YES            
14     14     28     -235.967377             -2.6e-05       0.0            6163      YES            
14     16     30     -258.014301             0.204305       0.101138       6237      YES            
14     18     32     -273.618573             0.0            -0.0           6368      YES            
14     20     34     -286.439876             -4.8e-05       -0.0           6382      YES            
14     22     36     -295.48881              0.0001         2e-06          6473      YES            
14     24     38     -303.068237             0.158405       0.015265       6580      YES            
14     26     40     -309.455565             0.181399       0.004616       6624      YES            
14     28     42     -314.876944             -0.164103      0.000697       6712      YES            
14     30     44     -318.801557             -0.1091        6.4e-05        6811      YES            
14     32     46     -322.349103             0.001566       -3e-06         6895      YES            
14     34     48     -324.073146             -0.001894      1e-06          6936      YES            
14     36     50     -322.517987             -0.002161      1e-06          7041      YES            
14     38     52     -320.378784             -0.003222      2e-06          7056      YES            
14     40     54     -317.790131             -0.010752      -2e-06         7146      YES            
16     4      20     -28.478414              -0.0           0.0            7223      YES            
16     6      22     -86.319356              0.002629       0.0            7344      YES            
16     8      24     -136.616655             0.0            0.0            7403      YES            
16     10     26     -176.629486             -0.001651      7e-06          7489      YES            
16     12     28     -213.427461             -0.000459      1.9e-05        7549      YES            
16     14     30     -246.823443             0.000218       -3e-06         7590      YES            
16     16     32     -273.683299             1.9e-05        -0.0           7662      YES            
16     18     34     -293.839265             0.000152       4e-06          7737      YES            
16     20     36     -310.948866             3.4e-05        -0.0           7868      YES            
16     22     38     -324.101118             9e-06          0.0            7898      YES            
16     24     40     -335.191909             0.000107       0.0            7957      YES            
16     26     42     -345.292958             0.111409       3.6e-05        8034      YES            
16     28     44     -353.855468             -0.087188      -2.6e-05       8107      YES            
16     30     46     -361.24845              7.6e-05        -1e-06         8213      YES            
16     32     48     -367.229001             0.000618       -1e-06         8260      YES            
16     34     50     -370.589196             -0.001025      0.0            8346      YES            
16     36     52     -371.255123             -0.001113      -1e-06         8436      YES            
16     38     54     -371.325377             -0.002403      3e-06          8480      YES            
16     40     56     -370.543346             0.005307       9e-06          8591      YES            
16     42     58     -368.408732             0.04654        6.1e-05        8652      YES            
16     44     60     -366.424105             0.156684       -5.3e-05       8727      YES            
16     46     62     -364.345124             0.194409       -0.000137      8802      YES            
16     48     64     -361.825277             0.203741       -0.000108      8862      YES            
18     6      24     -75.14361               0.805919       2.257081       8955      YES            
18     8      26     -128.525739             0.0            -0.0           9053      YES            
18     10     28     -172.063033             -0.002506      3e-06          9125      YES            
18     12     30     -212.883318             -0.0           0.0            9158      YES            
18     14     32     -250.61128              0.000255       0.0            9237      YES            
18     16     34     -281.795113             7.8e-05        -2e-06         9327      YES            
18     18     36     -306.715364             9.7e-05        0.0            9444      YES            
18     20     38     -328.431243             7.3e-05        0.0            9489      YES            
18     22     40     -345.829969             -5.2e-05       2e-06          9594      YES            
18     24     42     -361.05479              3e-06          -0.0           9608      YES            
18     26     44     -374.735499             0.000189       -1e-06         9697      YES            
18     28     46     -386.838726             5.8e-05        -0.0           9817      YES            
18     30     48     -397.38287              -0.001046      -0.0           9829      YES            
18     32     50     -405.671365             -0.000899      2e-06          9950      YES            
18     34     52     -410.990887             -0.001407      -0.0           9980      YES            
18     36     54     -414.293616             -0.001481      2e-06          10055     YES            
18     38     56     -416.890109             -0.001354      2e-06          10160     YES            
18     40     58     -418.495394             0.001063       -1e-06         10211     YES            
18     42     60     -418.163141             0.008431       -2.2e-05       10347     YES            
18     44     62     -417.495854             0.114962       -3.4e-05       10392     YES            
18     46     64     -416.918696             0.167875       2.6e-05        10482     YES            
18     48     66     -415.888265             0.183597       -4.3e-05       10557     YES            
18     50     68     -414.792126             -0.161593      -8e-05         10641     YES            
18     52     70     -413.536158             -0.165028      4.8e-05        10686     YES            
18     54     72     -411.844632             -0.148841      -2.2e-05       10792     YES            
18     56     74     -409.694733             -0.107382      -9e-06         10807     YES            
20     8      28     -117.559073             -0.004555      0.0            10882     YES            
20     10     30     -163.950851             -0.00188       0.0            10972     YES            
20     12     32     -208.522771             -0.0           0.0            11063     YES            
20     14     34     -250.320175             0.000392       -2e-06         11112     YES            
20     16     36     -285.566909             8.6e-05        4e-06          11187     YES            
20     18     38     -315.082946             -4.8e-05       -2e-06         11272     YES            
20     20     40     -341.318217             1.9e-05        -0.0           11393     YES            
20     22     42     -362.825184             1e-06          0.0            11423     YES            
20     24     44     -382.06415              -6.2e-05       0.0            11484     YES            
20     26     46     -399.649753             3e-06          -0.0           11573     YES            
20     28     48     -415.267122             -0.000204      0.0            11629     YES            
20     30     50     -428.629378             -0.000402      4e-06          11734     YES            
20     32     52     -439.23132              -0.000481      3e-06          11825     YES            
20     34     54     -446.789396             -0.000796      2e-06          11915     YES            
20     36     56     -452.787679             -0.000855      -1e-06         11945     YES            
20     38     58     -458.09343              -0.000274      1e-06          12051     YES            
20     40     60     -462.24934              0.000526       2e-06          12087     YES            
20     42     62     -464.470467             0.000991       -3e-06         12162     YES            
20     44     64     -465.569406             0.003944       0.000103       12236     YES            
20     46     66     -466.282809             0.09821        0.00032        12372     YES            
20     48     68     -466.843835             0.136136       7.6e-05        12447     YES            
20     50     70     -467.028872             0.122448       -7.7e-05       12492     YES            
20     52     72     -467.162535             -0.094075      -5.1e-05       12577     YES            
20     54     74     -467.140292             -9e-06         0.0            12638     YES            
20     56     76     -467.003391             0.0            0.0            12683     YES            
20     58     78     -466.555198             -0.00173       0.0            12757     YES            
20     60     80     -465.762306             -0.0           0.0            12848     YES            
20     62     82     -463.759686             -0.0           1e-06          12938     YES            
22     12     34     -201.160381             0.228529       0.000298       13005     YES            
22     14     36     -245.912279             0.002508       0.000144       13077     YES            
22     16     38     -285.061754             0.00053        3e-05          13137     YES            
22     18     40     -318.848322             2.6e-05        -0.0           13238     YES            
22     20     42     -349.301193             0.0            -0.0           13343     YES            
22     22     44     -374.656605             2e-06          0.0            13373     YES            
22     24     46     -397.662936             4e-06          -0.0           13493     YES            
22     26     48     -418.957939             -7.6e-05       -0.0           13504     YES            
22     28     50     -437.979222             4.5e-05        0.0            13579     YES            
22     30     52     -454.024508             -0.000728      1e-06          13653     YES            
22     32     54     -467.025711             -0.000914      1e-06          13773     YES            
22     34     56     -476.947728             -0.001634      2e-06          13862     YES            
22     36     58     -485.490406             -0.001411      4e-06          13878     YES            
22     38     60     -493.290095             0.000198       -1e-06         13962     YES            
22     40     62     -499.896382             0.000264       -1.5e-05       14096     YES            
22     42     64     -504.607346             0.000243       1e-06          14112     YES            
22     44     66     -508.105704             0.001503       -4e-06         14187     YES            
22     46     68     -511.806927             0.146961       0.001126       14292     YES            
22     48     70     -514.327162             0.165539       2.8e-05        14397     YES            
22     50     72     -515.990323             0.15425        7e-05          14427     YES            
22     52     74     -517.057493             0.122514       1.9e-05        14532     YES            
22     54     76     -518.011179             -0.077374      1.3e-05        14571     YES            
22     56     78     -518.78784              1e-06          -0.0           14633     YES            
22     58     80     -519.257132             -1e-06         -0.0           14753     YES            
22     60     82     -519.217783             -0.001063      0.0            14782     YES            
22     62     84     -517.961931             -0.0           -0.0           14888     YES            
22     64     86     -514.525576             0.0            -0.0           14993     YES            
24     12     36     -192.350263             0.296083       0.000329       15045     YES            
24     14     38     -239.265065             0.171959       0.000324       15117     YES            
24     16     40     -281.44668              0.064636       -0.000127      15165     YES            
24     18     42     -319.12551              5e-06          0.0            15293     YES            
24     20     44     -353.628585             -8.5e-05       -0.0           15324     YES            
24     22     46     -382.702457             1e-06          -0.0           15413     YES            
24     24     48     -410.219335             0.172526       2.5e-05        15459     YES            
24     26     50     -434.801114             0.152157       0.000652       15540     YES            
24     28     52     -456.643024             -0.001713      7e-06          15618     YES            
24     30     54     -475.395861             -0.000917      2e-06          15738     YES            
24     32     56     -490.921437             -0.001247      -2e-06         15752     YES            
24     34     58     -503.386318             -0.002282      -3e-06         15827     YES            
24     36     60     -514.530544             -0.001834      -1e-06         15903     YES            
24     38     62     -524.91305              0.000643       1e-06          15989     YES            
24     40     64     -534.027985             6.1e-05        -1e-06         16062     YES            
24     42     66     -541.301916             0.000603       3.3e-05        16167     YES            
24     44     68     -547.91049              0.130412       0.001921       16227     YES            
24     46     70     -553.938441             0.179701       -4.2e-05       16287     YES            
24     48     72     -558.508356             0.190705       -0.000251      16377     YES            
24     50     74     -561.872823             0.183625       0.000849       16467     YES            
24     52     76     -564.324876             0.155481       -0.000177      16572     YES            
24     54     78     -566.199695             -0.089173      0.00011        16612     YES            
24     56     80     -567.885257             -0.003235      -0.0           16657     YES            
24     58     82     -569.276055             -2e-06         0.0            16748     YES            
24     60     84     -570.055151             -0.000798      0.0            16852     YES            
24     62     86     -569.627385             -0.000591      -0.0           16882     YES            
24     64     88     -567.443344             -0.000462      0.0            16957     YES            
24     66     90     -564.647413             -0.0           -0.0           17033     YES            
26     14     40     -230.703045             -0.183792      0.000202       5         YES            
26     16     42     -275.908764             0.127513       0.006466       100       YES            
26     18     44     -316.762941             0.001129       1e-06          159       YES            
26     20     46     -355.001632             -2.1e-05       0.0            264       YES            
26     22     48     -387.619592             -0.000282      -0.0           324       YES            
26     24     50     -418.643581             0.1706         0.003936       399       YES            
26     26     52     -446.686977             0.143591       -1.1e-05       465       YES            
26     28     54     -472.039191             0.000522       -0.0           529       YES            
26     30     56     -493.500453             -0.001002      -2e-06         663       YES            
26     32     58     -511.603747             -0.001475      1e-06          677       YES            
26     34     60     -526.707216             0.00154        -5e-06         764       YES            
26     36     62     -540.543407             0.001438       -1e-06         839       YES            
