Z     N         S2n(KeV)        S2n_Err(KeV)     S1n(KeV)        S1n_Err(Kev)
60    96        10534.369       52.696           5997.849        9.457
60    98        9829.626        36.747           5507.031        44.335
61    97        11083.478       4.160            4878.693        7.294
61    99        9889.696        16.376           4368.573        19.101
62    100       10288.203       7.740            5780.402        8.436
63    99        11320.146       10.129           4937.566        10.975
63    100       10770.884       11.149           5787.708        35.458
64    99        11974.747       4.289            5128.828        5.642
64    100       11556.025       4.942            6427.198        4.910
64    101       11327.166       5.801            4899.968        5.123
64    102       10836.076       4.671            5936.108        5.600
65    99        12556.799       36.579           5565.460        5.632
