Z,N,BE(MeV),BE_sd(MeV),BE_BEA(MeV),diff(MeV)
0,1,6.816999999999999e-05,4.6e-07,0.0,6.816999999999999e-05
1,0,8.159e-05,9.000000000000001e-08,0.0,8.159e-05
1,1,2.22471574,1.1e-07,2.224566,0.00014974000000034238
1,2,8.48201287,2.2e-07,8.481795,0.00021787000000017542
2,1,7.71827177,2.1e-07,7.718039999999999,0.0002317700000009637
1,3,6.882081100000001,0.1,6.8817960000000005,0.0002851000000001491
2,2,28.29595939,6.000000000000001e-08,28.29566,0.0002993899999985672
3,1,4.6153528999999995,0.21213200000000001,4.61504,0.00031289999999994933
1,4,6.6821494,0.089443,6.681795,0.00035439999999997696
2,3,27.561027300000003,0.02,27.560659999999995,0.0003673000000077309
3,2,26.3310412,0.05,26.330659999999995,0.0003812000000067428
1,5,5.7702577,0.254127,5.7698339999999995,0.00042370000000069297
2,4,29.271550599999998,5.3e-05,29.271114,0.0004365999999969006
3,3,31.99443355,1.4400000000000002e-06,31.993986,0.00044755000000051837
4,2,26.923946400000002,0.005448000000000001,26.923482000000003,0.00046439999999847714
2,5,28.861904900000003,0.007559,28.861399,0.0005059000000038338
3,4,39.24559251,4.23e-06,39.245073000000005,0.0005195099999966146
4,3,37.6013657,7.099999999999999e-05,37.600835999999994,0.000529700000008404
5,2,24.9114816,0.02515,24.910935,0.0005465999999998417
2,6,31.3967352,8.9e-05,31.39616,0.000575200000000109
3,5,41.2782791,4.7e-05,41.277696000000006,0.0005830999999929531
4,4,56.500079,3.5000000000000004e-05,56.499480000000005,0.000598999999994021
5,3,37.7378499,0.001,37.73724,0.0006099000000006072
6,2,24.8128158,0.018243,24.812192,0.0006237999999996191
2,7,30.1419755,0.046816,30.141333,0.0006425000000014336
3,6,45.3405664,0.000186,45.339912,0.0006544000000019423
4,5,58.1646823,7.7e-05,58.16401199999999,0.0006703000000101156
5,4,56.3143142,0.000903,56.313629999999996,0.0006842000000020221
6,3,39.0374971,0.002137,39.036807,0.0006900999999999158
2,8,29.9520438,0.092848,29.951340000000002,0.0007037999999965905
3,7,45.314229700000006,0.012721,45.313509999999994,0.0007197000000118692
4,6,64.9770326,8.1e-05,64.97630000000001,0.0007325999999920896
5,5,64.75157850000001,1.4999999999999999e-05,64.75083,0.0007485000000144737
6,4,60.3211824,7.000000000000001e-05,60.320420000000006,0.0007623999999921693
7,3,36.4374953,0.4,36.43672,0.0007753000000008115
3,8,45.709985,0.000615,45.709191000000004,0.0007939999999990732
4,7,65.4787389,0.00023799999999999998,65.47794,0.0007988999999923863
5,6,76.2058658,1.2e-05,76.205052,0.0008138000000030843
6,5,73.44184369999999,5.9999999999999995e-05,73.441016,0.0008276999999878853
7,4,59.0053476,0.046154,59.004506,0.0008416000000011081
3,9,45.5000533,0.030006,45.499199999999995,0.0008533000000028323
4,8,68.6495312,0.001909,68.648664,0.0008672000000018443
5,7,79.5755611,0.001321,79.57467600000001,0.0008850999999907572
6,6,92.162625,0.0,92.161728,0.0008970000000090295
7,5,74.0422239,0.001,74.041308,0.0009158999999954176
8,4,58.683345800000005,0.024,58.682424,0.0009218000000075222
3,10,45.6001216,0.070003,45.59919,0.0009316000000012536
4,9,68.1395995,0.01018,68.138655,0.0009445000000027903
5,8,84.4543964,0.001,84.453447,0.0009493999999961034
6,7,97.10900142,2.1e-07,97.108037,0.0009644200000025194
7,6,94.1061962,0.00027,94.10521899999999,0.000977200000008338
8,5,75.5539121,0.009526,75.55291899999999,0.0009931000000165113
4,10,69.9155638,0.132245,69.914558,0.0010058000000015
5,9,85.4240437,0.021213000000000003,85.423016,0.0010276999999945247
6,8,105.28550281999999,3.76e-06,105.284466,0.0010368199999959415
7,7,104.65964578,1.9e-07,104.65859599999999,0.0010497800000166535
8,6,98.7329484,2.5e-05,98.731892,0.0010563999999959606
9,5,73.99399430000001,0.041119,73.99291199999999,0.0010823000000215188
4,11,68.1156321,0.165797,68.11455000000001,0.00108209999999076
5,10,88.200872,0.021032,88.19977499999999,0.0010970000000156688
6,9,106.5036369,0.0008,106.50253500000001,0.001101899999994771
7,8,115.49300909,6e-07,115.4919,0.0011090899999999237
8,7,111.9565097,0.000491,111.95538,0.0011296999999927948
9,6,97.4630306,0.014,97.461885,0.001145600000000968
10,5,73.0320755,0.066684,73.03092,0.001155500000010079
4,12,68.5657004,0.165797,68.56456,0.0011403999999970438
5,11,88.1179893,0.024569,88.11683199999999,0.0011573000000169031
6,10,110.75403419999999,0.003578,110.752864,0.0011701999999900181
7,9,117.9819261,0.002301,117.98073600000001,0.0011900999999880923
8,8,127.62050135000001,1.6e-07,127.619296,0.0012053500000064332
9,7,111.4209139,0.008321,111.419696,0.001217900000000327
10,6,97.3320578,0.02048,97.330832,0.0012258000000002767
5,12,89.58556759999999,0.204104,89.58433900000001,0.0012285999999761543
6,11,111.4876535,0.017365,111.48640800000001,0.0012454999999818028
7,10,123.8671394,0.015,123.86589300000001,0.0012463999999852149
8,9,131.76364877999998,6.6e-07,131.762376,0.001272779999993645
9,8,128.2208502,0.000248,128.219576,0.0012742000000116604
10,7,112.8897721,0.000354,112.888483,0.0012891000000081476
11,6,93.434672,1.001356,93.43336000000001,0.0013119999999986476
5,13,89.58063589999999,0.20416499999999999,89.57934,0.001295899999988137
6,12,115.6716728,0.03,115.67035800000001,0.001314799999988736
7,11,126.6954357,0.01857,126.694116,0.0013197000000104708
8,10,139.8090862,7.1e-07,139.80774599999998,0.0013402000000155567
9,9,137.3708245,0.00046300000000000003,137.369484,0.0013404999999977463
10,8,132.1439904,0.000363,132.14262599999998,0.001364400000028354
11,7,111.6412833,0.093881,111.63990599999998,0.0013773000000156799
5,14,89.67441120000001,0.525363,89.673046,0.0013652000000092812
6,13,116.2485701,0.09838899999999999,116.24718700000001,0.0013830999999839833
7,12,132.023707,0.016404,132.022317,0.0013900000000148793
8,11,143.76479790000002,0.002637,143.763405,0.0013929000000132419
9,10,147.802767,8.6e-07,147.801342,0.0014249999999833562
10,9,143.78093969999998,0.00016,143.779517,0.0014226999999777945
11,8,131.8212666,0.010535000000000001,131.819815,0.0014515999999957785
12,7,112.13993450000001,0.050001,112.13847499999999,0.0014595000000241498
6,14,119.2301444,0.230625,119.22870000000002,0.0014443999999826929
7,13,134.1848783,0.078894,134.18342,0.0014582999999959156
8,12,151.3728692,0.000885,151.3714,0.0014692000000025018
9,11,154.4041711,2.9999999999999997e-05,154.40268,0.0014911000000097374
10,10,160.64630555,1.57e-06,160.64479999999998,0.0015055500000187294
11,9,145.97143789999998,0.0011140000000000002,145.96992,0.0015178999999818643
12,8,134.5620168,0.001863,134.5605,0.0015168000000187476
7,14,138.79084659999998,0.134048,138.78931500000002,0.0015315999999643282
8,13,155.1783915,0.012,155.176854,0.0015375000000119599
9,12,162.5056984,0.0018,162.504153,0.0015453999999976986
10,11,167.4075363,3.8e-05,167.405973,0.0015633000000150332
11,10,163.0780582,9.800000000000001e-05,163.076487,0.001571200000000772
12,9,149.2072441,0.000755,149.20565100000002,0.0015930999999795858
6,16,119.265281,0.23149,119.263694,0.0015870000000006712
7,15,140.3293439,0.207779,140.32774799999999,0.001595900000012307
8,14,162.0287788,0.056921,162.027162,0.0016167999999936455
