N	Z	A	EL	MASS EXCESS       BINDING ENERGY/A
				(keV)		(keV)	
1	0	1	n	8071.31713	0.00046	0	0
0	1	1	H	7288.97061	0.00009	0	0
1	1	2	H	13135.72176	0.00011	1112.283	0
2	1	3	H	14949.80993	0.00022	2827.265	0
1	2	3	He	14931.21793	0.00021	2572.68	0
0	3	3	Li	28667#	2000#	-2267#	667#
3	1	4	H	24621.127	100	1720.449	25
2	2	4	He	2424.91561	0.00006	7073.915	0
1	3	4	Li	25323.189	212.132	1153.76	53.033
4	1	5	H	32892.444	89.443	1336.359	17.889
3	2	5	He	11231.233	20	5512.132	4
2	3	5	Li	11678.886	50	5266.132	10
1	4	5	Be	37139#	2003#	18#	401#
5	1	6	H	41875.721	254.127	961.639	42.354
4	2	6	He	17592.095	0.053	4878.519	0.009
3	3	6	Li	14086.87895	0.00144	5332.331	0
2	4	6	Be	18375.033	5.448	4487.247	0.908
1	5	6	B	47320#	2003#	-467#	334#
6	1	7	H	49135#	1004#	940#	143#
5	2	7	He	26073.126	7.559	4123.057	1.08
4	3	7	Li	14907.10529	0.00423	5606.439	0.001
3	4	7	Be	15768.999	0.071	5371.548	0.01
2	5	7	B	27676.55	25.15	3558.705	3.593
6	2	8	He	31609.681	0.089	3924.52	0.011
5	3	8	Li	20945.804	0.047	5159.712	0.006
4	4	8	Be	4941.671	0.035	7062.435	0.004
3	5	8	B	22921.567	1	4717.155	0.125
2	6	8	C	35064.268	18.243	3101.524	2.28
7	2	9	He	40935.826	46.816	3349.037	5.202
6	3	9	Li	24954.902	0.186	5037.768	0.021
5	4	9	Be	11348.453	0.077	6462.668	0.009
4	5	9	B	12416.488	0.903	6257.07	0.1
3	6	9	C	28910.972	2.137	4337.423	0.237
8	2	10	He	49197.143	92.848	2995.134	9.285
7	3	10	Li	33052.624	12.721	4531.351	1.272
6	4	10	Be	12607.488	0.081	6497.63	0.008
5	5	10	B	12050.609	0.015	6475.083	0.002
4	6	10	C	15698.672	0.07	6032.042	0.007
3	7	10	N	38800.026	400	3643.672	40
8	3	11	Li	40728.254	0.615	4155.381	0.056
7	4	11	Be	20177.167	0.238	5952.54	0.022
6	5	11	B	8667.707	0.012	6927.732	0.001
5	6	11	C	10649.396	0.06	6676.456	0.005
4	7	11	N	24303.559	46.154	5364.046	4.196
9	3	12	Li	49009.571	30.006	3791.6	2.501
8	4	12	Be	25077.76	1.909	5720.722	0.159
7	5	12	B	13369.397	1.321	6631.223	0.11
