
   The included below is "mass table" calculated with the DDPC1 covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=1761
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
 805   format(i3,i4,f7.3,f11.3,f6.1,f6.1,2f7.2,1f7.3,4f7.3,2f7.3)
c ---------------------------------------------------------------------------

  Z   N   def        E    Lam_n Lam_p   Ep_n   Ep_p   Rc    B2_n   B2_p   B4_n   B4_p   R2_n   R2_p

  2   2  0.001    -21.017 -16.4 -15.1   0.00   0.00  2.183  0.001  0.001 -0.001 -0.001  2.017  2.031
  2   4  0.005    -27.777  -2.0 -23.9  -6.20   0.00  2.136  0.008  0.000  0.000  0.000  2.567  1.981
  2   6  0.000    -30.309  -0.8 -30.8  -5.60   0.00  2.135  0.000  0.000  0.000  0.000  2.836  1.979
  4   2  0.014    -24.499 -24.7  -0.1   0.00  -6.16  2.757  0.001  0.020  0.000  0.004  1.979  2.639
  4   4  0.000    -46.425  -9.0  -6.9  -6.09  -6.06  2.498  0.000  0.000  0.000  0.000  2.344  2.366
  4   6  0.000    -62.655  -6.5 -13.4  -3.37  -5.89  2.431  0.000  0.000  0.000  0.000  2.519  2.296
  4   8  0.001    -71.207  -5.8 -18.4   0.00  -6.06  2.461  0.001  0.000 -0.001  0.000  2.730  2.328
  6   4  0.000    -57.378 -15.4  -3.6  -5.95  -3.60  2.687  0.000  0.000  0.000  0.000  2.288  2.566
  6   6  0.000    -86.980 -12.2  -9.1  -1.32  -1.38  2.566  0.000  0.000  0.000  0.000  2.415  2.438
  6   8  0.000   -105.252 -10.5 -14.2   0.00  -2.54  2.594  0.000  0.000  0.000  0.000  2.608  2.468
  6  10  0.237   -111.002  -2.9 -17.7  -6.38  -2.39  2.625  0.279  0.166  0.077  0.025  2.864  2.500
  6  12 -0.354   -116.114  -2.6 -20.9  -7.47  -0.02  2.672 -0.386 -0.291  0.148  0.064  3.060  2.549
