Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
3,3,5.66341,0.05,5.66332,0.05,*,*,*,*,*,*,*,*,2.798064,2.93638,1.786549,2.188816,3.664078,3.126188,2.632441,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,5,2.03261,5E-05,2.03262,5E-05,*,*,*,*,*,*,*,*,1.096331,0.542144,-0.041756,1.423272,1.344148,2.068478,1.650082,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,7,*,*,*,*,*,*,*,*,*,*,*,*,-1.956535,-2.242802,-2.626688,-1.092573,-1.33524,-0.326177,-1.192663,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,9,*,*,*,*,*,*,*,*,*,*,*,*,-3.377709,-3.941419,-4.688605,-3.422936,-3.164104,-2.433335,-3.222801,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,11,*,*,*,*,*,*,*,*,*,*,*,*,-3.23213,-4.142675,-4.688859,-3.501854,-3.231649,-3.070676,-3.486632,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,13,*,*,*,*,*,*,*,*,*,*,*,*,-3.130963,-4.071335,-4.630251,-3.370725,-3.060395,-2.845264,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,15,*,*,*,*,*,*,*,*,*,*,*,*,-3.5712,-4.423056,-4.941937,-3.617747,-3.176348,-3.016517,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,17,*,*,*,*,*,*,*,*,*,*,*,*,-4.252929,-4.673986,-5.278521,-3.886455,-3.3052,-3.255051,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,19,*,*,*,*,*,*,*,*,*,*,*,*,-4.113606,-4.556804,-5.200455,-3.851231,-3.276542,-3.142813,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,21,*,*,*,*,*,*,*,*,*,*,*,*,-3.798365,-4.256821,-4.990213,-3.681085,-3.187984,-2.978573,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,23,*,*,*,*,*,*,*,*,*,*,*,*,-3.769761,-4.19712,-4.868769,-3.664455,-3.279042,-3.06936,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,25,*,*,*,*,*,*,*,*,*,*,*,*,-4.101674,-4.650243,-5.227732,-4.158721,-3.754234,-3.691887,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,3,13.01817,0.07072,12.8263,0.02517,*,*,*,*,*,*,*,*,9.799044,10.488155,9.574545,9.42376,11.367655,10.656134,10.226871,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,5,8.43627,0.00106,8.4372,0.0009,*,*,*,*,*,*,*,*,7.529266,7.177173,6.743149,7.567175,7.940679,8.630993,8.282997,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,7,3.37035,0.00146,3.36963,0.00132,*,*,*,*,*,*,*,*,2.421439,2.569733,2.273005,3.125941,2.783748,3.46778,3.034475,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,9,0.9698,0.02124,0.96958,0.02124,*,*,*,*,*,*,*,*,-0.187757,-0.730032,-1.584789,-0.945824,-0.337846,-0.718001,-1.15314,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,11,*,*,*,*,*,*,*,*,*,*,*,*,-0.487349,-1.394112,-1.992093,-1.009126,-0.762222,-0.18281,-1.100237,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,13,*,*,*,*,*,*,*,*,*,*,*,*,-0.591984,-1.69562,-2.064578,-1.172586,-0.938733,-0.285361,-1.159621,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,15,*,*,*,*,*,*,*,*,*,*,*,*,-1.613686,-2.676069,-2.963956,-1.964722,-1.611562,-1.548636,-1.944923,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,17,*,*,*,*,*,*,*,*,*,*,*,*,-3.575647,-3.899908,-4.325014,-3.154655,-2.650343,-2.821502,-3.464375,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,19,*,*,*,*,*,*,*,*,*,*,*,*,-3.652924,-4.200382,-4.684851,-3.407128,-2.834803,-2.722269,-3.206635,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,21,*,*,*,*,*,*,*,*,*,*,*,*,-3.533832,-4.09675,-4.666106,-3.339462,-2.894173,-2.541999,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,23,*,*,*,*,*,*,*,*,*,*,*,*,-3.572921,-4.139159,-4.64795,-3.344298,-3.000756,-2.575682,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,25,*,*,*,*,*,*,*,*,*,*,*,*,-3.7433,-4.416968,-4.893106,-3.745479,-3.41894,-3.120154,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,27,*,*,*,*,*,*,*,*,*,*,*,*,-3.953905,-4.83907,-5.357364,-4.442894,-4.084258,-4.057985,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,29,*,*,*,*,*,*,*,*,*,*,*,*,-3.953421,-4.986693,-5.530043,-4.500207,-4.062011,-3.95776,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,31,*,*,*,*,*,*,*,*,*,*,*,*,-3.922653,-4.923192,-5.476274,-4.417744,-3.958212,-3.846288,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,33,*,*,*,*,*,*,*,*,*,*,*,*,-4.043147,-4.904233,-5.42054,-4.359453,-3.917797,-3.790213,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,3,*,*,*,*,*,*,*,*,*,*,*,*,14.82401,15.874805,15.300968,14.563773,16.339486,15.645428,15.389142,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,5,15.0368,0.04617,15.03681,0.04616,*,*,*,*,*,*,*,*,13.021022,12.954589,12.565842,12.963454,13.707696,14.477688,14.177524,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,7,10.55338,0.00027,10.55338,0.00027,*,*,*,*,*,*,*,*,7.232557,7.687613,7.417736,7.903584,7.683775,8.68964,8.315014,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,9,2.4891,0.00262,2.48885,0.0023,*,*,*,*,*,*,*,*,3.685341,3.302045,2.539946,2.842735,3.699834,2.986354,2.582787,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,11,2.82822,0.02387,2.82823,0.02387,*,*,*,*,*,*,*,*,2.954487,2.191928,1.594431,2.171639,2.612161,2.950917,2.17782,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,13,2.16834,0.05796,2.1611,0.08058,*,*,*,*,*,*,*,*,2.42203,1.444471,1.044613,1.614326,1.951906,2.388807,1.710219,*,*
,,,,,,,,,,,,,,,,,,,,,,
