Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,3,5.66341,0.05,5.66332,0.05,*,*,*,*,*,*,*,*,2.798064,2.93638,1.786548,2.188815,3.664077,3.126187,2.63244,**,**
3,5,2.03261,5e-05,2.03262,5e-05,*,*,*,*,*,*,*,*,1.09633,0.542144,-0.041755,1.423271,1.344148,2.068477,1.650081,*,*
3,7,*,*,*,*,*,*,*,*,*,*,*,*,-1.956534,-2.242802,-2.626687,-1.092572,-1.33524,-0.326177,-1.192663,*,*
3,9,*,*,*,*,*,*,*,*,*,*,*,*,-3.377708,-3.941418,-4.688604,-3.422935,-3.164103,-2.433335,-3.222801,*,*
3,11,*,*,*,*,*,*,*,*,*,*,*,*,-3.232129,-4.142675,-4.688858,-3.501853,-3.231648,-3.070674,-3.486632,*,*
3,13,*,*,*,*,*,*,*,*,*,*,*,*,-3.130963,-4.071334,-4.630251,-3.370725,-3.060394,-2.845264,*,*,*
3,15,*,*,*,*,*,*,*,*,*,*,*,*,-3.571199,-4.423056,-4.941937,-3.617747,-3.176348,-3.016517,*,*,*
3,17,*,*,*,*,*,*,*,*,*,*,*,*,-4.252928,-4.673985,-5.27852,-3.886454,-3.305199,-3.255051,*,*,*
3,19,*,*,*,*,*,*,*,*,*,*,*,*,-4.113605,-4.556804,-5.200455,-3.851231,-3.276542,-3.142813,*,*,*
3,21,*,*,*,*,*,*,*,*,*,*,*,*,-3.798366,-4.256821,-4.990212,-3.681085,-3.187983,-2.978572,*,*,*
3,23,*,*,*,*,*,*,*,*,*,*,*,*,-3.769761,-4.197119,-4.868769,-3.664454,-3.279041,-3.06936,*,*,*
3,25,*,*,*,*,*,*,*,*,*,*,*,*,-4.101674,-4.650243,-5.227732,-4.15872,-3.754234,-3.691887,*,*,*
5,3,13.01817,0.07072,12.8263,0.02517,*,*,*,*,*,*,*,*,9.799043,10.488155,9.574545,9.423758,11.367653,10.656133,10.22687,**,**
5,5,8.43627,0.00106,8.4372,0.0009,*,*,*,*,*,*,*,*,7.529265,7.177172,6.743149,7.567175,7.940679,8.630992,8.282997,**,**
5,7,3.37035,0.00146,3.36963,0.00132,*,*,*,*,*,*,*,*,2.421439,2.569733,2.273004,3.12594,2.783747,3.46778,3.034474,**,**
5,9,0.9698,0.02124,0.96958,0.02124,*,*,*,*,*,*,*,*,-0.187757,-0.730031,-1.584787,-0.945822,-0.337845,-0.718001,-1.15314,*,*
5,11,*,*,*,*,*,*,*,*,*,*,*,*,-0.487348,-1.394112,-1.992092,-1.009126,-0.762222,-0.182809,-1.100236,*,*
5,13,*,*,*,*,*,*,*,*,*,*,*,*,-0.591983,-1.695619,-2.064577,-1.172586,-0.938732,-0.28536,-1.159622,*,*
5,15,*,*,*,*,*,*,*,*,*,*,*,*,-1.613686,-2.676069,-2.963956,-1.964722,-1.611562,-1.548636,-1.944923,*,*
5,17,*,*,*,*,*,*,*,*,*,*,*,*,-3.575647,-3.899907,-4.325014,-3.154655,-2.650343,-2.821501,-3.464374,*,*
5,19,*,*,*,*,*,*,*,*,*,*,*,*,-3.652923,-4.200382,-4.68485,-3.407127,-2.834802,-2.722268,-3.206633,*,*
5,21,*,*,*,*,*,*,*,*,*,*,*,*,-3.533832,-4.09675,-4.666106,-3.339462,-2.894172,-2.541998,*,*,*
5,23,*,*,*,*,*,*,*,*,*,*,*,*,-3.57292,-4.139158,-4.64795,-3.344297,-3.000755,-2.575681,*,*,*
5,25,*,*,*,*,*,*,*,*,*,*,*,*,-3.743299,-4.416968,-4.893106,-3.745479,-3.41894,-3.120153,*,*,*
5,27,*,*,*,*,*,*,*,*,*,*,*,*,-3.953904,-4.83907,-5.357363,-4.442894,-4.084257,-4.057984,*,*,*
5,29,*,*,*,*,*,*,*,*,*,*,*,*,-3.95342,-4.986692,-5.530042,-4.500206,-4.062011,-3.957759,*,*,*
5,31,*,*,*,*,*,*,*,*,*,*,*,*,-3.922653,-4.923192,-5.476273,-4.417743,-3.958212,-3.846288,*,*,*
5,33,*,*,*,*,*,*,*,*,*,*,*,*,-4.043146,-4.904233,-5.420539,-4.359452,-3.917797,-3.790212,*,*,*
7,3,*,*,*,*,*,*,*,*,*,*,*,*,14.82401,15.874804,15.300968,14.563772,16.339485,15.645428,15.389142,**,**
7,5,15.0368,0.04617,15.03681,0.04616,*,*,*,*,*,*,*,*,13.021021,12.954587,12.565841,12.963454,13.707696,14.477687,14.177523,**,**
7,7,10.55338,0.00027,10.55338,0.00027,*,*,*,*,*,*,*,*,7.232557,7.687613,7.417736,7.903583,7.683775,8.689639,8.315014,**,**
7,9,2.4891,0.00262,2.48885,0.0023,*,*,*,*,*,*,*,*,3.68534,3.302043,2.539946,2.842735,3.699835,2.986352,2.582786,**,**
7,11,2.82822,0.02387,2.82823,0.02387,*,*,*,*,*,*,*,*,2.954487,2.191927,1.594431,2.171638,2.612161,2.950917,2.17782,*,*
7,13,2.16834,0.05796,2.1611,0.08058,*,*,*,*,*,*,*,*,2.42203,1.44447,1.044613,1.614326,1.951905,2.388807,1.710218,*,*
7,15,1.28381,0.21443,1.53843,0.24727,*,*,*,*,*,*,*,*,0.864444,0.021127,-0.288559,0.377698,0.72037,0.663538,0.340899,*,*
7,17,*,*,*,*,*,*,*,*,*,*,*,*,-1.939281,-2.038912,-2.374443,-1.547647,-1.221684,-1.56364,-2.300427,*,*
7,19,*,*,*,*,*,*,*,*,*,*,*,*,-2.410137,-3.008969,-3.29584,-2.320141,-1.810928,-1.874167,-2.360994,*,*
7,21,*,*,*,*,*,*,*,*,*,*,*,*,-2.8485,-3.525988,-4.121713,-2.939465,-2.521562,-2.184755,-2.633682,*,*
7,23,*,*,*,*,*,*,*,*,*,*,*,*,-3.004232,-3.761516,-4.266624,-3.056737,-2.696766,-2.32746,*,*,*
7,25,*,*,*,*,*,*,*,*,*,*,*,*,-3.000255,-3.842731,-4.327447,-3.239802,-2.889975,-2.658004,*,*,*
7,27,*,*,*,*,*,*,*,*,*,*,*,*,-2.931968,-3.966599,-4.426373,-3.478292,-3.07186,-3.105905,*,*,*
7,29,*,*,*,*,*,*,*,*,*,*,*,*,-2.841415,-4.083792,-4.482656,-3.519685,-3.116375,-3.109595,*,*,*
7,31,*,*,*,*,*,*,*,*,*,*,*,*,-2.841136,-4.157975,-4.480632,-3.509475,-3.099755,-3.069471,*,*,*
7,33,*,*,*,*,*,*,*,*,*,*,*,*,-3.383618,-4.397407,-4.68548,-3.746392,-3.348539,-3.229562,*,*,*
7,35,*,*,*,*,*,*,*,*,*,*,*,*,-4.004955,-4.583581,-4.936313,-4.013515,-3.627445,-3.405118,*,*,*
9,3,*,*,*,*,*,*,*,*,*,*,*,*,17.789999,19.014034,18.60726,17.326624,19.004461,18.063643,17.959899,**,**
9,5,*,*,*,*,*,*,*,*,*,*,*,*,17.16627,17.369472,17.024609,16.832519,17.928348,18.358832,18.154802,**,**
9,7,14.16644,0.13405,13.95782,0.01629,*,*,*,*,*,*,*,*,11.606972,12.257998,12.04876,12.335521,12.257695,13.567243,13.218519,**,**
9,9,9.14932,0.00059,9.14991,0.00053,*,*,*,*,*,*,*,*,7.257406,7.143966,6.520811,6.892231,7.718929,7.45203,7.056788,7.51,9.91
9,11,6.60134,3e-05,6.60134,3e-05,*,*,*,*,*,*,*,*,6.568541,5.747954,5.483632,5.772434,6.264019,6.132079,5.936484,5.67,9.87
9,13,5.23039,0.01253,5.23034,0.01253,*,*,*,*,*,*,*,*,5.263263,4.680719,4.033931,4.402296,5.107094,4.521813,4.501956,4.64,3.41
9,15,3.84154,0.10748,3.81206,0.1032,*,*,*,*,*,*,*,*,3.353784,2.8316,2.47278,2.88989,3.186524,3.031805,2.727176,2.9,4.07
9,17,1.07225,0.19339,0.75661,0.1472,*,*,*,*,*,*,*,*,0.224195,0.325203,0.089936,0.632381,0.717786,0.47117,-0.248428,0.95,-0.12
9,19,*,*,*,*,*,*,*,*,*,*,*,*,-0.511066,-1.058382,-1.131152,-0.539779,-0.214518,-0.406023,-0.786816,0.25,-1.77
9,21,*,*,*,*,*,*,*,*,*,*,*,*,-1.125247,-2.19941,-2.8416,-1.954049,-1.580588,-1.468974,-1.8264,-0.68,-1.95
9,23,*,*,*,*,*,*,*,*,*,*,*,*,-1.346626,-2.224326,-2.63114,-1.850347,-1.541023,-1.486872,-1.873456,-2.16,-2.91
9,25,*,*,*,*,*,*,*,*,*,*,*,*,-1.664834,-2.667436,-3.100694,-2.260682,-1.89289,-1.911394,-2.31007,-3.04,-2.09
9,27,*,*,*,*,*,*,*,*,*,*,*,*,-1.839787,-2.952953,-3.329162,-2.475118,-2.07409,-2.070285,*,-2.53,-1.45
9,29,*,*,*,*,*,*,*,*,*,*,*,*,-1.880893,-3.07437,-3.409415,-2.50654,-2.128059,-2.098073,*,-4.93,-3.17
9,31,*,*,*,*,*,*,*,*,*,*,*,*,-1.818791,-3.082602,-3.281985,-2.417115,-2.024774,-2.121116,*,-2.21,*
9,33,*,*,*,*,*,*,*,*,*,*,*,*,-2.622447,-3.65252,-3.786449,-2.902615,-2.499421,-2.41939,*,-5.23,*
9,35,*,*,*,*,*,*,*,*,*,*,*,*,-3.851915,-4.277839,-4.567676,-3.75057,-3.366076,-3.215949,*,-3.81,*
9,37,*,*,*,*,*,*,*,*,*,*,*,*,-3.863452,-4.492029,-4.799726,-3.89413,-3.381176,-3.226464,*,-5.6,*
9,39,*,*,*,*,*,*,*,*,*,*,*,*,-3.549918,-4.403543,-4.798763,-3.769156,-3.233833,-3.104943,*,*,*
11,3,*,*,*,*,*,*,*,*,*,*,*,*,19.857445,21.050126,20.671626,19.104292,20.755232,19.553246,19.512443,**,**
11,5,*,*,*,*,*,*,*,*,*,*,*,*,20.415902,20.791114,20.387968,19.745937,21.150661,21.023302,20.968304,**,**
11,7,*,*,18.20654,1.00575,*,*,*,*,*,*,*,*,15.368607,16.166466,16.039538,16.064623,16.143839,17.445954,17.231401,**,**
11,9,14.15041,0.01373,14.1501,0.01059,*,*,*,*,*,*,*,*,10.63864,10.550184,10.3574,10.794068,11.356507,11.67737,11.230467,12.92,14.36
11,11,11.06959,0.00081,11.0682,0.0002,*,*,*,*,*,*,*,*,9.883571,9.269524,9.174496,9.32229,9.820324,9.959986,9.646184,9.98,10.29
11,13,6.95958,8e-05,6.95937,2e-05,*,*,*,*,*,*,*,*,7.769625,7.539906,6.750689,7.082968,8.208665,7.28906,7.216511,6.57,6.61
11,15,5.57582,0.00595,5.57428,0.0037,*,*,*,*,*,*,*,*,5.717498,5.540925,5.133444,5.388065,5.70373,5.400597,5.147447,5.15,6.03
11,17,3.54313,0.0135,3.54184,0.0109,*,*,*,*,*,*,*,*,2.476226,2.793806,2.629463,2.996265,2.906041,2.891442,2.282254,3.66,3.35
11,19,2.37523,0.02833,2.27664,0.00873,*,*,*,*,*,*,*,*,1.602471,1.270712,1.270636,1.607691,1.792684,1.610958,1.421527,2.07,1.3
11,21,1.66161,0.41415,1.6772,0.03979,*,*,*,*,*,*,*,*,1.210715,-0.183277,-0.811118,-0.144508,0.138269,0.029962,-0.287978,1.38,0.42
11,23,*,*,0.17132,0.74948,*,*,*,*,*,*,*,*,0.791541,-0.080643,-0.189283,0.126047,0.318904,0.160561,-0.054081,0.67,0.32
