Z, N, experiment, who missed, value
0,1,2003,Erik,1e-06
1,2,2003,Erik,8.481815
1,3,2003,Erik,5.601421
3,1,2003,Erik,4.615087
2,1,2003,Erik,7.718073
1,4,2003,Erik,6.681816
1,5,2003,Erik,5.781817
1,0,2003,Erik,1.4e-05
1,1,2003,Erik,2.224581
32,54,2016,Erik,718.498604
70,103,2016,Erik,1399.125908
74,106,2016,Erik,1444.580691
75,104,2016,Erik,1432.675205
21,28,2016,Erik,425.626848
80,125,2016,Erik,1614.321265
63,76,2016,Erik,1138.024248
29,44,2016,Erik,625.505985
33,41,2016,Erik,642.320588
72,92,2016,Erik,1319.186661
54,92,2016,Erik,1184.121371
92,135,2016,Erik,1731.16906
41,57,2016,Erik,842.438097
88,124,2016,Erik,1642.473054
76,88,2016,Erik,1284.66093
45,61,2016,Erik,906.717337
49,58,2016,Erik,908.860957
67,80,2016,Erik,1189.824509
13,20,2016,Erik,264.680541
86,129,2016,Erik,1669.221267
3,2,2016,Erik,26.330704
60,81,2016,Erik,1175.308471
70,94,2016,Erik,1329.95024
53,62,2016,Erik,963.075704
71,100,2016,Erik,1382.478109
90,130,2016,Erik,1690.610863
75,97,2016,Erik,1371.128806
80,116,2016,Erik,1551.217605
48,77,2016,Erik,1044.710846
29,37,2016,Erik,576.277595
33,34,2016,Erik,571.548534
73,91,2016,Erik,1309.868623
36,41,2016,Erik,663.496931
54,87,2016,Erik,1164.007138
9,9,2016,Erik,137.369612
84,128,2016,Erik,1655.772905
37,54,2016,Erik,783.288643
77,95,2016,Erik,1355.406403
24,21,2016,Erik,363.948111
42,67,2016,Erik,913.581659
45,54,2016,Erik,849.436785
66,93,2016,Erik,1300.872699
49,51,2016,Erik,833.110442
67,89,2016,Erik,1272.188242
13,13,2016,Erik,211.894087
45,71,2016,Erik,971.804011
84,102,2016,Erik,1431.448179
70,81,2016,Erik,1205.548031
71,93,2016,Erik,1322.792859
90,141,2016,Erik,1760.248569
75,102,2016,Erik,1416.217459
93,144,2016,Erik,1795.273709
80,107,2016,Erik,1474.867733
7,15,2016,Erik,140.327861
48,68,2016,Erik,987.43337
16,29,2016,Erik,354.681566
73,92,2016,Erik,1320.504994
94,145,2016,Erik,1806.917389
41,43,2016,Erik,707.133765
106,156,2016,Erik,1923.392215
37,63,2016,Erik,824.432531
24,28,2016,Erik,456.35178
45,47,2016,Erik,770.355346
10,19,2016,Erik,207.845088
66,84,2016,Erik,1228.373303
67,94,2016,Erik,1314.263137
83,132,2016,Erik,1668.770383
64,98,2016,Erik,1321.764585
45,64,2016,Erik,929.568119
84,109,2016,Erik,1500.373696
71,90,2016,Erik,1296.498879
57,69,2016,Erik,1047.366539
80,98,2016,Erik,1390.423843
26,34,2016,Erik,525.351432
7,4,2016,Erik,59.004607
16,20,2016,Erik,308.714247
72,113,2016,Erik,1475.185632
94,152,2016,Erik,1846.610095
41,44,2016,Erik,720.266042
22,30,2016,Erik,451.967024
51,71,2016,Erik,1033.137168
37,56,2016,Erik,794.306143
42,53,2016,Erik,821.62907
80,128,2016,Erik,1629.512885
84,116,2016,Erik,1565.489364
87,137,2016,Erik,1718.163618
57,78,2016,Erik,1131.678249
58,68,2016,Erik,1042.431296
99,154,2016,Erik,1885.581918
63,96,2016,Erik,1300.095849
33,53,2016,Erik,727.278491
54,56,2016,Erik,897.521609
61,74,2016,Erik,1111.957675
30,49,2016,Erik,667.596417
51,76,2016,Erik,1071.857865
34,44,2016,Erik,679.989416
52,70,2016,Erik,1034.333925
42,60,2016,Erik,873.982499
10,5,2016,Erik,73.031065
55,72,2016,Erik,1068.269209
84,115,2016,Erik,1555.684769
85,107,2016,Erik,1480.268873
50,63,2016,Erik,961.270402
87,134,2016,Erik,1702.42099
57,87,2016,Erik,1192.526446
58,79,2016,Erik,1146.313823
4,7,2016,Erik,65.477998
46,51,2016,Erik,824.736359
68,100,2016,Erik,1365.773931
94,138,2016,Erik,1760.643306
62,83,2016,Erik,1202.487764
51,85,2016,Erik,1122.307129
34,39,2016,Erik,630.83427
52,77,2016,Erik,1087.523497
37,42,2016,Erik,679.490776
10,12,2016,Erik,177.770382
85,131,2016,Erik,1674.649691
55,65,2016,Erik,999.418469
38,59,2016,Erik,821.770634
25,22,2016,Erik,382.359989
84,122,2016,Erik,1615.164185
85,116,2016,Erik,1566.626026
50,54,2016,Erik,871.927456
57,88,2016,Erik,1198.583428
58,86,2016,Erik,1197.32633
96,141,2016,Erik,1788.551284
46,58,2016,Erik,892.824846
68,99,2016,Erik,1358.002622
72,102,2016,Erik,1403.925816
19,20,2016,Erik,333.72426
94,141,2016,Erik,1781.037989
22,35,2016,Erik,476.769426
61,92,2016,Erik,1257.837146
62,90,2016,Erik,1253.098274
30,35,2016,Erik,567.077691
52,84,2016,Erik,1131.443185
76,114,2016,Erik,1512.80086
42,46,2016,Erik,750.104531
81,121,2016,Erik,1593.017454
49,80,2016,Erik,1075.703409
38,50,2016,Erik,768.468937
97,153,2016,Erik,1868.993191
25,31,2016,Erik,489.347014
64,78,2016,Erik,1163.017341
85,125,2016,Erik,1640.450626
89,122,2016,Erik,1626.218221
58,81,2016,Erik,1163.485733
101,157,2016,Erik,1911.697588
46,61,2016,Erik,916.016334
29,27,2016,Erik,467.949173
69,100,2016,Erik,1371.346956
72,109,2016,Erik,1451.983391
73,97,2016,Erik,1365.151395
19,29,2016,Erik,404.843408
93,126,2016,Erik,1665.404991
61,85,2016,Erik,1210.144406
62,93,2016,Erik,1272.740444
30,42,2016,Erik,625.810383
52,83,2016,Erik,1126.675378
34,57,2016,Erik,758.470729
17,23,2016,Erik,337.110867
76,105,2016,Erik,1445.001191
77,117,2016,Erik,1538.127735
23,25,2016,Erik,413.907293
81,114,2016,Erik,1538.693261
82,128,2016,Erik,1645.553951
49,73,2016,Erik,1029.939205
55,87,2016,Erik,1173.613374
38,53,2016,Erik,788.4132
97,146,2016,Erik,1826.75425
43,58,2016,Erik,867.907381
11,21,2016,Erik,231.036358
58,88,2016,Erik,1208.672485
96,155,2016,Erik,1874.148802
46,68,2016,Erik,967.633863
68,81,2016,Erik,1203.169334
51,59,2016,Erik,925.395717
73,106,2016,Erik,1438.012914
19,34,2016,Erik,425.211242
27,34,2016,Erik,534.125465
30,45,2016,Erik,644.437759
34,48,2016,Erik,712.842626
55,63,2016,Erik,977.796561
76,96,2016,Erik,1366.053209
77,110,2016,Erik,1488.646174
23,22,2016,Erik,377.101661
81,107,2016,Erik,1476.375188
82,123,2016,Erik,1614.239098
49,66,2016,Erik,979.403585
50,80,2016,Erik,1090.28688
35,51,2016,Erik,742.383935
74,90,2016,Erik,1304.039249
75,88,2016,Erik,1282.952083
38,44,2016,Erik,708.129465
43,51,2016,Erik,809.221878
64,92,2016,Erik,1281.591191
11,10,2016,Erik,163.076643
90,122,2016,Erik,1628.598612
96,146,2016,Erik,1823.351195
78,102,2016,Erik,1426.251121
43,64,2016,Erik,908.740608
47,71,2016,Erik,995.199651
68,88,2016,Erik,1270.138654
69,86,2016,Erik,1253.699207
5,4,2016,Erik,56.313708
62,79,2016,Erik,1165.485084
47,52,2016,Erik,839.003292
77,103,2016,Erik,1430.575103
81,108,2016,Erik,1486.726206
82,114,2016,Erik,1543.17531
50,75,2016,Erik,1055.694461
35,56,2016,Erik,768.215566
38,39,2016,Erik,649.566258
64,83,2016,Erik,1211.771361
65,91,2016,Erik,1278.364741
14,12,2016,Erik,206.042618
39,60,2016,Erik,839.199308
78,105,2016,Erik,1451.801684
79,101,2016,Erik,1416.65842
44,73,2016,Erik,969.411405
47,76,2016,Erik,1025.550526
69,95,2016,Erik,1331.61919
2,8,2016,Erik,29.95137
24,37,2016,Erik,516.049628
5,13,2016,Erik,89.579423
61,96,2016,Erik,1281.771637
102,153,2016,Erik,1891.580859
47,61,2016,Erik,922.539443
30,31,2016,Erik,525.229303
20,17,2016,Erik,296.128167
77,96,2016,Erik,1366.366787
23,36,2016,Erik,496.046111
81,101,2016,Erik,1418.938807
82,109,2016,Erik,1497.701526
50,66,2016,Erik,988.682194
31,36,2016,Erik,583.405023
18,27,2016,Erik,378.898107
91,140,2016,Erik,1759.857723
75,86,2016,Erik,1261.647406
40,52,2016,Erik,799.726953
65,92,2016,Erik,1287.108692
14,23,2016,Erik,294.257611
39,53,2016,Erik,796.86675
78,112,2016,Erik,1509.834873
79,98,2016,Erik,1388.36406
26,26,2016,Erik,447.698234
44,64,2016,Erik,920.941029
83,103,2016,Erik,1439.477698
98,156,2016,Erik,1892.104706
12,25,2016,Erik,261.039292
68,78,2016,Erik,1169.535778
69,88,2016,Erik,1271.925203
56,67,2016,Erik,1024.616404
2,3,2016,Erik,27.56069
66,100,2016,Erik,1350.789579
47,58,2016,Erik,897.789562
52,55,2016,Erik,883.489022
20,24,2016,Erik,380.960002
59,79,2016,Erik,1150.818142
82,100,2016,Erik,1411.653659
28,40,2016,Erik,590.408106
32,43,2016,Erik,652.17115
31,45,2016,Erik,655.464476
35,38,2016,Erik,625.472025
