Z, N, experiment, who missed, value
20,25,2003,Erik,-10.1694
61,82,2003,Erik,-0.56731
59,78,2003,Erik,-0.10787
21,28,2003,Erik,-12.3691
30,41,2003,Erik,-6.00913
80,125,2003,Erik,-0.9713
28,41,2003,Erik,-11.52561
34,52,2003,Erik,-7.34148
32,44,2003,Erik,-7.50658
31,44,2003,Erik,-8.17837
17,20,2003,Erik,-7.84896
29,44,2003,Erik,-11.40891
35,41,2003,Erik,-4.48428
18,19,2003,Erik,-6.78658
33,41,2003,Erik,-4.37479
23,26,2003,Erik,-9.31407
40,60,2003,Erik,-6.09026
51,74,2003,Erik,-4.83935
34,46,2003,Erik,-6.9718
8,5,2003,Erik,-8.22298
41,57,2003,Erik,-3.60496
50,84,2003,Erik,-7.65076
52,68,2003,Erik,-0.3014
42,62,2003,Erik,-6.14927
55,80,2003,Erik,-2.56241
38,40,2003,Erik,-3.26733
10,7,2003,Erik,-9.07644
43,63,2003,Erik,-5.85252
39,45,2003,Erik,-4.40992
44,56,2003,Erik,-2.8534
48,59,2003,Erik,-1.93065
55,78,2003,Erik,-1.99251
12,17,2003,Erik,-10.93587
45,61,2003,Erik,-4.22073
49,58,2003,Erik,-1.19313
13,20,2003,Erik,-13.6193
56,75,2003,Erik,-0.78791
65,96,2003,Erik,-0.42568
60,81,2003,Erik,-0.74424
69,106,2003,Erik,-0.21569
57,81,2003,Erik,-2.05842
4,5,2003,Erik,-2.4635
27,39,2003,Erik,-10.49744
28,32,2003,Erik,-6.29164
32,35,2003,Erik,-2.8697
29,37,2003,Erik,-7.25169
35,46,2003,Erik,-6.48318
33,34,2003,Erik,-2.52563
36,41,2003,Erik,-4.37672
54,87,2003,Erik,-1.1906
51,83,2003,Erik,-6.70076
8,12,2003,Erik,-12.32158
49,71,2003,Erik,-5.5923
50,79,2003,Erik,-9.66017
34,41,2003,Erik,-4.6862
37,44,2003,Erik,-4.64482
35,52,2003,Erik,-6.40118
9,9,2003,Erik,-4.41463
42,57,2003,Erik,-2.73299
53,73,2003,Erik,-2.00528
36,55,2003,Erik,-7.15331
54,73,2003,Erik,-1.57382
43,52,2003,Erik,-1.80935
10,14,2003,Erik,-12.1739
39,42,2003,Erik,-3.61772
64,95,2003,Erik,-0.7962
37,54,2003,Erik,-6.31331
11,15,2003,Erik,-12.08061
44,55,2003,Erik,-2.3344
55,71,2003,Erik,-0.68983
12,8,2003,Erik,-8.85103
45,54,2003,Erik,-1.98244
15,13,2003,Erik,-9.52672
13,13,2003,Erik,-9.45279
56,82,2003,Erik,-2.56206
50,56,2003,Erik,-0.17223
47,64,2003,Erik,-3.78235
57,90,2003,Erik,-1.60191
45,71,2003,Erik,-7.16109
24,33,2003,Erik,-8.12022
46,52,2003,Erik,-1.15697
59,92,2003,Erik,-2.34729
19,18,2003,Erik,-6.22168
48,68,2003,Erik,-4.80791
20,21,2003,Erik,-6.61502
61,94,2003,Erik,-2.62738
16,29,2003,Erik,-19.24014
52,74,2003,Erik,-2.54354
17,24,2003,Erik,-10.73796
50,70,2003,Erik,-4.8106
40,48,2003,Erik,-5.40418
53,82,2003,Erik,-4.22657
10,9,2003,Erik,-3.52908
24,28,2003,Erik,-9.35412
14,19,2003,Erik,-12.29855
25,25,2003,Erik,-7.97872
39,57,2003,Erik,-5.99958
56,89,2003,Erik,-1.513
26,30,2003,Erik,-7.61333
47,73,2003,Erik,-7.33819
27,31,2003,Erik,-6.71541
67,100,2003,Erik,-0.11006
64,98,2003,Erik,-1.49954
45,64,2003,Erik,-5.14793
58,83,2003,Erik,-0.14379
5,10,2003,Erik,-14.24995
46,63,2003,Erik,-4.10385
29,29,2003,Erik,-6.07743
68,104,2003,Erik,-0.35016
60,93,2003,Erik,-3.0785
25,37,2003,Erik,-10.25498
47,62,2003,Erik,-3.30194
19,27,2003,Erik,-12.93025
26,34,2003,Erik,-8.5555
7,4,2003,Erik,-5.98969
32,49,2003,Erik,-10.00588
20,28,2003,Erik,-13.96599
62,95,2003,Erik,-1.80968
16,20,2003,Erik,-9.00808
23,33,2003,Erik,-8.14848
30,36,2003,Erik,-4.57825
28,44,2003,Erik,-13.23706
52,81,2003,Erik,-4.77572
17,17,2003,Erik,-6.66412
41,44,2003,Erik,-3.5567
22,30,2003,Erik,-7.67562
50,65,2003,Erik,-3.20337
31,33,2003,Erik,-2.91515
18,22,2003,Erik,-6.80074
23,31,2003,Erik,-7.77899
40,55,2003,Erik,-4.4374
36,37,2003,Erik,-2.67514
51,71,2003,Erik,-3.52475
49,75,2003,Erik,-7.6526
41,54,2003,Erik,-2.86179
37,56,2003,Erik,-6.47082
42,53,2003,Erik,-2.24201
38,55,2003,Erik,-5.7829
53,69,2003,Erik,-0.50552
43,56,2003,Erik,-2.96616
15,19,2003,Erik,-11.11017
39,54,2003,Erik,-4.93557
11,19,2003,Erik,-12.3356
26,25,2003,Erik,-8.08887
44,67,2003,Erik,-6.14773
12,20,2003,Erik,-14.6243
58,90,2003,Erik,-1.04672
46,70,2003,Erik,-6.90199
57,78,2003,Erik,-1.01564
66,99,2003,Erik,-0.53014
63,96,2003,Erik,-1.50498
20,27,2003,Erik,-12.75523
27,32,2003,Erik,-6.94275
21,26,2003,Erik,-10.1638
28,43,2003,Erik,-11.93637
34,50,2003,Erik,-8.86158
32,46,2003,Erik,-8.57824
31,46,2003,Erik,-9.43066
48,72,2003,Erik,-6.43829
29,42,2003,Erik,-10.07499
