Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
3,2,26.330660,0.050000,*,*,*,*,*,*,*,*,*,*,27.414417,27.129231,26.646762,27.758353,25.642860,16.268566,*,15.943897,*,*
3,4,39.244037,0.000077,*,*,*,*,*,*,*,*,*,*,42.325225,41.939957,40.810959,39.803897,40.305950,29.353665,*,28.980435,*,*
3,6,45.340551,0.001935,*,*,*,*,*,*,*,*,*,*,51.558010,49.880906,48.563829,47.984024,48.202672,37.796800,*,37.428658,*,*
3,8,45.640144,0.019294,*,*,*,*,*,*,*,*,*,*,53.759055,51.407259,50.142726,50.713849,50.083571,40.382177,*,39.638343,*,*
3,10,*,*,*,*,*,*,*,*,*,*,*,*,51.734283,48.310209,45.973414,47.608980,47.172805,37.764137,*,36.595415,*,*
3,12,*,*,*,*,*,*,*,*,*,*,*,*,49.259901,43.897206,40.675083,43.369156,43.238174,33.643431,*,32.115877,*,*
3,14,*,*,*,*,*,*,*,*,*,*,*,*,46.841640,39.306342,35.282423,39.307526,39.441889,29.836825,*,*,*,*
3,16,*,*,*,*,*,*,*,*,*,*,*,*,43.417064,33.807850,29.123757,34.733134,35.305167,25.700027,*,*,*,*
3,18,*,*,*,*,*,*,*,*,*,*,*,*,38.137887,27.372335,21.867569,29.376404,30.660467,20.887495,*,*,*,*
3,20,*,*,*,*,*,*,*,*,*,*,*,*,32.548678,20.689864,14.300924,23.777653,25.793873,16.071666,*,*,*,*
3,22,*,*,*,*,*,*,*,*,*,*,*,*,27.345640,14.323397,6.892451,18.330846,20.905361,11.497342,*,*,*,*
3,24,*,*,*,*,*,*,*,*,*,*,*,*,22.103510,7.992693,0.406906,12.851183,15.735804,6.747003,*,*,*,*
3,26,*,*,*,*,*,*,*,*,*,*,*,*,16.125227,0.740607,8.474449,6.386705,9.655047,0.777953,*,*,*,*
5,2,24.719142,0.070714,*,*,*,*,*,*,*,*,*,*,30.163557,28.609984,27.787404,28.594811,27.099939,17.719954,*,17.319183,*,*
5,4,56.314440,0.000981,*,*,*,*,*,*,*,*,*,*,58.241224,57.709131,56.750074,55.211477,56.716910,45.987710,*,45.641891,*,*
5,6,76.204821,0.000418,*,*,*,*,*,*,*,*,*,*,79.835771,78.480706,77.742513,76.070450,77.839135,68.048863,*,67.827292,*,*
5,8,84.453226,0.001079,*,*,*,*,*,*,*,*,*,*,90.775034,89.696714,89.366220,87.890227,88.309889,79.648648,*,79.349024,*,*
5,10,88.185750,0.022365,*,*,*,*,*,*,*,*,*,*,95.350462,93.424794,91.950380,90.475473,91.506072,81.808660,*,81.267970,*,*
5,12,89.529837,0.170867,*,*,*,*,*,*,*,*,*,*,98.762834,95.183186,92.697922,92.042722,93.172210,82.962105,*,82.351082,*,*
5,14,*,*,*,*,*,*,*,*,*,*,*,*,101.858775,96.166494,93.182608,93.288193,94.312857,83.873254,*,83.339719,*,*
5,16,*,*,*,*,*,*,*,*,*,*,*,*,102.905721,95.019870,91.825255,92.923796,93.976470,83.470946,*,82.783400,*,*
5,18,*,*,*,*,*,*,*,*,*,*,*,*,99.430909,90.879294,87.214181,89.762547,91.160059,80.078570,*,78.553633,*,*
5,20,*,*,*,*,*,*,*,*,*,*,*,*,95.019298,85.468019,81.135446,85.486983,87.500046,76.303276,*,74.111339,*,*
5,22,*,*,*,*,*,*,*,*,*,*,*,*,90.645643,79.929126,74.633846,80.977004,83.450794,72.729813,*,*,*,*
5,24,*,*,*,*,*,*,*,*,*,*,*,*,86.102268,74.156062,67.899427,76.272178,79.033361,69.036626,*,*,*,*
5,26,*,*,*,*,*,*,*,*,*,*,*,*,81.184239,67.774722,60.618924,70.811881,73.852929,64.372843,*,*,*,*
5,28,*,*,*,*,*,*,*,*,*,*,*,*,75.791518,60.447786,52.343883,63.887862,67.262504,57.728687,*,*,*,*
5,30,*,*,*,*,*,*,*,*,*,*,*,*,70.342826,52.702439,43.653172,56.732543,60.581750,51.119763,*,*,*,*
5,32,*,*,*,*,*,*,*,*,*,*,*,*,64.952456,45.065164,35.073628,49.791782,54.153711,44.818580,*,*,*,*
5,34,*,*,*,*,*,*,*,*,*,*,*,*,59.297622,37.454600,26.596567,43.005908,47.827854,38.675618,*,*,*,*
7,2,*,*,*,*,*,*,*,*,*,*,*,*,26.670348,23.849631,22.567582,24.704811,22.710108,14.114293,*,13.344586,*,*
7,4,59.004495,0.046156,*,*,*,*,*,*,*,*,*,*,64.199226,63.128690,62.397722,61.354653,61.822168,52.130192,*,51.733877,*,*
7,6,94.105219,0.000273,*,*,*,*,*,*,*,*,*,*,96.244834,94.926096,94.592445,92.925453,94.177764,85.821692,*,85.612101,*,*
7,8,115.491885,0.000000,*,*,*,*,*,*,*,*,*,*,116.540190,116.101100,116.286252,114.388367,114.333650,108.059531,*,107.888832,*,*
7,10,123.864601,0.015011,*,*,*,*,*,*,*,*,*,*,128.721508,127.771864,127.101038,124.836901,125.619119,118.019664,*,117.708558,*,*
7,12,132.016465,0.016416,*,*,*,*,*,*,*,*,*,*,138.918250,136.646981,135.124425,133.141951,134.162647,125.863341,*,125.785685,*,*
7,14,138.770079,0.095046,*,*,*,*,*,*,*,*,*,*,147.968708,143.905442,141.954301,140.283748,141.206628,132.495100,*,132.871456,*,*
7,16,*,*,*,*,*,*,*,*,*,*,*,*,153.957173,148.240838,146.095305,144.916393,145.750198,136.904673,*,137.282371,*,*
7,18,*,*,*,*,*,*,*,*,*,*,*,*,153.900611,148.149153,145.699651,145.337522,146.092436,136.434446,*,135.857301,*,*
7,20,*,*,*,*,*,*,*,*,*,*,*,*,152.345078,145.659061,142.920821,143.696997,144.861236,134.724745,*,133.560261,*,*
7,22,*,*,*,*,*,*,*,*,*,*,*,*,149.824614,141.855723,137.978457,140.398370,141.951427,132.162889,*,130.517923,*,*
7,24,*,*,*,*,*,*,*,*,*,*,*,*,146.889428,137.375131,132.349117,136.575690,138.450287,129.155024,*,*,*,*
7,26,*,*,*,*,*,*,*,*,*,*,*,*,143.914408,132.637265,126.567606,132.434775,134.590305,125.559682,*,*,*,*
7,28,*,*,*,*,*,*,*,*,*,*,*,*,141.011702,127.612796,120.602868,127.839967,130.354218,121.064435,*,*,*,*
7,30,*,*,*,*,*,*,*,*,*,*,*,*,138.209065,122.285492,114.503811,123.121302,125.978288,116.498752,*,*,*,*
7,32,*,*,*,*,*,*,*,*,*,*,*,*,135.373200,116.734901,108.362630,118.415761,121.623683,112.043919,*,*,*,*
7,34,*,*,*,*,*,*,*,*,*,*,*,*,131.403612,110.614193,101.713797,113.201497,116.759080,107.272610,*,*,*,*
7,36,*,*,*,*,*,*,*,*,*,*,*,*,125.777165,103.911857,94.273476,107.265095,111.187260,102.029380,*,*,*,*
9,2,*,*,*,*,*,*,*,*,*,*,*,*,19.069622,15.275430,13.431839,17.309404,15.027616,7.364151,*,6.096366,*,*
9,4,*,*,*,*,*,*,*,*,*,*,*,*,62.142342,60.466296,59.486884,59.316912,59.186611,50.044751,*,49.443023,*,*
9,6,97.253265,0.133800,*,*,*,*,*,*,*,*,*,*,102.096996,100.679780,100.242172,98.482943,99.667717,91.314360,*,91.074129,*,*
9,8,128.219576,0.000255,*,*,*,*,*,*,*,*,*,*,130.898285,130.667238,130.938606,128.725570,128.733651,123.247221,*,123.090653,129.22,144.2641
9,10,147.801285,0.000076,*,*,*,*,*,*,*,*,*,*,150.012848,149.757336,149.542066,147.318083,147.894212,142.224310,*,141.975275,148.51,163.7441
9,12,162.504090,0.001806,*,*,*,*,*,*,*,*,*,*,167.172866,165.462686,165.215860,162.885731,163.611998,157.712581,*,157.676190,162.95,183.6441
9,14,175.269430,0.079534,*,*,*,*,*,*,*,*,*,*,181.719253,178.988055,177.950584,175.640496,176.931084,169.901034,*,170.448360,174.70,195.4841
9,16,183.469100,0.098250,*,*,*,*,*,*,*,*,*,*,192.519139,188.835130,187.503610,185.290293,186.433737,179.090856,*,179.666922,181.85,203.8041
9,18,185.957586,0.376677,*,*,*,*,*,*,*,*,*,*,196.742564,193.507028,191.967957,190.122592,190.764880,182.833267,*,182.524710,185.65,206.8641
9,20,*,*,*,*,*,*,*,*,*,*,*,*,199.146494,195.146579,193.714387,192.368022,193.010977,184.502934,*,183.906546,187.81,208.0541
9,22,*,*,*,*,*,*,*,*,*,*,*,*,200.313176,194.337762,191.697405,191.519373,192.361646,183.873448,*,183.039381,188.68,208.0041
9,24,*,*,*,*,*,*,*,*,*,*,*,*,200.922099,193.314586,189.749744,190.578181,191.534129,182.947811,*,181.836503,187.00,205.8141
9,26,*,*,*,*,*,*,*,*,*,*,*,*,200.806229,191.333674,186.814840,188.785730,189.971288,181.114510,*,179.708425,182.94,203.6141
9,28,*,*,*,*,*,*,*,*,*,*,*,*,200.216221,188.703722,183.291355,186.480717,187.989528,178.893113,*,*,181.80,201.0341
9,30,*,*,*,*,*,*,*,*,*,*,*,*,199.419636,185.738313,179.486828,184.040601,185.854208,176.584972,*,*,174.05,*
9,32,*,*,*,*,*,*,*,*,*,*,*,*,198.716122,182.695377,175.905920,181.799943,183.917931,174.274274,*,*,169.69,*
9,34,*,*,*,*,*,*,*,*,*,*,*,*,196.420386,178.412244,171.256290,178.613505,181.058905,171.449062,*,*,161.23,*
9,36,*,*,*,*,*,*,*,*,*,*,*,*,191.130044,172.522372,164.556797,173.361609,176.157340,166.701818,*,*,156.19,*
9,38,*,*,*,*,*,*,*,*,*,*,*,*,185.268892,165.774579,156.900629,167.391251,170.862099,161.534952,*,*,*,*
9,40,*,*,*,*,*,*,*,*,*,*,*,*,180.054812,159.000088,149.163752,161.586911,165.805208,156.575674,*,*,*,*
11,2,*,*,*,*,*,*,*,*,*,*,*,*,8.840855,3.953839,1.242873,6.606145,4.712213,2.465002,*,4.203857,*,*
11,4,*,*,*,*,*,*,*,*,*,*,*,*,55.791851,52.901141,51.152410,52.037645,52.135969,43.072436,*,42.080546,*,*
11,6,*,*,*,*,*,*,*,*,*,*,*,*,101.941910,99.583261,98.360473,96.899816,98.775265,89.517033,*,89.131151,*,*
11,8,131.822399,0.012008,*,*,*,*,*,*,*,*,*,*,138.024729,137.075550,136.797347,134.468678,135.395098,129.095413,*,129.046336,133.28,154.7239
11,10,163.076004,0.000693,*,*,*,*,*,*,*,*,*,*,163.713032,162.689711,162.892395,160.764258,161.664446,156.459430,*,156.224721,162.95,185.8539
