Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
2,3,0.89000,0.05000,0.73500,0.02000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
4,5,*,*,*,*,*,*,*,*,*,*,*,*,-3.354686,-3.134777,-2.661197,-0.041996,-3.943004,-2.585059,*,-2.612991,*,*
4,7,*,*,*,*,*,*,*,*,*,*,*,*,-8.159929,-8.636878,-8.820294,-7.011204,-9.678861,-9.176459,*,-9.208280,*,*
4,9,*,*,*,*,*,*,*,*,*,*,*,*,-11.222948,-12.419669,-12.689669,-10.266820,-12.665544,-11.330405,*,-12.095051,*,*
4,11,*,*,*,*,*,*,*,*,*,*,*,*,-14.615136,-15.593717,-15.407708,-12.121160,-14.795830,-12.489051,*,-13.450473,*,*
4,13,*,*,*,*,*,*,*,*,*,*,*,*,-19.376086,-19.735267,-19.605632,-15.993379,-18.437700,-16.147242,*,-16.745092,*,*
4,15,*,*,*,*,*,*,*,*,*,*,*,*,-23.777739,-23.812641,-24.182169,-20.368910,-22.364940,-19.859260,*,*,*,*
4,17,*,*,*,*,*,*,*,*,*,*,*,*,-26.199086,-26.465672,-27.399450,-23.315530,-25.003969,-22.201777,*,*,*,*
4,19,*,*,*,*,*,*,*,*,*,*,*,*,-27.064086,-27.772108,-29.044914,-24.914318,-26.343836,-23.404242,*,*,*,*
4,21,*,*,*,*,*,*,*,*,*,*,*,*,-27.701552,-28.516478,-29.941465,-25.992549,-27.102277,-24.461667,*,*,*,*
4,23,*,*,*,*,*,*,*,*,*,*,*,*,-28.299838,-29.080611,-30.683540,-26.902557,-27.683674,-25.543637,*,*,*,*
4,25,*,*,*,*,*,*,*,*,*,*,*,*,-28.447068,-29.147775,-30.959149,-27.307980,-27.861075,-26.135248,*,*,*,*
4,27,*,*,*,*,*,*,*,*,*,*,*,*,-28.309061,-28.728637,-30.560972,-26.976976,-27.425604,-26.023346,*,*,*,*
6,5,*,*,*,*,*,*,*,*,*,*,*,*,-8.378530,-7.337238,-7.747313,-7.077660,-7.696302,-9.237204,*,-9.320405,*,*
6,7,*,*,*,*,*,*,*,*,*,*,*,*,-10.430357,-9.565470,-10.279214,-10.150222,-9.435583,-12.134841,*,-12.206807,*,*
6,9,*,*,*,*,*,*,*,*,*,*,*,*,-11.834382,-11.525393,-11.820278,-11.143929,-10.973522,-12.789417,*,-12.867578,*,*
6,11,*,*,*,*,*,*,*,*,*,*,*,*,-15.541141,-14.867330,-14.576259,-13.565992,-14.349946,-16.061357,*,-15.095442,*,*
6,13,*,*,*,*,*,*,*,*,*,*,*,*,-21.149672,-20.200057,-20.073125,-18.900363,-19.639440,-21.018242,*,-20.451478,*,*
6,15,*,*,*,*,*,*,*,*,*,*,*,*,-25.639404,-24.864808,-25.160910,-23.578798,-24.248621,-24.325723,*,-25.255713,*,*
6,17,*,*,*,*,*,*,*,*,*,*,*,*,-27.146988,-27.446100,-28.011429,-26.182125,-26.794397,-26.618455,*,-27.360197,*,*
6,19,*,*,*,*,*,*,*,*,*,*,*,*,-27.436702,-28.796880,-29.471702,-27.543183,-28.007451,-27.664450,*,-28.111923,*,*
6,21,*,*,*,*,*,*,*,*,*,*,*,*,-28.506896,-30.033248,-30.787159,-28.748186,-29.008914,-28.921936,*,-29.382636,*,*
6,23,*,*,*,*,*,*,*,*,*,*,*,*,-29.603206,-31.026932,-31.778849,-29.623875,-29.664798,-29.924571,*,*,*,*
6,25,*,*,*,*,*,*,*,*,*,*,*,*,-30.332997,-31.462364,-32.117409,-29.803597,-29.774482,-30.074249,*,*,*,*
6,27,*,*,*,*,*,*,*,*,*,*,*,*,-31.308171,-31.823265,-32.330583,-29.768759,-29.775419,-29.683796,*,*,*,*
6,29,*,*,*,*,*,*,*,*,*,*,*,*,-33.067895,-32.735479,-33.154917,-30.499579,-30.545823,-30.050998,*,*,*,*
6,31,*,*,*,*,*,*,*,*,*,*,*,*,-35.443352,-34.268153,-34.778842,-32.113109,-32.169061,-31.452565,*,*,*,*
6,33,*,*,*,*,*,*,*,*,*,*,*,*,-37.570956,-35.830793,-36.558027,-33.800975,-33.743126,-32.909637,*,*,*,*
6,35,*,*,*,*,*,*,*,*,*,*,*,*,-38.868179,-37.072371,-38.034032,-35.125366,-34.917467,-34.109704,*,*,*,*
8,5,*,*,*,*,*,*,*,*,*,*,*,*,-8.654052,-9.312310,-10.079041,-9.141835,-9.162947,-10.904392,*,-10.974939,*,*
8,7,*,*,*,*,*,*,*,*,*,*,*,*,-7.694122,-8.659245,-9.484218,-9.252138,-7.544562,-10.946088,*,-11.016149,*,*
8,9,*,*,*,*,*,*,*,*,*,*,*,*,-7.063643,-8.231523,-8.720001,-8.203063,-6.567672,-9.557231,*,-9.584998,*,*
8,11,*,*,*,*,*,*,*,*,*,*,*,*,-9.786838,-10.264040,-10.301040,-9.890238,-9.001897,-11.382666,*,-11.621272,*,*
8,13,*,*,*,*,*,*,*,*,*,*,*,*,-15.062671,-15.136427,-15.446042,-15.009225,-14.020760,-15.621691,*,-17.584149,*,*
8,15,*,*,*,*,*,*,*,*,*,*,*,*,-19.028011,-19.389196,-20.064302,-19.289824,-18.205846,-20.017884,*,-22.149851,*,*
8,17,*,*,*,*,*,*,*,*,*,*,*,*,-19.869914,-21.509589,-22.303709,-21.268427,-20.038659,-22.876392,*,-23.262532,*,*
8,19,*,*,*,*,*,*,*,*,*,*,*,*,-20.490807,-22.867900,-23.757527,-22.436723,-21.129627,-23.763665,*,-23.817860,*,*
8,21,*,*,*,*,*,*,*,*,*,*,*,*,-22.640310,-24.524455,-25.227305,-23.606601,-22.301445,-25.147761,*,-25.453950,*,*
8,23,*,*,*,*,*,*,*,*,*,*,*,*,-24.830591,-26.088563,-26.221290,-24.309181,-22.985958,-25.908450,*,-26.364626,*,*
8,25,*,*,*,*,*,*,*,*,*,*,*,*,-27.080725,-27.736516,-27.483034,-25.130537,-23.837443,-26.249254,*,*,*,*
8,27,*,*,*,*,*,*,*,*,*,*,*,*,-29.729820,-29.769466,-29.472735,-26.640810,-25.405788,-27.035201,*,*,*,*
8,29,*,*,*,*,*,*,*,*,*,*,*,*,-32.625369,-32.159333,-32.098009,-28.958488,-27.754185,-28.900030,*,*,*,*
8,31,*,*,*,*,*,*,*,*,*,*,*,*,-35.464768,-34.750378,-35.164111,-31.851743,-30.557361,-31.536452,*,*,*,*
8,33,*,*,*,*,*,*,*,*,*,*,*,*,-37.443706,-36.970438,-37.929540,-34.392173,-32.939408,-33.831818,*,*,*,*
8,35,*,*,*,*,*,*,*,*,*,*,*,*,-37.999586,-38.376273,-39.685561,-35.873402,-34.279215,-35.218704,*,*,*,*
8,37,*,*,*,*,*,*,*,*,*,*,*,*,-37.700858,-39.039738,-40.317319,-36.428866,-34.835689,-35.856275,*,*,*,*
10,5,*,*,*,*,*,*,*,*,*,*,*,*,-9.258549,-9.548423,-9.483019,-7.581122,-9.683644,-9.501619,*,-9.793313,*,*
10,7,*,*,*,*,*,*,*,*,*,*,*,*,-7.422053,-7.477006,-7.238533,-6.355765,-7.615058,-8.265837,*,-8.354063,*,*
10,9,*,*,*,*,*,*,*,*,*,*,*,*,-4.471432,-4.618102,-4.285245,-3.862540,-4.944306,-5.378324,*,-5.320042,*,*
10,11,*,*,*,*,*,*,*,*,*,*,*,*,-5.162309,-4.403379,-4.287027,-4.353639,-5.618675,-5.847389,*,-5.811854,-6.210000,-14.03
10,13,*,*,*,*,*,*,*,*,*,*,*,*,-8.736485,-7.727609,-7.889361,-8.042543,-9.378353,-9.467211,*,-9.510686,-9.440000,-16.43
10,15,*,*,*,*,*,*,*,*,*,*,*,*,-10.738800,-10.673298,-10.688063,-10.740643,-12.328670,-11.899966,*,-11.687428,-12.170000,-18.59
10,17,*,*,*,*,*,*,*,*,*,*,*,*,-10.361473,-11.658116,-11.909545,-11.845928,-12.987796,-12.586235,*,-11.711350,-12.920000,-14.90
10,19,*,*,*,*,*,*,*,*,*,*,*,*,-10.448177,-12.370735,-12.911115,-12.677668,-13.520019,-13.169579,*,-12.366245,-15.500000,-17.21
10,21,*,*,*,*,*,*,*,*,*,*,*,*,-13.002219,-13.837579,-14.176005,-13.903975,-14.648228,-14.585155,*,-14.463704,-18.530000,-20.83
10,23,*,*,*,*,*,*,*,*,*,*,*,*,-16.738476,-16.639849,-16.845716,-16.251629,-16.695343,-16.558757,*,-16.869980,-21.690000,-21.76
10,25,*,*,*,*,*,*,*,*,*,*,*,*,-20.423388,-20.175731,-20.976546,-19.587043,-19.686978,-18.938182,*,-19.668766,-22.690000,-22.64
10,27,*,*,*,*,*,*,*,*,*,*,*,*,-23.049392,-22.724008,-24.037743,-22.084993,-21.988618,-20.852467,*,-21.980273,-27.770000,-21.24
10,29,*,*,*,*,*,*,*,*,*,*,*,*,-24.711873,-24.531968,-25.940230,-23.826476,-23.631585,-22.570333,*,*,-26.440000,*
10,31,*,*,*,*,*,*,*,*,*,*,*,*,-26.048222,-26.270404,-27.533218,-25.470735,-25.308001,-24.254681,*,*,-30.230000,*
10,33,*,*,*,*,*,*,*,*,*,*,*,*,-26.682219,-27.639611,-28.791795,-26.889570,-26.829624,-25.777452,*,*,-32.780000,*
10,35,*,*,*,*,*,*,*,*,*,*,*,*,-25.856969,-28.012868,-28.891974,-27.248347,-27.264022,-26.385532,*,*,-33.980000,*
10,37,*,*,*,*,*,*,*,*,*,*,*,*,-24.750946,-27.766708,-28.226449,-26.884835,-27.173730,-26.150025,*,*,*,*
