Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
2,2,28.29569,0.0,28.29569,0.0,*,*,*,*,*,*,*,*,30.01944,29.983718,30.710089,30.636386,28.722356,18.702212,*,18.895319,*,*
2,4,29.268135,0.000755,29.271146,5.3e-05,*,*,*,*,*,*,*,*,37.188354,36.159424,36.148329,34.624301,34.021157,23.240782,*,23.400261,*,*
2,6,31.407833,0.006868,31.396196,8.9e-05,*,*,*,*,*,*,*,*,39.728661,37.137744,36.550727,36.067065,34.793928,24.606519,*,24.620786,*,*
2,8,30.33931,0.070001,29.95137,0.092848,*,*,*,*,*,*,*,*,37.626096,33.898501,32.980228,34.467716,32.720707,23.286018,*,22.756808,*,*
2,10,*,*,*,*,*,*,*,*,*,*,*,*,32.690333,27.759968,25.96012,29.20296,27.499694,19.120407,*,18.002291,*,*
2,12,*,*,*,*,*,*,*,*,*,*,*,*,27.429195,20.546461,17.908634,22.353035,21.0185,12.671543,*,11.109544,*,*
2,14,*,*,*,*,*,*,*,*,*,*,*,*,22.262117,13.265842,9.545431,15.659348,14.90931,6.68097,*,*,*,*
2,16,*,*,*,*,*,*,*,*,*,*,*,*,16.695909,5.958343,1.210235,9.218868,9.199521,1.047445,*,*,*,*
2,18,*,*,*,*,*,*,*,*,*,*,*,*,10.818758,1.175864,6.943265,3.016969,3.87837,4.290201,*,*,*,*
2,20,*,*,*,*,*,*,*,*,*,*,*,*,4.956314,8.082662,14.837446,2.987939,1.323312,9.499219,*,*,*,*
2,22,*,*,*,*,*,*,*,*,*,*,*,*,0.519189,14.687521,22.599432,8.803112,6.610538,14.541914,*,*,*,*
2,24,*,*,*,*,*,*,*,*,*,*,*,*,6.018194,21.286827,30.238305,14.792499,12.223338,19.967254,*,*,*,*
2,26,*,*,*,*,*,*,*,*,*,*,*,*,12.421527,28.925458,38.658791,21.861315,18.799315,26.842403,*,*,*,*
4,2,26.923628,0.005448,26.923542,0.005448,*,*,*,*,*,*,*,*,34.413891,33.472573,33.466501,32.047024,31.976527,20.975775,*,21.158666,*,*
4,4,56.499539,3.5e-05,56.49954,3.5e-05,*,*,*,*,*,*,*,*,56.131949,56.070979,55.470044,52.910576,55.440615,43.419744,*,43.573356,*,*
4,6,64.977177,0.000401,64.976359,8.1e-05,*,*,*,*,*,*,*,*,71.427749,70.290303,69.98971,67.429791,69.664016,58.517953,*,58.735468,*,*
4,8,68.649977,0.015005,68.648723,0.001909,*,*,*,*,*,*,*,*,77.404787,76.084841,76.146979,74.407678,74.970894,64.894188,*,64.887207,*,*
4,10,69.91462,0.132245,69.91462,0.132245,*,*,*,*,*,*,*,*,77.979158,75.761876,74.521898,73.134173,74.060868,63.531957,*,63.23157,*,*
4,12,*,*,68.564622,0.165797,*,*,*,*,*,*,*,*,78.048266,73.798184,71.679303,71.451716,72.323525,61.645127,*,61.075955,*,*
4,14,*,*,*,*,*,*,*,*,*,*,*,*,78.088202,71.603674,68.908016,69.783085,70.516435,59.792647,*,59.13676,*,*
4,16,*,*,*,*,*,*,*,*,*,*,*,*,76.557498,67.685188,64.656628,66.822981,67.6779,56.896752,*,55.906463,*,*
4,18,*,*,*,*,*,*,*,*,*,*,*,*,71.696467,61.873817,58.186473,62.120738,63.605084,52.421707,*,50.699568,*,*
4,20,*,*,*,*,*,*,*,*,*,*,*,*,66.313302,55.362135,50.891348,56.901158,58.977215,47.893131,*,45.479354,*,*
4,22,*,*,*,*,*,*,*,*,*,*,*,*,61.342096,49.18755,43.754782,51.846192,54.450665,43.882431,*,*,*,*
4,24,*,*,*,*,*,*,*,*,*,*,*,*,56.335635,43.070407,36.744147,46.865055,49.682064,39.848512,*,*,*,*
4,26,*,*,*,*,*,*,*,*,*,*,*,*,50.735554,36.222069,28.985916,40.933377,44.099089,34.698378,*,*,*,*
4,28,*,*,*,*,*,*,*,*,*,*,*,*,44.203013,27.901626,19.786145,33.021675,36.517396,27.222222,*,*,*,*
4,30,*,*,*,*,*,*,*,*,*,*,*,*,37.447162,19.221836,10.072412,24.98708,28.968227,19.938145,*,*,*,*
4,32,*,*,*,*,*,*,*,*,*,*,*,*,30.842668,10.824442,0.685279,17.281,21.802669,12.998757,*,*,*,*
4,34,*,*,*,*,*,*,*,*,*,*,*,*,24.408451,2.615128,8.53603,9.866432,14.914494,6.350233,*,*,*,*
6,2,24.782485,0.023068,24.812277,0.018243,*,*,*,*,*,*,*,*,32.803014,30.2665,29.742703,29.744767,28.654289,18.749465,*,18.647481,*,*
6,4,60.320499,0.000403,60.320509,7e-05,*,*,*,*,*,*,*,*,66.948978,65.861318,65.569223,63.125432,64.880948,54.070108,*,54.169577,*,*
6,6,92.161816,0.0,92.161816,0.0,*,*,*,*,*,*,*,*,94.354056,92.56665,92.613085,90.30522,92.465552,83.108122,*,83.311492,*,*
6,8,105.284559,4e-06,105.284559,4e-06,*,*,*,*,*,*,*,*,109.783212,108.761114,109.290681,106.880517,107.637808,99.803421,*,100.03532,*,*
6,10,110.752959,0.003578,110.752956,0.003578,*,*,*,*,*,*,*,*,118.008452,116.246051,115.770905,113.095226,114.599094,105.23132,*,105.231857,*,*
6,12,115.663546,0.030006,115.67046,0.03,*,*,*,*,*,*,*,*,124.489896,121.342826,119.852708,117.794708,119.30651,109.265845,*,109.392142,*,*
6,14,119.17475,0.239161,119.228797,0.230625,*,*,*,*,*,*,*,*,130.352166,125.196855,123.256348,121.753378,123.089285,112.718831,*,113.035947,*,*
6,16,*,*,119.263798,0.23149,*,*,*,*,*,*,*,*,133.725507,126.590755,124.511986,123.753608,125.035735,114.574106,*,114.881098,*,*
6,18,*,*,*,*,*,*,*,*,*,*,*,*,131.433715,124.010068,121.614469,121.956179,123.317778,112.0745,*,111.432297,*,*
6,20,*,*,*,*,*,*,*,*,*,*,*,*,127.861832,119.587501,116.631239,118.561504,120.451155,108.967093,*,107.663043,*,*
6,22,*,*,*,*,*,*,*,*,*,*,*,*,123.996516,114.586631,110.66968,114.554007,116.785911,105.831441,*,104.001147,*,*
6,24,*,*,*,*,*,*,*,*,*,*,*,*,119.841908,109.066153,104.144474,110.08072,112.66558,102.459167,*,*,*,*
6,26,*,*,*,*,*,*,*,*,*,*,*,*,115.529736,103.123381,97.27482,105.022467,107.861071,98.210997,*,*,*,*
6,28,*,*,*,*,*,*,*,*,*,*,*,*,111.177675,96.742526,89.872724,99.076178,102.183747,92.334099,*,*,*,*
6,30,*,*,*,*,*,*,*,*,*,*,*,*,106.950802,89.89307,82.158163,92.761514,96.289596,86.361918,*,*,*,*
6,32,*,*,*,*,*,*,*,*,*,*,*,*,102.706112,82.937124,74.359856,86.533157,90.516346,80.646758,*,*,*,*
6,34,*,*,*,*,*,*,*,*,*,*,*,*,97.783799,75.860728,66.535315,80.295063,84.662508,74.962235,*,*,*,*
6,36,*,*,*,*,*,*,*,*,*,*,*,*,91.990868,68.697488,58.565813,73.921026,78.718663,69.362224,*,*,*,*
8,2,*,*,*,*,*,*,*,*,*,*,*,*,26.030198,22.600063,21.395915,23.682211,21.795095,13.073691,*,12.384649,*,*
8,4,58.549196,0.018466,58.682537,0.024,*,*,*,*,*,*,*,*,67.401491,66.302259,66.087675,64.70161,64.74696,55.10176,*,54.974216,*,*
8,6,98.73243,0.000109,98.732005,2.5e-05,*,*,*,*,*,*,*,*,103.906436,102.971022,103.330114,101.084013,101.894499,93.979564,*,94.1929,*,*
8,8,127.619423,0.0,127.619423,0.0,*,*,*,*,*,*,*,*,128.856436,128.904993,129.839429,127.368236,126.708495,121.70546,*,121.950687,128.03,125.632422
8,10,139.80658,0.000621,139.807873,1e-06,*,*,*,*,*,*,*,*,144.746257,144.484846,144.734392,141.963546,142.040342,136.123181,*,136.259511,141.84,138.095058
8,12,151.370232,0.001081,151.371522,0.000885,*,*,*,*,*,*,*,*,158.460613,156.849135,156.48863,153.746333,154.121072,147.620242,*,148.128389,152.98,151.927694
8,14,162.026177,0.056924,162.027296,0.056921,*,*,*,*,*,*,*,*,170.486446,167.278899,166.483309,163.855872,164.192707,157.219361,*,158.409799,161.39,161.930329
8,16,168.382565,0.236242,168.952563,0.164874,*,*,*,*,*,*,*,*,178.908577,174.420231,173.303716,170.930478,171.196394,163.998623,*,165.167568,165.98,168.322965
