Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
3,3,31.994115,1.5e-05,31.994029,1e-06,*,*,*,*,*,*,*,*,30.212480,30.065611,28.433310,29.947169,29.306937,19.394754,*,18.576338,*,*
3,5,41.2767,9.5e-05,41.27774,4.7e-05,*,*,*,*,*,*,*,*,43.421556,42.482101,40.769204,41.227168,41.650098,31.422142,*,30.630516,*,*
3,7,45.315599,0.015124,45.313556,0.012721,*,*,*,*,*,*,*,*,49.601476,47.638104,45.937141,46.891452,46.867433,37.470623,*,36.235995,*,*
3,9,*,*,45.499245,0.030006,*,*,*,*,*,*,*,*,50.381347,47.465841,45.454121,47.290914,46.919468,37.948842,*,36.415542,*,*
3,11,*,*,*,*,*,*,*,*,*,*,*,*,48.502154,44.167535,41.284555,44.107127,43.941156,34.693462,*,33.108784,*,*
3,13,*,*,*,*,*,*,*,*,*,*,*,*,46.128939,39.825871,36.044832,39.998431,40.177780,30.798168,*,*,*,*
3,15,*,*,*,*,*,*,*,*,*,*,*,*,43.270440,34.883287,30.340486,35.689780,36.265542,26.820309,*,*,*,*
3,17,*,*,*,*,*,*,*,*,*,*,*,*,39.164136,29.133864,23.845237,30.846679,31.999968,22.444976,*,*,*,*
3,19,*,*,*,*,*,*,*,*,*,*,*,*,34.024282,22.815531,16.667115,25.525173,27.383925,17.744682,*,*,*,*
3,21,*,*,*,*,*,*,*,*,*,*,*,*,28.750313,16.433044,9.310711,20.096568,22.605889,13.093093,*,*,*,*
3,23,*,*,*,*,*,*,*,*,*,*,*,*,23.575880,10.126278,2.023683,14.666392,17.626319,8.427983,*,*,*,*
3,25,*,*,*,*,*,*,*,*,*,*,*,*,18.001836,3.342451,5.634638,8.692463,11.981571,3.055117,*,*,*,*
5,3,37.737388,0.001,37.737311,0.001,*,*,*,*,*,*,*,*,39.962601,39.098139,37.361949,38.018570,38.467593,28.376088,*,27.546054,*,*
5,5,64.750783,0.000386,64.750905,1.5e-05,*,*,*,*,*,*,*,*,65.770489,64.886303,63.493222,62.778652,64.657588,54.618703,*,53.924888,*,*
5,7,79.575251,0.0014,79.574753,0.001321,*,*,*,*,*,*,*,*,82.257210,81.050438,80.015518,79.196390,80.622883,71.516643,*,70.861766,*,*
5,9,85.423102,0.021213,85.4231,0.021213,*,*,*,*,*,*,*,*,90.587277,88.966682,87.781432,86.944404,87.972044,78.930647,*,78.195884,*,*
5,11,88.147735,0.06,88.116911,0.024569,*,*,*,*,*,*,*,*,94.863114,92.030682,89.958288,89.466348,90.743850,81.625851,*,80.167734,*,*
5,13,*,*,89.579423,0.204165,*,*,*,*,*,*,*,*,98.170850,93.487567,90.633345,90.870136,92.233478,82.676744,*,81.191461,*,*
5,15,*,*,*,*,*,*,*,*,*,*,*,*,100.245090,93.490426,90.218652,91.323472,92.701295,82.324619,*,81.394796,*,*
5,17,*,*,*,*,*,*,*,*,*,*,*,*,99.330075,91.119963,87.500242,89.769142,91.326127,80.649444,*,79.319026,*,*
5,19,*,*,*,*,*,*,*,*,*,*,*,*,95.777986,86.678913,82.529331,86.355419,88.325256,77.356302,*,75.346999,*,*
