Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
3,4,12.91338,0.05000,12.91442,0.05000,*,*,*,*,*,*,*,*,14.910809,14.810727,14.164197,12.045544,14.663091,13.085099,*,13.036538,*,*
3,6,6.09651,0.00194,6.09484,0.00019,*,*,*,*,*,*,*,*,9.232785,7.940949,7.752871,8.180128,7.896722,8.443136,*,8.448224,*,*
3,8,0.29959,0.01939,0.36928,0.00064,*,*,*,*,*,*,*,*,2.201045,1.526354,1.578897,2.729825,1.880900,2.585378,*,2.209686,*,*
3,10,*,*,*,*,*,*,*,*,*,*,*,*,-2.024772,-3.097051,-4.169313,-3.104870,-2.910767,-2.618041,*,-3.042928,*,*
3,12,*,*,*,*,*,*,*,*,*,*,*,*,-2.474382,-4.413004,-5.298331,-4.239824,-3.934632,-4.120706,*,-4.479539,*,*
3,14,*,*,*,*,*,*,*,*,*,*,*,*,-2.418262,-4.590864,-5.392660,-4.061630,-3.796285,-3.806607,*,*,*,*
3,16,*,*,*,*,*,*,*,*,*,*,*,*,-3.424576,-5.498493,-6.158666,-4.574393,-4.136722,-4.136799,*,*,*,*
3,18,*,*,*,*,*,*,*,*,*,*,*,*,-5.279177,-6.435516,-7.256189,-5.356730,-4.644701,-4.812533,*,*,*,*
3,20,*,*,*,*,*,*,*,*,*,*,*,*,-5.589210,-6.682471,-7.566646,-5.598752,-4.866594,-4.815829,*,*,*,*
3,22,*,*,*,*,*,*,*,*,*,*,*,*,-5.203038,-6.366468,-7.408473,-5.446807,-4.888513,-4.574324,*,*,*,*
3,24,*,*,*,*,*,*,*,*,*,*,*,*,-5.242131,-6.330704,-7.299357,-5.479664,-5.169557,-4.750340,*,*,*,*
3,26,*,*,*,*,*,*,*,*,*,*,*,*,-5.978284,-7.252086,-8.067543,-6.464479,-6.080758,-5.969051,*,*,*,*
5,4,31.59530,0.07072,31.40270,0.02517,*,*,*,*,*,*,*,*,28.077667,29.099148,28.962670,26.616667,29.616972,28.267757,*,28.322708,*,*
5,6,19.89038,0.00107,19.89142,0.00090,*,*,*,*,*,*,*,*,21.594548,20.771575,20.992440,20.858973,21.122226,22.061153,*,22.185401,*,*
5,8,8.24840,0.00100,8.24839,0.00100,*,*,*,*,*,*,*,*,10.939263,11.216008,11.623707,11.819778,10.470754,11.599785,*,11.521733,*,*
5,10,3.73252,0.02240,3.74634,0.02106,*,*,*,*,*,*,*,*,4.575429,3.728081,2.584160,2.585247,3.196183,2.160013,*,1.918947,*,*
5,12,1.34410,0.17233,1.38456,0.20518,*,*,*,*,*,*,*,*,3.412372,1.758393,0.747543,1.567249,1.666139,1.153445,*,1.083112,*,*
5,14,*,*,0.08871,0.56362,*,*,*,*,*,*,*,*,3.095942,0.983308,0.484686,1.245472,1.140648,0.911150,*,0.988637,*,*
