Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
3,2,*,*,*,*,*,*,*,*,*,*,*,*,-2.605024,-2.854488,-4.063328,-2.878034,-3.079497,-2.433647,-2.951423,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,4,9.97594,0.00075,9.97396,5E-05,*,*,*,*,*,*,*,*,5.136871,5.780533,4.66263,5.179596,6.284793,6.112883,5.580174,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,6,13.93275,0.00714,13.94375,0.00021,*,*,*,*,*,*,*,*,11.829349,12.743162,12.013102,11.916959,13.408744,13.190281,12.807872,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,8,15.30086,0.07261,15.75786,0.09285,*,*,*,*,*,*,*,*,16.132959,17.508758,17.162498,16.246133,17.362864,17.09616,16.881535,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,10,*,*,*,*,*,*,*,*,*,*,*,*,19.04395,20.550241,20.013294,18.40602,19.673111,18.64373,18.593124,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,12,*,*,*,*,*,*,*,*,*,*,*,*,21.830706,23.350745,22.766449,21.016121,22.219674,20.971888,21.006333,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,14,*,*,*,*,*,*,*,*,*,*,*,*,24.579523,26.0405,25.736992,23.648178,24.532579,23.155855,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,16,*,*,*,*,*,*,*,*,*,*,*,*,26.721155,27.849507,27.913522,25.514266,26.105646,24.652582,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,18,*,*,*,*,*,*,*,*,*,*,*,*,27.319129,28.548199,28.810834,26.359435,26.782097,25.177695,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,20,*,*,*,*,*,*,*,*,*,*,*,*,27.592364,28.772526,29.13837,26.765592,27.117185,25.570885,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,22,*,*,*,*,*,*,*,*,*,*,*,*,27.86483,29.010918,29.491884,27.133958,27.515898,26.039257,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,24,*,*,*,*,*,*,*,*,*,*,*,*,28.121704,29.27952,29.8314,27.643682,27.959142,26.714257,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,26,*,*,*,*,*,*,*,*,*,*,*,*,28.546754,29.666065,30.184343,28.24802,28.454362,27.620356,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,2,*,*,*,*,*,*,*,*,*,*,*,*,-4.250335,-4.86259,-5.679098,-3.452214,-4.876589,-3.255822,-3.839484,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,4,*,*,*,*,*,*,*,*,*,*,*,*,2.109275,1.638152,1.280029,2.300901,1.276295,2.567966,2.068535,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,6,11.22771,0.00058,11.22875,8E-05,*,*,*,*,*,*,*,*,8.408022,8.190403,7.752803,8.640659,8.175119,9.53091,9.091824,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,8,15.80331,0.01504,15.80478,0.00215,*,*,*,*,*,*,*,*,13.370247,13.611873,13.219241,13.482549,13.338995,14.75446,14.461817,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,10,18.27119,0.13412,18.28523,0.13391,*,*,*,*,*,*,*,*,17.371304,17.662918,17.428482,17.3413,17.445204,18.276703,18.0364,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,12,*,*,21.01979,0.26296,*,*,*,*,*,*,*,*,20.714568,21.385002,21.018619,20.591005,20.848685,21.316978,21.275127,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,14,*,*,*,*,*,*,*,*,*,*,*,*,23.770573,24.56282,24.274592,23.505108,23.796422,24.080607,24.202959,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,16,*,*,*,*,*,*,*,*,*,*,*,*,26.348224,27.334683,27.168628,26.100815,26.29857,26.574194,26.876937,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,18,*,*,*,*,*,*,*,*,*,*,*,*,27.734443,29.005477,29.027708,27.641808,27.554975,27.656864,27.854065,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,20,*,*,*,*,*,*,*,*,*,*,*,*,28.705996,30.105883,30.244098,28.585825,28.522831,28.410145,28.631985,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,22,*,*,*,*,*,*,*,*,*,*,*,*,29.303547,30.741576,30.879064,29.130812,29.000129,28.847382,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,24,*,*,*,*,*,*,*,*,*,*,*,*,29.766633,31.085655,31.15528,29.407123,29.351297,29.188114,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,26,*,*,*,*,*,*,*,*,*,*,*,*,30.448685,31.552653,31.633008,29.878504,29.75384,29.674465,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,28,*,*,*,*,*,*,*,*,*,*,*,*,31.588505,32.54616,32.557738,30.866187,30.745108,30.506465,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,30,*,*,*,*,*,*,*,*,*,*,*,*,32.895664,33.480604,33.58076,31.745464,31.613523,31.181618,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,32,*,*,*,*,*,*,*,*,*,*,*,*,34.109787,34.240722,34.388349,32.510782,32.351042,31.819823,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,34,*,*,*,*,*,*,*,*,*,*,*,*,34.889171,34.839473,35.132597,33.139477,32.91336,32.325385,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,2,*,*,*,*,*,*,*,*,*,*,*,*,-6.132667,-6.41687,-7.175122,-5.039957,-5.944182,-4.635173,-5.302896,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,4,*,*,*,*,*,*,*,*,*,*,*,*,-2.749753,-2.732629,-3.171502,-1.77078,-3.058781,-1.939917,-2.435701,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,6,1.94349,0.00027,1.94349,0.00027,*,*,*,*,*,*,*,*,1.890778,2.359446,1.97936,2.620233,1.712212,2.713571,2.300609,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,8,10.20743,0,10.20742,0,*,*,*,*,*,*,*,*,6.756978,7.339986,6.995571,7.50785,6.695842,8.25611,7.853512,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,10,13.11173,0.01543,13.11302,0.01542,*,*,*,*,*,*,*,*,10.713056,11.525813,11.330133,11.741675,11.020025,12.788344,12.476701,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,12,16.35302,0.03419,16.35195,0.03419,*,*,*,*,*,*,*,*,14.428354,15.304155,15.271717,15.347243,14.856137,16.597496,16.393542,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,14,19.59542,0.25735,19.56062,0.26675,*,*,*,*,*,*,*,*,17.616542,18.708587,18.697953,18.53037,18.117343,19.776269,19.835509,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,16,*,*,24.17974,0.48007,*,*,*,*,*,*,*,*,20.231666,21.650083,21.583319,21.162785,20.714463,22.330567,22.401273,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,18,*,*,*,*,*,*,*,*,*,*,*,*,22.466895,24.139085,24.085182,23.381343,22.774658,24.359946,24.425004,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,20,*,*,*,*,*,*,*,*,*,*,*,*,24.483246,26.07156,26.289582,25.135493,24.410081,25.757652,25.897218,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,22,*,*,*,*,*,*,*,*,*,*,*,*,25.828098,27.269092,27.308777,25.844364,25.165516,26.331448,26.516776,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,24,*,*,*,*,*,*,*,*,*,*,*,*,27.04752,28.308978,28.204643,26.49497,25.784706,26.695858,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,26,*,*,*,*,*,*,*,*,*,*,*,*,28.384672,29.513884,29.292786,27.412307,26.729234,27.348685,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,28,*,*,*,*,*,*,*,*,*,*,*,*,29.834027,30.87027,30.730143,28.763789,28.170471,28.730336,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,30,*,*,*,*,*,*,*,*,*,*,*,*,31.258263,32.392422,32.345648,30.359788,29.688692,30.136834,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,32,*,*,*,*,*,*,*,*,*,*,*,*,32.667088,33.797777,34.002774,31.882604,31.107338,31.39716,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,34,*,*,*,*,*,*,*,*,*,*,*,*,33.619813,34.753465,35.178482,32.906434,32.096572,32.310375,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,36,*,*,*,*,*,*,*,*,*,*,*,*,33.786297,35.214369,35.707663,33.344069,32.468597,32.667156,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,2,*,*,*,*,*,*,*,*,*,*,*,*,-6.960576,-7.324634,-7.964077,-6.372808,-6.76748,-5.709541,-6.288284,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,4,*,*,*,*,*,*,*,*,*,*,*,*,-5.25915,-5.835964,-6.600792,-5.384699,-5.56035,-5.05701,-5.531194,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,6,*,*,*,*,*,*,*,*,*,*,*,*,-1.809441,-2.291243,-3.087943,-2.601071,-2.226783,-2.665205,-3.118772,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,8,0.60027,0.00025,0.60027,0.00025,*,*,*,*,*,*,*,*,2.041849,1.762246,1.099177,1.357334,2.025156,1.541761,1.139966,1.19,0.33
,,,,,,,,,,,,,,,,,,,,,,
9,10,7.99483,0.00062,7.9936,0,*,*,*,*,*,*,*,*,5.266591,5.27249,4.807673,5.354537,5.85387,6.101129,5.715764,6.67,7.33
,,,,,,,,,,,,,,,,,,,,,,
9,12,11.13398,0.0021,11.13275,0.00201,*,*,*,*,*,*,*,*,8.712254,8.613552,8.72723,9.139398,9.490926,10.092339,9.547801,9.97,13.37
,,,,,,,,,,,,,,,,,,,,,,
9,14,13.24338,0.09781,13.28674,0.06596,*,*,*,*,*,*,*,*,11.232807,11.709156,11.467275,11.784624,12.738377,12.681673,12.038561,13.31,15.2
,,,,,,,,,,,,,,,,,,,,,,
9,16,15.08667,0.25585,14.45521,0.19101,*,*,*,*,*,*,*,*,13.610562,14.414899,14.199894,14.359815,15.237343,15.092233,14.499355,15.87,17.1
,,,,,,,,,,,,,,,,,,,,,,
9,18,*,*,16.49973,0.42329,*,*,*,*,*,*,*,*,15.757827,16.778988,16.669534,16.645952,17.331581,17.384283,16.915436,18.24,19.73
,,,,,,,,,,,,,,,,,,,,,,
9,20,*,*,*,*,*,*,*,*,*,*,*,*,17.782053,19.045586,19.082707,18.845636,19.289795,19.39421,19.180233,20.99,20.6
,,,,,,,,,,,,,,,,,,,,,,
9,22,*,*,*,*,*,*,*,*,*,*,*,*,20.171635,20.945662,21.057356,20.624892,20.900498,20.80806,20.774347,23.56,23.9
,,,,,,,,,,,,,,,,,,,,,,
9,24,*,*,*,*,*,*,*,*,*,*,*,*,22.562185,23.428998,23.910024,22.934719,22.973714,22.59063,22.809654,24.59,23.45
,,,,,,,,,,,,,,,,,,,,,,
9,26,*,*,*,*,*,*,*,*,*,*,*,*,24.148143,25.015604,25.736082,24.408301,24.378506,23.748319,24.176649,27.5,23.49
,,,,,,,,,,,,,,,,,,,,,,
9,28,*,*,*,*,*,*,*,*,*,*,*,*,25.077585,26.107965,26.797067,25.373801,25.256536,24.669272,*,28.98,*
,,,,,,,,,,,,,,,,,,,,,,
9,30,*,*,*,*,*,*,*,*,*,*,*,*,25.724038,27.012286,27.533411,26.097503,26.041768,25.573693,*,30.44,*
,,,,,,,,,,,,,,,,,,,,,,
9,32,*,*,*,*,*,*,*,*,*,*,*,*,26.497228,28.18084,28.500592,27.124938,27.121233,26.504785,*,31.48,*
,,,,,,,,,,,,,,,,,,,,,,
9,34,*,*,*,*,*,*,*,*,*,*,*,*,27.267703,29.115705,29.407698,28.200093,28.204372,27.606212,*,32.83,*
,,,,,,,,,,,,,,,,,,,,,,
9,36,*,*,*,*,*,*,*,*,*,*,*,*,27.476825,29.508572,29.686342,28.502732,28.556997,27.795247,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,38,*,*,*,*,*,*,*,*,*,*,*,*,27.754439,29.689797,30.015785,28.77174,28.927593,27.969857,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,40,*,*,*,*,*,*,*,*,*,*,*,*,28.425228,29.938812,30.340013,29.083919,29.25404,28.169386,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,2,*,*,*,*,*,*,*,*,*,*,*,*,-7.168783,-7.73089,-8.358632,-7.249103,-7.28104,-6.807163,-7.252133,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,4,*,*,*,*,*,*,*,*,*,*,*,*,-5.627611,-6.371902,-6.84409,-5.681908,-6.104697,-5.518616,-6.042956,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,6,*,*,*,*,*,*,*,*,*,*,*,*,-3.022094,-3.712199,-4.300607,-3.452332,-3.695724,-3.471439,-3.911644,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,8,*,*,*,*,*,*,*,*,*,*,*,*,0.540736,-0.093194,-0.689379,-0.214392,-0.258796,-0.238992,-0.468512,-1.09,2.23
,,,,,,,,,,,,,,,,,,,,,,
11,10,2.4312,0.0007,2.43167,0.0001,*,*,*,*,*,*,*,*,4.090411,3.140497,3.262132,3.50531,3.268132,3.525861,3.200609,2.14,0.74
,,,,,,,,,,,,,,,,,,,,,,
11,12,8.79411,2E-05,8.7941,2E-05,*,*,*,*,*,*,*,*,7.166708,6.805772,6.675068,6.807338,6.871134,7.229813,6.809162,7.88,7.98
