Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
3,3,4.58841,0.05,4.43332,0.02,*,*,*,*,*,*,*,*,1.508019,1.681186,0.527951,0.993763,1.68652,1.697111,1.156454,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,5,12.44317,0.01666,12.41629,0.00756,*,*,*,*,*,*,*,*,8.58247,9.328739,8.392735,8.340289,9.762087,9.418525,8.946516,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,7,15.17782,0.03308,15.17217,0.04851,*,*,*,*,*,*,*,*,13.920957,15.034607,14.432354,13.81838,15.210911,14.536091,14.523151,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,9,*,*,*,*,*,*,*,*,*,*,*,*,17.465271,18.8222,18.351862,17.065544,18.332892,17.346124,17.487173,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,11,*,*,*,*,*,*,*,*,*,*,*,*,20.249766,21.643994,21.13893,19.446596,20.700935,19.621358,19.571671,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,13,*,*,*,*,*,*,*,*,*,*,*,*,22.987186,24.329404,23.943238,22.008568,23.09632,21.806291,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,15,*,*,*,*,*,*,*,*,*,*,*,*,25.405893,26.58349,26.489303,24.267513,25.076332,23.658772,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,17,*,*,*,*,*,*,*,*,*,*,*,*,26.870133,27.941047,28.141687,25.710877,26.278407,24.768007,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,19,*,*,*,*,*,*,*,*,*,*,*,*,27.427951,28.522879,28.901287,26.45354,26.867132,25.332981,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,21,*,*,*,*,*,*,*,*,*,*,*,*,27.695626,28.799596,29.28533,26.897963,27.265399,25.782068,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,23,*,*,*,*,*,*,*,*,*,*,*,*,27.957621,29.062066,29.640188,27.35898,27.689583,26.360137,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
3,25,*,*,*,*,*,*,*,*,*,*,*,*,28.276493,29.362741,29.979444,27.888508,28.127842,27.104316,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,3,0.13751,0.00101,0.1364,0.001,*,*,*,*,*,*,*,*,-0.895075,-1.422817,-2.039074,-0.469256,-1.657382,-0.262804,-0.776207,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,5,6.58589,0.00055,6.58681,8E-05,*,*,*,*,*,*,*,*,5.411343,5.067102,4.626667,5.48325,4.794168,6.036002,5.592014,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,7,14.09414,0.00651,14.09674,0.00134,*,*,*,*,*,*,*,*,10.958196,10.960199,10.518756,10.998307,10.75601,12.036568,11.669487,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,9,16.87311,0.07467,17.28436,0.02353,*,*,*,*,*,*,*,*,15.38381,15.643517,15.286976,15.304512,15.349979,16.36571,16.08799,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,11,*,*,20.00228,0.16761,*,*,*,*,*,*,*,*,19.031903,19.493324,19.148321,18.819819,19.061444,20.234083,19.488892,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,13,*,*,*,*,*,*,*,*,*,*,*,*,22.242376,22.928759,22.582089,21.916227,22.255556,23.157399,22.609257,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,15,*,*,*,*,*,*,*,*,*,*,*,*,25.025598,25.881318,25.634888,24.664698,24.954895,25.173482,25.386106,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,17,*,*,*,*,*,*,*,*,*,*,*,*,26.966442,28.054495,27.949608,26.731345,26.832949,26.986131,27.227181,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,19,*,*,*,*,*,*,*,*,*,*,*,*,28.119898,29.413988,29.480867,28.0053,27.959861,27.975091,28.184609,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,21,*,*,*,*,*,*,*,*,*,*,*,*,28.887584,30.26214,30.462048,28.78334,28.686803,28.58791,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,23,*,*,*,*,*,*,*,*,*,*,*,*,29.418198,30.77591,30.976976,29.231545,29.125874,28.999469,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,25,*,*,*,*,*,*,*,*,*,*,*,*,29.993642,31.227107,31.363679,29.611308,29.516611,29.413379,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,27,*,*,*,*,*,*,*,*,*,*,*,*,30.895931,31.927307,32.014669,30.288056,30.189339,30.040711,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,29,*,*,*,*,*,*,*,*,*,*,*,*,32.109217,32.853428,32.9403,31.190036,31.089432,30.774475,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,31,*,*,*,*,*,*,*,*,*,*,*,*,33.373969,33.725938,33.864429,32.038877,31.903625,31.441096,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
5,33,*,*,*,*,*,*,*,*,*,*,*,*,34.387412,34.424224,34.665392,32.754433,32.560681,32.028856,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
