Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
2,4,0.97244,0.00076,0.97545,5E-05,*,*,*,*,*,*,*,*,7.168914,6.175707,5.43824,3.987916,5.298802,4.53857,4.504942,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,6,2.1397,0.00691,2.12505,0.0001,*,*,*,*,*,*,*,*,2.540308,0.97832,0.402399,1.442764,0.772771,1.365737,1.220525,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,8,*,*,*,*,*,*,*,*,*,*,*,*,-2.102566,-3.239243,-3.5705,-1.599349,-2.073222,-1.320502,-1.863978,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,10,*,*,*,*,*,*,*,*,*,*,*,*,-4.935763,-6.138534,-7.020108,-5.264757,-5.221013,-4.165611,-4.754517,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,12,*,*,*,*,*,*,*,*,*,*,*,*,-5.261139,-7.213507,-8.051487,-6.849926,-6.481195,-6.448865,-6.892747,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,14,*,*,*,*,*,*,*,*,*,*,*,*,-5.167079,-7.28062,-8.363203,-6.693687,-6.10919,-5.990573,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,16,*,*,*,*,*,*,*,*,*,*,*,*,-5.566208,-7.307499,-8.335196,-6.44048,-5.709789,-5.633526,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,18,*,*,*,*,*,*,*,*,*,*,*,*,-5.877151,-7.134207,-8.153501,-6.2019,-5.321152,-5.337646,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,20,*,*,*,*,*,*,*,*,*,*,*,*,-5.862445,-6.906798,-7.894181,-6.004909,-5.201682,-5.209019,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,22,*,*,*,*,*,*,*,*,*,*,*,*,-5.475503,-6.60486,-7.761987,-5.815174,-5.287227,-5.042696,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,24,*,*,*,*,*,*,*,*,*,*,*,*,-5.499006,-6.599306,-7.638874,-5.989387,-5.612801,-5.425341,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
2,26,*,*,*,*,*,*,*,*,*,*,*,*,-6.403333,-7.638632,-8.420487,-7.068817,-6.575977,-6.87515,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,4,29.57591,0.00545,29.576,0.00545,*,*,*,*,*,*,*,*,21.718058,22.598407,22.003544,20.863552,23.464089,22.44397,22.41469,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,6,8.47764,0.0004,8.47682,9E-05,*,*,*,*,*,*,*,*,15.295801,14.219324,14.519667,14.519215,14.223402,15.098209,15.162113,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,8,3.6728,0.015,3.67236,0.00191,*,*,*,*,*,*,*,*,5.977038,5.794539,6.157269,6.977888,5.306878,6.376236,6.15174,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,10,1.26464,0.13309,1.2659,0.13226,*,*,*,*,*,*,*,*,0.574371,-0.322965,-1.625082,-1.273506,-0.910027,-1.362232,-1.655638,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,12,*,*,*,*,*,*,*,*,*,*,*,*,0.069108,-1.963692,-2.842595,-1.682457,-1.737343,-1.88683,-2.155615,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,14,*,*,*,*,*,*,*,*,*,*,*,*,0.039936,-2.194511,-2.771288,-1.668632,-1.807091,-1.85248,-1.939195,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,16,*,*,*,*,*,*,*,*,*,*,*,*,-1.530705,-3.918487,-4.251389,-2.960105,-2.838536,-2.895896,-3.230298,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,18,*,*,*,*,*,*,*,*,*,*,*,*,-4.861031,-5.811371,-6.470155,-4.702243,-4.072816,-4.475046,-5.206896,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,20,*,*,*,*,*,*,*,*,*,*,*,*,-5.383166,-6.511683,-7.295125,-5.219581,-4.627869,-4.528577,-5.220214,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,22,*,*,*,*,*,*,*,*,*,*,*,*,-4.971206,-6.174586,-7.136567,-5.054967,-4.526551,-4.0107,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,24,*,*,*,*,*,*,*,*,*,*,*,*,-5.006461,-6.117143,-7.010636,-4.981138,-4.768602,-4.033919,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,26,*,*,*,*,*,*,*,*,*,*,*,*,-5.600082,-6.848339,-7.758231,-5.931678,-5.582975,-5.150135,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,28,*,*,*,*,*,*,*,*,*,*,*,*,-6.532542,-8.320443,-9.199771,-7.911702,-7.581694,-7.476156,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,30,*,*,*,*,*,*,*,*,*,*,*,*,-6.755851,-8.679791,-9.713734,-8.034596,-7.549169,-7.284077,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,32,*,*,*,*,*,*,*,*,*,*,*,*,-6.604494,-8.397395,-9.387134,-7.706081,-7.165558,-6.939388,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,34,*,*,*,*,*,*,*,*,*,*,*,*,-6.434218,-8.209314,-9.221309,-7.414568,-6.888176,-6.648524,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,4,35.53801,0.02307,35.50823,0.01824,*,*,*,*,*,*,*,*,34.145964,35.594818,35.82652,33.380666,36.22666,35.320643,35.522096,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,6,31.84132,0.0004,31.84131,7E-05,*,*,*,*,*,*,*,*,27.405079,26.705332,27.043863,27.179789,27.584604,29.038014,29.141916,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,8,13.12274,0,13.12274,0,*,*,*,*,*,*,*,*,15.429157,16.194465,16.677597,16.575297,15.172257,16.6953,16.723828,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,10,5.4684,0.00358,5.46839,0.00358,*,*,*,*,*,*,*,*,8.22524,7.484937,6.480224,6.214709,6.961286,5.427899,5.196538,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,12,4.91058,0.03022,4.9175,0.03021,*,*,*,*,*,*,*,*,6.481444,5.096776,4.081804,4.699483,4.707417,4.034526,4.160286,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,14,3.5112,0.24104,3.55834,0.23257,*,*,*,*,*,*,*,*,5.862271,3.854029,3.40364,3.95867,3.782776,3.452986,3.643805,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,16,*,*,0.035,0.02,*,*,*,*,*,*,*,*,3.373341,1.393901,1.255638,2.000231,1.94645,1.855276,1.845152,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,18,*,*,*,*,*,*,*,*,*,*,*,*,-2.291792,-2.580687,-2.897517,-1.797429,-1.717957,-2.499606,-3.448801,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,20,*,*,*,*,*,*,*,*,*,*,*,*,-3.571883,-4.422568,-4.983231,-3.394676,-2.866624,-3.107407,-3.769255,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,22,*,*,*,*,*,*,*,*,*,*,*,*,-3.865317,-5.000871,-5.961559,-4.007498,-3.665245,-3.135653,-3.661896,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,24,*,*,*,*,*,*,*,*,*,*,*,*,-4.154608,-5.520478,-6.525206,-4.473287,-4.120331,-3.372275,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,26,*,*,*,*,*,*,*,*,*,*,*,*,-4.312173,-5.942773,-6.869654,-5.058253,-4.80451,-4.24817,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,28,*,*,*,*,*,*,*,*,*,*,*,*,-4.352062,-6.380855,-7.402097,-5.94629,-5.677324,-5.876899,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,30,*,*,*,*,*,*,*,*,*,*,*,*,-4.226873,-6.849457,-7.714562,-6.314664,-5.894151,-5.972181,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,32,*,*,*,*,*,*,*,*,*,*,*,*,-4.24469,-6.955946,-7.798308,-6.228358,-5.773251,-5.71516,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,34,*,*,*,*,*,*,*,*,*,*,*,*,-4.922314,-7.076397,-7.824541,-6.238095,-5.853838,-5.684523,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.792931,-7.16324,-7.969502,-6.374038,-5.943845,-5.600012,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,4,*,*,*,*,*,*,*,*,*,*,*,*,41.371293,43.702197,44.691761,41.0194,42.951865,42.02807,42.589568,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,6,40.18323,0.01847,40.04947,0.024,*,*,*,*,*,*,*,*,36.504946,36.668763,37.242439,36.382403,37.147539,38.877804,39.218684,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,8,28.88699,0.00011,28.88742,3E-05,*,*,*,*,*,*,*,*,24.950001,25.933971,26.509316,26.284223,24.813997,27.725897,27.757788,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,10,12.18715,0.00062,12.18845,0,*,*,*,*,*,*,*,*,15.889822,15.579854,14.894964,14.595311,15.331848,14.417721,14.308825,13.81,12.47
,,,,,,,,,,,,,,,,,,,,,,
8,12,11.56365,0.00088,11.56365,0.00088,*,*,*,*,*,*,*,*,13.714356,12.364289,11.754238,11.782787,12.08073,11.497062,11.868878,11.14,13.83
,,,,,,,,,,,,,,,,,,,,,,
8,14,10.65594,0.05693,10.65577,0.05693,*,*,*,*,*,*,*,*,12.025834,10.429765,9.994679,10.10954,10.071636,9.59912,10.28141,8.41,10
,,,,,,,,,,,,,,,,,,,,,,
8,16,6.35639,0.243,6.92527,0.17442,*,*,*,*,*,*,*,*,8.422132,7.141333,6.820408,7.074606,7.003687,6.779263,6.757769,4.59,6.4
,,,,,,,,,,,,,,,,,,,,,,
8,18,*,*,*,*,*,*,*,*,*,*,*,*,2.07616,2.307809,1.994708,2.546163,2.236906,1.450361,0.441707,1.43,0.43
,,,,,,,,,,,,,,,,,,,,,,
8,20,*,*,*,*,*,*,*,*,*,*,*,*,0.379705,-0.627048,-0.666744,0.045747,0.287884,-0.340261,-0.882961,-0.59,0.29
,,,,,,,,,,,,,,,,,,,,,,
8,22,*,*,*,*,*,*,*,*,*,*,*,*,-1.2229,-2.708894,-3.991631,-2.627905,-2.260035,-2.043336,-2.461279,-1.7,-3.37
,,,,,,,,,,,,,,,,,,,,,,
8,24,*,*,*,*,*,*,*,*,*,*,*,*,-1.781628,-3.506511,-4.80033,-3.25102,-2.900734,-2.708208,-3.238186,-2.71,-1.75
,,,,,,,,,,,,,,,,,,,,,,
8,26,*,*,*,*,*,*,*,*,*,*,*,*,-1.701829,-3.56752,-4.760963,-3.266034,-2.967634,-2.990991,-3.495074,-6.97,-2.26
,,,,,,,,,,,,,,,,,,,,,,
8,28,*,*,*,*,*,*,*,*,*,*,*,*,-1.51945,-3.722313,-4.584471,-3.270512,-2.859791,-3.14235,*,-2.62,*
,,,,,,,,,,,,,,,,,,,,,,
8,30,*,*,*,*,*,*,*,*,*,*,*,*,-1.443039,-3.869731,-4.540871,-3.163819,-2.920552,-3.212562,*,-9.21,*
,,,,,,,,,,,,,,,,,,,,,,
8,32,*,*,*,*,*,*,*,*,*,*,*,*,-1.476704,-4.21149,-4.54809,-3.268093,-3.015743,-3.241791,*,-5.4,*
,,,,,,,,,,,,,,,,,,,,,,
8,34,*,*,*,*,*,*,*,*,*,*,*,*,-3.066212,-5.217998,-5.556737,-4.261594,-3.942165,-3.926639,*,-9.81,*
,,,,,,,,,,,,,,,,,,,,,,
8,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.499464,-6.282739,-6.978138,-5.554535,-5.25419,-4.936279,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,38,*,*,*,*,*,*,*,*,*,*,*,*,-6.138767,-6.929019,-7.985611,-6.239367,-5.665838,-5.341477,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,40,*,*,*,*,*,*,*,*,*,*,*,*,-5.884869,-7.023506,-8.061105,-6.116519,-5.383339,-5.158808,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,4,*,*,*,*,*,*,*,*,*,*,*,*,45.409825,47.588315,48.394996,43.864306,46.247414,44.248891,45.075225,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,6,*,*,*,*,*,*,*,*,*,*,*,*,43.544543,44.022417,44.664581,42.632595,44.230324,44.397421,44.919294,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,8,34.82193,0.02048,34.8118,0.02048,*,*,*,*,*,*,*,*,32.51999,33.873285,34.825646,34.330922,33.182906,36.345934,36.472054,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,10,28.50173,0.00028,28.50218,0.00036,*,*,*,*,*,*,*,*,22.138628,22.380472,22.14354,22.57588,22.742422,23.599165,23.509265,26.44,32.6
,,,,,,,,,,,,,,,,,,,,,,
10,12,17.12542,2E-05,17.12542,2E-05,*,*,*,*,*,*,*,*,20.465133,18.784961,19.471261,19.286935,19.080734,19.386299,19.455087,17.16,15.3
,,,,,,,,,,,,,,,,,,,,,,
10,14,14.06944,0.00039,14.06956,0.00051,*,*,*,*,*,*,*,*,16.845146,16.399881,15.207127,15.186183,16.368745,14.545018,14.998527,14.64,14.66
,,,,,,,,,,,,,,,,,,,,,,
10,16,9.7615,0.02678,9.70988,0.01844,*,*,*,*,*,*,*,*,13.033759,12.45417,12.115023,12.074479,11.876787,11.45636,11.505763,9.64,9.46
,,,,,,,,,,,,,,,,,,,,,,
10,18,5.32764,0.1491,5.32401,0.12741,*,*,*,*,*,*,*,*,6.339753,6.954125,6.86509,7.082417,6.277665,5.981225,5.149407,6.3,5.17
,,,,,,,,,,,,,,,,,,,,,,
10,20,4.28521,0.58928,4.16225,0.28289,*,*,*,*,*,*,*,*,4.376636,3.852991,4.069261,4.385873,4.106585,3.649373,3.616435,3.89,4.89
,,,,,,,,,,,,,,,,,,,,,,
10,22,*,*,*,*,*,*,*,*,*,*,*,*,3.562575,0.99121,-0.098617,0.890714,0.869153,0.727002,0.697603,2.83,0.51
,,,,,,,,,,,,,,,,,,,,,,
10,24,*,*,*,*,*,*,*,*,*,*,*,*,2.961041,1.426942,0.935194,1.343356,1.250896,0.807711,0.777016,0.54,0.12
,,,,,,,,,,,,,,,,,,,,,,
10,26,*,*,*,*,*,*,*,*,*,*,*,*,1.397825,-0.452635,-1.16945,-0.354632,-0.223961,-0.723565,-0.844125,-1.84,-1.21
,,,,,,,,,,,,,,,,,,,,,,
10,28,*,*,*,*,*,*,*,*,*,*,*,*,0.27053,-1.598686,-2.541709,-1.404133,-1.170041,-1.350126,-1.521567,-0.21,-1.07
,,,,,,,,,,,,,,,,,,,,,,
10,30,*,*,*,*,*,*,*,*,*,*,*,*,-0.197704,-2.134588,-3.164932,-1.775002,-1.442729,-1.442114,-1.703146,-5.82,-2.16
,,,,,,,,,,,,,,,,,,,,,,
10,32,*,*,*,*,*,*,*,*,*,*,*,*,0.027328,-1.932818,-2.688904,-1.289986,-0.927033,-1.452809,-1.28233,-4.39,-1.44
,,,,,,,,,,,,,,,,,,,,,,
10,34,*,*,*,*,*,*,*,*,*,*,*,*,-1.552099,-3.396656,-3.787334,-2.171693,-1.834495,-1.781322,-2.182473,-6.99,*
,,,,,,,,,,,,,,,,,,,,,,
10,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.104702,-5.535951,-6.471975,-4.997627,-4.599336,-4.599186,-5.138038,-3.63,*
,,,,,,,,,,,,,,,,,,,,,,
10,38,*,*,*,*,*,*,*,*,*,*,*,*,-5.614592,-6.598578,-7.366221,-5.739727,-4.970457,-5.021941,-5.529244,-9.13,*
,,,,,,,,,,,,,,,,,,,,,,
10,40,*,*,*,*,*,*,*,*,*,*,*,*,-4.566578,-6.54924,-7.436849,-5.521222,-4.745132,-4.78967,*,-8.02,*
,,,,,,,,,,,,,,,,,,,,,,
10,42,*,*,*,*,*,*,*,*,*,*,*,*,-4.687298,-6.444932,-7.340992,-5.342452,-4.591571,-4.406847,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,44,*,*,*,*,*,*,*,*,*,*,*,*,-4.935317,-6.32731,-7.153999,-5.15137,-4.42776,-4.449386,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,46,*,*,*,*,*,*,*,*,*,*,*,*,-5.149121,-6.293396,-7.146224,-5.131426,-4.330234,-4.43426,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,48,*,*,*,*,*,*,*,*,*,*,*,*,-5.269941,-6.28525,-7.120782,-5.124807,-4.474075,-4.30155,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,50,*,*,*,*,*,*,*,*,*,*,*,*,-5.290168,-6.326529,-7.226403,-5.190095,-4.665918,-4.371132,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,52,*,*,*,*,*,*,*,*,*,*,*,*,-5.318438,-6.866136,-7.800544,-5.925132,-5.378582,-5.071684,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,4,*,*,*,*,*,*,*,*,*,*,*,*,49.376357,51.456244,52.505864,47.895908,49.720259,47.675447,48.511425,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,6,*,*,*,*,*,*,*,*,*,*,*,*,49.110393,49.857734,50.31845,47.83083,49.650965,49.195331,49.966586,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,8,*,*,*,*,*,*,*,*,*,*,*,*,39.493961,41.0409,42.132228,41.088069,40.112881,43.188399,43.734572,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,10,34.10995,0.02703,34.02026,0.00189,*,*,*,*,*,*,*,*,29.03841,28.612711,29.913353,30.046289,29.573204,31.23707,30.934065,32.66,33.1
,,,,,,,,,,,,,,,,,,,,,,
12,12,29.67924,0.00134,29.67627,0.00031,*,*,*,*,*,*,*,*,26.426134,25.822634,26.207551,25.847956,26.032585,26.727103,26.581766,28.24,30.23
,,,,,,,,,,,,,,,,,,,,,,
12,14,18.42365,3E-05,18.42361,3E-05,*,*,*,*,*,*,*,*,21.584977,21.462352,20.472718,20.690796,22.400436,20.653817,21.04974,19.31,17.74
,,,,,,,,,,,,,,,,,,,,,,
12,16,14.94669,0.002,14.94694,0.002,*,*,*,*,*,*,*,*,17.502946,17.653414,17.057432,16.918475,16.94886,16.180733,16.222348,14.01,15.98
,,,,,,,,,,,,,,,,,,,,,,
12,18,10.03467,0.00862,10.00761,0.00399,*,*,*,*,*,*,*,*,10.766089,11.805886,11.875912,11.937675,10.876988,11.111629,10.514409,11.47,9.8
,,,,,,,,,,,,,,,,,,,,,,
12,20,8.18674,0.01958,8.08771,0.00474,*,*,*,*,*,*,*,*,8.622089,8.490023,8.798426,8.834171,8.391926,8.170291,8.47591,8.61,7.46
,,,,,,,,,,,,,,,,,,,,,,
12,22,6.37925,0.23207,6.99039,0.02906,*,*,*,*,*,*,*,*,8.018569,5.381908,4.235897,5.072278,4.905196,4.616307,4.413817,6.15,6.16
,,,,,,,,,,,,,,,,,,,,,,
12,24,*,*,4.08582,0.69084,*,*,*,*,*,*,*,*,6.659814,5.286719,5.310164,5.24993,4.94859,4.542964,4.694774,4.69,4.12
,,,,,,,,,,,,,,,,,,,,,,
12,26,*,*,*,*,*,*,*,*,*,*,*,*,4.84975,3.170902,2.624799,3.130104,3.077609,2.539839,2.529481,2.67,2.58
,,,,,,,,,,,,,,,,,,,,,,
12,28,*,*,*,*,*,*,*,*,*,*,*,*,3.043169,1.34211,0.625676,1.283205,1.388231,0.942224,0.872935,2.83,0.77
,,,,,,,,,,,,,,,,,,,,,,
12,30,*,*,*,*,*,*,*,*,*,*,*,*,2.002856,0.571595,-0.690652,0.739781,1.13156,0.352798,0.626447,-2.23,0.42
,,,,,,,,,,,,,,,,,,,,,,
12,32,*,*,*,*,*,*,*,*,*,*,*,*,1.826022,0.229021,-0.822193,0.444313,0.826267,0.291645,0.690612,-2.72,-0.74
,,,,,,,,,,,,,,,,,,,,,,
12,34,*,*,*,*,*,*,*,*,*,*,*,*,-0.070281,-1.473118,-2.102861,-0.440822,0.051559,0.020718,-0.816543,-3.28,-0.72
,,,,,,,,,,,,,,,,,,,,,,
12,36,*,*,*,*,*,*,*,*,*,*,*,*,-3.966138,-4.417025,-5.226313,-3.875461,-3.369297,-4.025903,-4.72171,-4.43,*
,,,,,,,,,,,,,,,,,,,,,,
12,38,*,*,*,*,*,*,*,*,*,*,*,*,-3.562855,-5.453701,-5.95747,-4.50544,-3.83238,-4.122468,-5.104861,-5.18,*
,,,,,,,,,,,,,,,,,,,,,,
12,40,*,*,*,*,*,*,*,*,*,*,*,*,-2.891145,-5.124526,-5.922704,-4.475299,-3.797853,-3.492957,*,-5.3,*
,,,,,,,,,,,,,,,,,,,,,,
12,42,*,*,*,*,*,*,*,*,*,*,*,*,-6.333862,-4.797159,-5.887965,-4.420785,-3.913146,-3.667484,*,-7.86,*
,,,,,,,,,,,,,,,,,,,,,,
12,44,*,*,*,*,*,*,*,*,*,*,*,*,-0.552374,-5.381779,-5.715317,-4.296293,-3.98726,-3.918889,*,-5.33,*
,,,,,,,,,,,,,,,,,,,,,,
