Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
4,2,*,*,*,*,*,*,*,*,*,*,*,*,4.394452,3.488855,2.756413,1.410638,3.254171,2.273563,2.263347,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,4,27.23137,0.00076,27.22837,6E-05,*,*,*,*,*,*,*,*,18.943596,19.911555,19.321716,18.286275,21.419458,20.178963,20.173095,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,6,33.56931,0.00688,33.58013,0.00012,*,*,*,*,*,*,*,*,31.699089,33.152559,33.438984,31.362726,34.870089,33.911434,34.114683,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,8,38.31064,0.07159,38.69732,0.09287,*,*,*,*,*,*,*,*,39.778692,42.18634,43.166752,39.939963,42.250188,41.608171,42.1304,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,10,*,*,*,*,*,*,*,*,*,*,*,*,45.288825,48.001909,48.561778,43.931213,46.561174,44.41155,45.229279,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,12,*,*,*,*,*,*,*,*,*,*,*,*,50.619071,53.251724,53.77067,49.098682,51.305026,48.973585,49.966412,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,14,*,*,*,*,*,*,*,*,*,*,*,*,55.826085,58.337832,59.362586,54.123737,55.607126,53.111678,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,16,*,*,*,*,*,*,*,*,*,*,*,*,59.861589,61.726845,63.446394,57.604113,58.478379,55.849307,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,18,*,*,*,*,*,*,*,*,*,*,*,*,60.877709,63.049681,65.129739,59.103769,59.726715,56.711908,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,20,*,*,*,*,*,*,*,*,*,*,*,*,61.356988,63.444798,65.728794,59.889097,60.300528,57.39235,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,22,*,*,*,*,*,*,*,*,*,*,*,*,61.861285,63.875072,66.354214,60.649305,61.061203,58.424345,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,24,*,*,*,*,*,*,*,*,*,*,*,*,62.35383,64.357235,66.982452,61.657554,61.905402,59.815766,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,26,*,*,*,*,*,*,*,*,*,*,*,*,63.157081,65.147527,67.644707,62.794692,62.898404,61.540781,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,2,*,*,*,*,*,*,*,*,*,*,*,*,-1.610878,-3.206073,-3.723799,-2.302258,-3.322239,-2.22631,-2.511186,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,4,3.82093,0.0004,3.82094,8E-05,*,*,*,*,*,*,*,*,10.817029,9.790339,10.099179,10.214857,9.440334,10.650364,10.596221,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,6,27.18461,0.0004,27.18543,8E-05,*,*,*,*,*,*,*,*,22.926307,22.276348,22.623375,22.87543,22.801536,24.590169,24.576025,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,8,36.63455,0.01501,36.63581,0.00191,*,*,*,*,*,*,*,*,32.378426,32.676274,33.143703,32.472839,32.666915,34.909234,35.148113,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,10,40.83831,0.13229,40.83831,0.13229,*,*,*,*,*,*,*,*,40.029295,40.484175,41.249008,39.961053,40.538226,41.699363,42.000288,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,12,*,*,47.10581,0.16849,*,*,*,*,*,*,*,*,46.441631,47.544642,48.173406,46.342992,46.982985,47.620718,48.316188,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,14,*,*,*,*,*,*,*,*,*,*,*,*,52.263965,53.593182,54.348332,51.970293,52.572851,52.926184,53.899187,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,16,*,*,*,*,*,*,*,*,*,*,*,*,57.168009,58.905568,59.855358,56.930628,57.357836,57.677355,58.974635,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,18,*,*,*,*,*,*,*,*,*,*,*,*,59.737249,62.136252,63.427997,59.835442,59.712695,59.652794,60.73273,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,20,*,*,*,*,*,*,*,*,*,*,*,*,61.548531,64.225367,65.739892,61.660346,61.47394,61.073963,62.18369,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,22,*,*,*,*,*,*,*,*,*,*,*,*,62.654421,65.399081,66.914898,62.707815,62.335246,61.949011,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,24,*,*,*,*,*,*,*,*,*,*,*,*,63.506274,65.995746,67.400328,63.215666,62.983517,62.610655,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,26,*,*,*,*,*,*,*,*,*,*,*,*,64.794183,66.901312,68.288905,64.08909,63.761982,63.51262,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,28,*,*,*,*,*,*,*,*,*,*,*,*,66.974662,68.840901,70.08658,66.054503,65.666351,65.111877,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,30,*,*,*,*,*,*,*,*,*,*,*,*,69.50364,70.671234,72.085752,67.774435,67.32137,66.423774,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,32,*,*,*,*,*,*,*,*,*,*,*,*,71.863445,72.112682,73.674577,69.252158,68.713677,67.648002,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,34,*,*,*,*,*,*,*,*,*,*,*,*,73.375349,73.2456,75.071345,70.428631,69.748014,68.612003,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,2,*,*,*,*,*,*,*,*,*,*,*,*,-6.772816,-7.666438,-8.346789,-6.062557,-6.859194,-5.675775,-6.262832,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,4,*,*,*,*,*,*,*,*,*,*,*,*,0.452513,0.440942,0.518453,1.576178,-0.133989,1.031653,0.80464,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,6,6.57059,0.00011,6.57016,3E-05,*,*,*,*,*,*,*,*,9.55238,10.404373,10.717029,10.778793,9.428947,10.871443,10.881408,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,8,22.33484,0,22.33484,0,*,*,*,*,*,*,*,*,19.073224,20.143879,20.548748,20.487719,19.070687,21.90204,21.915368,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,10,29.05359,0.00363,29.05489,0.00358,*,*,*,*,*,*,*,*,26.737806,28.238796,28.963488,28.868321,27.441249,30.891861,31.027654,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,12,35.70666,0.03001,35.70103,0.03001,*,*,*,*,*,*,*,*,33.970717,35.506309,36.635922,35.951625,34.814562,38.354397,38.736247,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,14,42.8514,0.24584,42.79847,0.23755,*,*,*,*,*,*,*,*,40.13428,42.082044,43.226961,42.102495,41.103423,44.50053,45.373852,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,16,*,*,49.68874,0.2842,*,*,*,*,*,*,*,*,45.183071,47.829476,48.791731,47.17687,46.160659,49.424518,50.28647,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,18,*,*,*,*,*,*,*,*,*,*,*,*,49.551022,52.717972,53.683955,51.520461,50.115522,53.374484,54.176977,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,20,*,*,*,*,*,*,*,*,*,*,*,*,53.502609,56.513492,58.000441,54.960883,53.270028,56.141631,57.063271,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,22,*,*,*,*,*,*,*,*,*,*,*,*,56.145026,58.805469,59.97037,56.340475,54.675238,57.233948,58.263888,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,24,*,*,*,*,*,*,*,*,*,*,*,*,58.518006,60.819436,61.695246,57.562743,55.894836,57.898015,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,26,*,*,*,*,*,*,*,*,*,*,*,*,61.12835,63.194689,63.803938,59.354962,57.731712,59.155194,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,28,*,*,*,*,*,*,*,*,*,*,*,*,63.960962,65.853231,66.621564,62.030739,60.549245,61.889742,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,30,*,*,*,*,*,*,*,*,*,*,*,*,66.744796,68.832957,69.795254,65.181584,63.522845,64.649361,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,32,*,*,*,*,*,*,*,*,*,*,*,*,69.512783,71.577413,73.045473,68.141848,66.280352,67.122731,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,34,*,*,*,*,*,*,*,*,*,*,*,*,71.368884,73.435812,75.313277,70.118349,68.192026,68.880615,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,36,*,*,*,*,*,*,*,*,*,*,*,*,71.662352,74.316312,76.304643,70.937852,68.881681,69.544348,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,2,*,*,*,*,*,*,*,*,*,*,*,*,-10.020561,-10.915336,-11.794411,-9.826964,-9.801843,-8.73153,-9.336374,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,4,*,*,*,*,*,*,*,*,*,*,*,*,-5.98203,-7.029218,-8.091177,-6.982058,-6.506296,-6.510709,-6.850716,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,6,*,*,*,*,*,*,*,*,*,*,*,*,1.057568,0.324437,-0.669035,-0.731866,0.57649,-0.991093,-1.150106,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,8,4.52377,0.00028,4.52333,0.00036,*,*,*,*,*,*,*,*,8.627557,8.263751,7.647296,7.314833,8.945399,7.628945,7.564161,6.34,3.49
,,,,,,,,,,,,,,,,,,,,,,
10,10,20.83835,0.00062,20.83706,0,*,*,*,*,*,*,*,*,14.876363,15.064369,14.895871,15.295402,16.355973,16.810388,16.764601,18.97,23.62
,,,,,,,,,,,,,,,,,,,,,,
10,12,26.40012,0.00108,26.39883,0.00089,*,*,*,*,*,*,*,*,21.62714,21.48504,22.612895,22.79955,23.355976,24.699625,24.35081,24.99,25.09
,,,,,,,,,,,,,,,,,,,,,,
10,14,29.81361,0.05693,29.81262,0.05692,*,*,*,*,*,*,*,*,26.446453,27.455157,27.825343,27.876194,29.653086,29.645523,29.067927,31.22,29.75
,,,,,,,,,,,,,,,,,,,,,,
10,16,33.21873,0.23775,32.59723,0.1659,*,*,*,*,*,*,*,*,31.05808,32.767994,33.119957,32.876067,34.526185,34.322621,33.815921,36.27,32.81
,,,,,,,,,,,,,,,,,,,,,,
10,18,*,*,37.93924,0.20761,*,*,*,*,*,*,*,*,35.321673,37.41431,37.99034,37.412321,38.566945,38.853485,38.523621,41.14,37.55
,,,,,,,,,,,,,,,,,,,,,,
10,20,*,*,*,*,*,*,*,*,*,*,*,*,39.318604,41.894347,42.726344,41.752447,42.385646,42.843118,43.023017,45.62,42.15
,,,,,,,,,,,,,,,,,,,,,,
10,22,*,*,*,*,*,*,*,*,*,*,*,*,44.104078,45.59445,46.619358,45.271065,45.514833,45.613454,46.181898,50.15,46.03
,,,,,,,,,,,,,,,,,,,,,,
10,24,*,*,*,*,*,*,*,*,*,*,*,*,48.846746,50.527903,52.354881,49.865441,49.666461,49.129372,50.197099,53.4,47.9
,,,,,,,,,,,,,,,,,,,,,,
10,26,*,*,*,*,*,*,*,*,*,*,*,*,51.946399,53.642787,55.946394,52.776843,52.410134,51.396798,52.848048,58.53,48.95
,,,,,,,,,,,,,,,,,,,,,,
10,28,*,*,*,*,*,*,*,*,*,*,*,*,53.736378,55.766414,57.989155,54.643223,54.099885,53.189022,*,60.94,*
,,,,,,,,,,,,,,,,,,,,,,
10,30,*,*,*,*,*,*,*,*,*,*,*,*,54.981713,57.501557,59.365094,56.03204,55.577708,54.959471,*,64.33,*
,,,,,,,,,,,,,,,,,,,,,,
10,32,*,*,*,*,*,*,*,*,*,*,*,*,56.485744,59.780229,61.224279,58.010147,57.666417,56.748453,*,65.34,*
,,,,,,,,,,,,,,,,,,,,,,
10,34,*,*,*,*,*,*,*,*,*,*,*,*,57.999857,61.601572,62.993682,60.100048,59.774088,58.89377,*,68.16,*
,,,,,,,,,,,,,,,,,,,,,,
10,36,*,*,*,*,*,*,*,*,*,*,*,*,58.39462,62.34836,63.499844,60.656956,60.428942,59.230863,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,38,*,*,*,*,*,*,*,*,*,*,*,*,58.918794,62.678801,64.119234,61.156596,61.124323,59.550399,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,40,*,*,*,*,*,*,*,*,*,*,*,*,60.237085,63.153068,64.74349,61.751892,61.76253,59.919538,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,2,*,*,*,*,*,*,*,*,*,*,*,*,-11.475077,-12.921203,-13.884067,-12.630003,-11.948364,-11.830374,-12.288877,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,4,*,*,*,*,*,*,*,*,*,*,*,*,-7.508543,-9.053273,-9.773198,-8.5984,-8.475519,-8.403818,-8.852677,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,6,*,*,*,*,*,*,*,*,*,*,*,*,-1.942693,-3.217957,-4.119328,-3.400166,-3.054879,-3.605908,-3.805386,*,*
,,,,,,,,,,,,,,,,,,,,,,
12,8,2.32476,0.027,2.41786,0.0019,*,*,*,*,*,*,*,*,5.031279,3.949659,3.187255,3.356982,3.875098,3.236559,3.457133,2.11,4.11
,,,,,,,,,,,,,,,,,,,,,,
12,10,7.93297,0.00134,7.93594,0.00031,*,*,*,*,*,*,*,*,11.931061,10.181899,10.957068,10.827391,10.70588,10.874464,10.881933,8.33,4.61
,,,,,,,,,,,,,,,,,,,,,,
12,12,20.48679,2E-05,20.48679,2E-05,*,*,*,*,*,*,*,*,17.892063,17.219572,17.693358,17.388412,17.657731,18.215268,18.008612,19.41,19.54
,,,,,,,,,,,,,,,,,,,,,,
12,14,24.841,0.00039,24.84084,0.00051,*,*,*,*,*,*,*,*,22.631893,22.282043,22.958949,22.893024,23.689422,24.324067,24.059824,24.08,22.62
,,,,,,,,,,,,,,,,,,,,,,
12,16,30.02619,0.02685,30.0779,0.01854,*,*,*,*,*,*,*,*,27.10108,27.481287,27.901358,27.73702,28.761495,29.04844,28.77641,28.45,29.14
,,,,,,,,,,,,,,,,,,,,,,
12,18,34.73321,0.14692,34.7615,0.12611,*,*,*,*,*,*,*,*,31.527417,32.333048,32.91218,32.592277,33.360818,34.178844,34.141411,33.62,33.77
,,,,,,,,,,,,,,,,,,,,,,
12,20,38.63475,0.57101,38.68696,0.25327,*,*,*,*,*,*,*,*,35.77287,36.97008,37.641345,37.040575,37.646159,38.699761,39.000886,38.34,36.34
,,,,,,,,,,,,,,,,,,,,,,
12,22,*,*,*,*,*,*,*,*,*,*,*,*,40.228864,41.360778,41.975858,41.22214,41.682202,42.589067,42.7171,41.66,41.99
,,,,,,,,,,,,,,,,,,,,,,
12,24,*,*,*,*,*,*,*,*,*,*,*,*,43.927637,45.220554,46.350828,45.128713,45.379896,46.32432,46.634859,45.81,45.99
,,,,,,,,,,,,,,,,,,,,,,
12,26,*,*,*,*,*,*,*,*,*,*,*,*,47.379562,48.84409,50.145076,48.613448,48.681465,49.587722,50.008464,50.32,49.78
,,,,,,,,,,,,,,,,,,,,,,
12,28,*,*,*,*,*,*,*,*,*,*,*,*,50.152201,51.784885,53.31246,51.300784,51.239735,51.880071,52.402965,53.36,51.62
,,,,,,,,,,,,,,,,,,,,,,
12,30,*,*,*,*,*,*,*,*,*,*,*,*,52.35276,54.491067,55.786741,53.815566,53.814024,53.674982,54.732557,56.95,54.2
,,,,,,,,,,,,,,,,,,,,,,
12,32,*,*,*,*,*,*,*,*,*,*,*,*,54.151454,56.652906,57.653451,55.549864,55.567323,55.419434,56.705498,58.62,54.9
,,,,,,,,,,,,,,,,,,,,,,
12,34,*,*,*,*,*,*,*,*,*,*,*,*,55.633271,58.576443,59.337925,57.280735,57.453376,57.221473,58.071428,62.33,*
,,,,,,,,,,,,,,,,,,,,,,
12,36,*,*,*,*,*,*,*,*,*,*,*,*,56.771836,59.695369,60.583587,58.402901,58.683415,57.794756,58.487756,61.53,*
,,,,,,,,,,,,,,,,,,,,,,
12,38,*,*,*,*,*,*,*,*,*,*,*,*,58.823573,60.840246,61.992339,59.637189,59.821493,58.694228,58.912138,65.48,*
,,,,,,,,,,,,,,,,,,,,,,
12,40,*,*,*,*,*,*,*,*,*,*,*,*,60.499006,62.264959,63.506485,60.683112,60.768772,59.99094,*,68.2,*
,,,,,,,,,,,,,,,,,,,,,,
12,42,*,*,*,*,*,*,*,*,*,*,*,*,58.852441,63.912732,64.959511,61.604779,61.447197,60.730303,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
