Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
4,3,10.19414,0.05,10.04018,0.02,*,*,*,*,*,*,*,*,12.153214,12.136531,11.495663,9.53442,12.504557,10.941249,10.902377,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,5,29.33133,0.01666,29.30261,0.00756,*,*,*,*,*,*,*,*,25.520061,26.66584,26.490087,24.408523,27.975409,26.579085,26.648875,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,7,35.34331,0.0301,35.3366,0.04682,*,*,*,*,*,*,*,*,35.618496,37.486743,37.991975,35.125012,38.210351,36.545543,37.479435,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,9,*,*,*,*,*,*,*,*,*,*,*,*,42.287392,44.679525,45.392196,41.414522,44.035489,41.96222,43.179525,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,11,*,*,*,*,*,*,*,*,*,*,*,*,47.578823,50.013818,50.664343,45.985999,48.442184,46.319664,47.141729,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,13,*,*,*,*,*,*,*,*,*,*,*,*,52.786722,55.062341,55.949662,50.964046,52.896462,50.527469,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,15,*,*,*,*,*,*,*,*,*,*,*,*,57.354945,59.309311,60.73258,55.236507,56.55719,53.989601,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,17,*,*,*,*,*,*,*,*,*,*,*,*,60.06963,61.872652,63.847084,57.901996,58.771618,55.986344,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,19,*,*,*,*,*,*,*,*,*,*,*,*,61.061758,62.972274,65.282636,59.278487,59.848603,56.96951,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,21,*,*,*,*,*,*,*,*,*,*,*,*,61.543195,63.475682,65.981912,60.165578,60.57858,57.862342,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,23,*,*,*,*,*,*,*,*,*,*,*,*,62.036266,63.949847,66.625426,61.09375,61.387428,59.086817,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
4,25,*,*,*,*,*,*,*,*,*,*,*,*,62.639984,64.532278,67.256724,62.111437,62.244083,60.552292,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,3,1.43748,0.00214,1.43597,0.00214,*,*,*,*,*,*,*,*,4.953988,3.670938,3.508612,4.169101,3.344579,4.374275,4.261054,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,5,15.27525,0.00103,15.277,0.0001,*,*,*,*,*,*,*,*,17.177057,16.338992,16.58178,16.570083,16.257856,17.593394,17.609791,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,7,31.62699,0.00636,31.6301,0.00024,*,*,*,*,*,*,*,*,27.790489,27.594432,27.949006,27.54754,27.732131,29.537467,29.647402,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,9,37.95262,0.07159,38.36387,0.01021,*,*,*,*,*,*,*,*,36.22993,36.592467,37.122585,36.002121,36.518329,38.004555,38.251962,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,11,*,*,43.37186,0.1667,*,*,*,*,*,*,*,*,43.213397,43.953138,44.560747,42.859355,43.589605,45.534526,44.824494,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,13,*,*,*,*,*,*,*,*,*,*,*,*,49.352409,50.478608,51.131836,48.892983,49.643924,51.190664,50.848116,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,15,*,*,*,*,*,*,*,*,*,*,*,*,54.648387,56.114508,56.928403,54.173934,54.780142,54.993933,56.129227,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,17,*,*,*,*,*,*,*,*,*,*,*,*,58.302847,60.289739,61.344558,58.103101,58.347619,58.406279,59.577042,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,19,*,*,*,*,*,*,*,*,*,*,*,*,60.442246,62.897424,64.273872,60.53086,60.435233,60.246552,61.341378,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,21,*,*,*,*,*,*,*,*,*,*,*,*,61.867102,64.489044,66.128329,62.034123,61.75524,61.429779,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,23,*,*,*,*,*,*,*,*,*,*,*,*,62.846563,65.422003,67.077221,62.886895,62.559704,62.243276,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,25,*,*,*,*,*,*,*,*,*,*,*,*,63.922195,66.264435,67.783686,63.589367,63.300834,63.025818,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,27,*,*,*,*,*,*,*,*,*,*,*,*,65.639095,67.626906,69.026334,64.903219,64.593898,64.212741,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,29,*,*,*,*,*,*,*,*,*,*,*,*,67.973417,69.43616,70.828268,66.682891,66.314094,65.628693,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,31,*,*,*,*,*,*,*,*,*,*,*,*,70.426029,71.122509,72.639912,68.334804,67.860208,66.916638,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
6,33,*,*,*,*,*,*,*,*,*,*,*,*,72.395263,72.447396,74.1828,69.699002,69.087807,68.042505,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,3,*,*,*,*,*,*,*,*,*,*,*,*,-2.912343,-3.398165,-3.649714,-2.209141,-3.333549,-2.253864,-2.689674,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,5,2.11585,0.00957,2.11191,0.00953,*,*,*,*,*,*,*,*,5.229511,5.646009,5.84034,6.233277,4.811223,6.041463,5.915587,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,7,14.84735,0.00049,14.84734,0.00049,*,*,*,*,*,*,*,*,14.440822,15.432767,15.786784,15.672,14.366835,16.404641,16.419133,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,9,25.2599,0.00081,25.25985,0.0008,*,*,*,*,*,*,*,*,23.019749,24.300563,24.848729,24.606674,23.326281,26.305281,26.364823,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,11,32.2819,0.01758,32.27698,0.01756,*,*,*,*,*,*,*,*,30.475626,31.989177,32.847366,32.326367,31.17028,33.325864,34.777792,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,13,38.9357,0.09912,38.92966,0.09912,*,*,*,*,*,*,*,*,37.126396,38.889508,39.933664,38.968217,37.970926,40.137976,41.957165,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,15,*,*,*,*,*,*,*,*,*,*,*,*,42.741015,45.002996,46.035228,44.604008,43.601149,46.882824,47.742254,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,17,*,*,*,*,*,*,*,*,*,*,*,*,47.371313,50.177997,51.220683,49.260236,48.024405,51.25187,52.031562,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,19,*,*,*,*,*,*,*,*,*,*,*,*,51.356952,54.360759,55.630384,52.996642,51.469795,54.505494,55.282979,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,21,*,*,*,*,*,*,*,*,*,*,*,*,54.575661,57.388631,58.714019,55.389275,53.727765,56.472378,57.412693,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,23,*,*,*,*,*,*,*,*,*,*,*,*,57.094488,59.550674,60.570771,56.719429,55.0764,57.413659,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,25,*,*,*,*,*,*,*,*,*,*,*,*,59.594292,61.696156,62.442846,58.213836,56.622666,58.418282,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,27,*,*,*,*,*,*,*,*,*,*,*,*,62.343844,64.210635,64.925838,60.461419,58.931204,60.377223,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,29,*,*,*,*,*,*,*,*,*,*,*,*,65.196569,67.05076,67.969426,63.362128,61.80226,63.061773,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,31,*,*,*,*,*,*,*,*,*,*,*,*,67.994834,69.918385,71.213537,66.421525,64.702395,65.71258,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,33,*,*,*,*,*,*,*,*,*,*,*,*,70.298778,72.262153,74.011425,68.926002,67.056489,67.838818,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
8,35,*,*,*,*,*,*,*,*,*,*,*,*,71.52667,73.751297,75.834329,70.447037,68.449555,69.151505,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,3,*,*,*,*,*,*,*,*,*,*,*,*,-7.860967,-8.820209,-9.819569,-8.270521,-8.034095,-7.517588,-7.94882,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,5,*,*,*,*,*,*,*,*,*,*,*,*,-2.307846,-3.162053,-4.245735,-3.769854,-2.812852,-3.656637,-3.8713,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,7,0.97264,0.02696,0.9331,0.00061,*,*,*,*,*,*,*,*,4.957441,4.46377,3.594654,3.336903,4.881719,3.361212,3.253502,*,*
,,,,,,,,,,,,,,,,,,,,,,
10,9,12.01769,0.00031,12.01713,0.00016,*,*,*,*,*,*,*,*,11.848611,11.819345,11.352028,11.331477,12.74347,12.225734,12.154177,12.22,10.71
,,,,,,,,,,,,,,,,,,,,,,
10,11,23.64459,0.00283,23.64257,0.00264,*,*,*,*,*,*,*,*,18.39522,18.439902,18.834716,19.070075,19.943059,20.770004,20.555405,22.01,24.97
,,,,,,,,,,,,,,,,,,,,,,
10,13,27.79489,0.01202,27.79402,0.012,*,*,*,*,*,*,*,*,24.14944,24.580358,25.290685,25.359686,26.527873,27.171384,26.704329,27.54,27.43
,,,,,,,,,,,,,,,,,,,,,,
10,15,31.29898,0.12454,31.23481,0.12513,*,*,*,*,*,*,*,*,28.837186,30.17361,30.557425,30.419037,32.09375,32.020058,31.494742,33.46,31.44
,,,,,,,,,,,,,,,,,,,,,,
10,17,*,*,34.85606,0.18839,*,*,*,*,*,*,*,*,33.232575,35.151524,35.641065,35.181509,36.550286,36.592667,36.191072,38.47,36.69
,,,,,,,,,,,,,,,,,,,,,,
10,19,*,*,*,*,*,*,*,*,*,*,*,*,37.328682,39.680832,40.374271,39.501182,40.414796,40.657784,40.579948,43.21,41.66
,,,,,,,,,,,,,,,,,,,,,,
