Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
2,3,27.40569,0.05,27.56069,0.02,*,*,*,*,*,*,*,*,28.704461,28.384426,27.905360,28.953407,27.620418,17.697643,*,17.419884,*,*
2,5,28.833521,0.016658,28.861433,0.007559,*,*,*,*,*,*,*,*,34.839086,33.153363,32.376470,32.886880,31.888012,22.003617,*,21.684000,*,*
2,7,30.137766,0.029418,30.141369,0.046816,*,*,*,*,*,*,*,*,35.680520,32.603498,31.504788,33.073073,31.656522,22.934533,*,21.712845,*,*
2,9,*,*,*,*,*,*,*,*,*,*,*,*,32.916076,28.643642,27.102260,30.225371,28.586577,20.602718,*,18.928370,*,*
2,11,*,*,*,*,*,*,*,*,*,*,*,*,28.252388,22.523542,20.145625,24.660531,23.240222,15.072105,*,13.537113,*,*
2,13,*,*,*,*,*,*,*,*,*,*,*,*,23.141753,15.496467,12.101595,17.989864,17.081460,8.991878,*,*,*,*
2,15,*,*,*,*,*,*,*,*,*,*,*,*,17.864548,8.299798,3.851184,11.422268,11.189211,3.161537,*,*,*,*
2,17,*,*,*,*,*,*,*,*,*,*,*,*,12.294004,1.192818,4.296451,5.135802,5.721561,2.323031,*,*,*,*
2,19,*,*,*,*,*,*,*,*,*,*,*,*,6.596332,5.707349,12.234173,0.928367,0.516794,7.588300,*,*,*,*
2,21,*,*,*,*,*,*,*,*,*,*,*,*,1.054687,12.366553,19.974620,6.801395,4.659510,12.688975,*,*,*,*
2,23,*,*,*,*,*,*,*,*,*,*,*,*,4.381742,18.935788,27.616506,12.692589,10.063264,17.932155,*,*,*,*
2,25,*,*,*,*,*,*,*,*,*,*,*,*,10.274657,26.020291,35.614081,19.196045,16.146272,24.049200,*,*,*,*
4,3,37.599859,0.000106,37.600894,7.1e-05,*,*,*,*,*,*,*,*,40.857675,40.520956,39.401022,38.487826,40.124975,28.638892,*,28.322260,*,*
4,5,58.164881,0.000398,58.164076,7.7e-05,*,*,*,*,*,*,*,*,60.359147,59.819202,58.866556,57.295402,59.863421,48.582702,*,48.332875,*,*
4,7,65.481101,0.006356,65.477998,0.000238,*,*,*,*,*,*,*,*,71.299015,70.090240,69.496763,68.198084,69.866873,59.480075,*,59.192279,*,*
4,9,68.549977,0.07159,68.138723,0.01018,*,*,*,*,*,*,*,*,75.203467,73.323166,72.494456,71.639892,72.622066,62.564938,*,62.107895,*,*
4,11,*,*,68.114621,0.165797,*,*,*,*,*,*,*,*,75.831211,72.537359,70.809968,70.646530,71.682407,61.391769,*,60.678842,*,*
4,13,*,*,*,*,*,*,*,*,*,*,*,*,75.928474,70.558808,68.051257,68.953909,69.977922,59.519346,*,58.582205,*,*
4,15,*,*,*,*,*,*,*,*,*,*,*,*,75.219492,67.609108,64.583764,66.658774,67.746400,57.151137,*,56.008691,*,*
4,17,*,*,*,*,*,*,*,*,*,*,*,*,72.363633,63.065469,59.550634,63.037797,64.493179,53.663314,*,52.091845,*,*
4,19,*,*,*,*,*,*,*,*,*,*,*,*,67.658089,57.264925,53.048464,58.350120,60.365396,49.381212,*,47.162391,*,*
4,21,*,*,*,*,*,*,*,*,*,*,*,*,62.597882,51.109130,46.007293,53.364183,55.919070,45.173368,*,*,*,*
4,23,*,*,*,*,*,*,*,*,*,*,*,*,57.654525,45.014059,39.008921,48.401162,51.324164,41.154662,*,*,*,*
4,25,*,*,*,*,*,*,*,*,*,*,*,*,52.365327,38.511987,31.642643,42.915392,46.097812,36.503093,*,*,*,*
4,27,*,*,*,*,*,*,*,*,*,*,*,*,46.334404,31.008346,23.246892,36.080931,39.579333,30.274147,*,*,*,*
4,29,*,*,*,*,*,*,*,*,*,*,*,*,39.728881,22.607666,13.873541,28.197619,32.111061,22.996453,*,*,*,*
4,31,*,*,*,*,*,*,*,*,*,*,*,*,33.046204,14.053310,4.312470,20.275924,24.719914,15.832380,*,*,*,*
4,33,*,*,*,*,*,*,*,*,*,*,*,*,26.521898,5.736708,5.012304,12.677897,17.675234,8.999513,*,*,*,*
6,3,39.037372,0.002138,39.036891,0.002137,*,*,*,*,*,*,*,*,45.811662,44.191893,42.909634,42.656927,43.469553,33.013166,*,32.583314,*,*
6,5,73.440157,0.00095,73.441103,6e-05,*,*,*,*,*,*,*,*,77.536204,76.158193,75.448335,73.865485,76.121276,66.176095,*,65.942665,*,*
6,7,97.108123,1e-06,97.108125,0.0,*,*,*,*,*,*,*,*,99.089503,97.684672,97.445769,95.745624,97.599004,89.017542,*,88.839681,*,*
6,9,106.502626,0.0008,106.502626,0.0008,*,*,*,*,*,*,*,*,111.433397,109.915633,109.617041,107.642013,109.140394,100.569492,*,100.359857,*,*
6,11,111.479574,0.017376,111.486508,0.017365,*,*,*,*,*,*,*,*,119.044608,116.490496,115.370714,113.505884,115.272011,106.926294,*,105.503336,*,*
