Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
2,2,0.0,0.0,0.0,0.0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
4,4,0.09184,4e-05,0.09184,4e-05,*,*,*,*,*,*,*,*,2.187492,2.212739,3.540045,6.025811,1.581742,3.582468,*,3.621964,*,*
4,6,-7.41335,0.00086,-7.40952,0.0001,*,*,*,*,*,*,*,*,-5.939396,-5.830879,-5.541382,-4.505490,-7.342860,-6.977171,*,-7.035207,*,*
4,8,-8.94645,0.0165,-8.95684,0.00191,*,*,*,*,*,*,*,*,-9.376126,-10.647098,-11.296253,-10.040614,-11.876967,-11.987670,*,-11.966422,*,*
4,10,-11.27962,0.14963,-11.66756,0.16158,*,*,*,*,*,*,*,*,-12.053063,-13.563376,-13.241670,-10.366458,-13.040162,-11.945939,*,-12.174762,*,*
4,12,*,*,*,*,*,*,*,*,*,*,*,*,-17.057933,-17.738217,-17.419184,-13.948757,-16.523832,-14.224721,*,-14.773664,*,*
4,14,*,*,*,*,*,*,*,*,*,*,*,*,-22.359007,-22.757214,-22.699383,-19.130051,-21.197936,-18.821105,*,-19.727217,*,*
4,16,*,*,*,*,*,*,*,*,*,*,*,*,-25.995381,-26.119347,-26.811197,-22.863634,-24.468590,-21.915783,*,*,*,*
4,18,*,*,*,*,*,*,*,*,*,*,*,*,-26.700559,-27.615475,-28.676238,-24.601871,-26.105563,-23.074262,*,*,*,*
4,20,*,*,*,*,*,*,*,*,*,*,*,*,-27.194544,-28.238000,-29.534614,-25.584190,-26.798846,-23.883332,*,*,*,*
4,22,*,*,*,*,*,*,*,*,*,*,*,*,-28.085783,-28.970213,-30.292228,-26.534132,-27.473978,-25.081650,*,*,*,*
4,24,*,*,*,*,*,*,*,*,*,*,*,*,-28.554825,-29.457929,-31.043579,-27.368167,-27.992602,-26.090427,*,*,*,*
4,26,*,*,*,*,*,*,*,*,*,*,*,*,-28.453749,-29.208896,-30.924221,-27.425876,-28.022428,-26.365632,*,*,*,*
4,28,*,*,*,*,*,*,*,*,*,*,*,*,-28.324540,-28.527084,-30.144937,-26.582991,-27.016711,-25.764625,*,*,*,*
6,4,-5.10118,0.00546,-5.10128,0.00545,*,*,*,*,*,*,*,*,-4.235088,-4.088746,-3.802722,-2.778409,-4.604422,-4.794333,*,-4.710911,*,*
6,6,-7.36659,4e-05,-7.36659,4e-05,*,*,*,*,*,*,*,*,-9.922108,-8.195671,-8.843041,-9.094645,-8.724938,-11.388378,*,-11.438137,*,*
6,8,-12.01169,0.0004,-12.01251,8e-05,*,*,*,*,*,*,*,*,-10.055464,-10.170812,-11.000972,-11.150727,-9.673793,-12.985469,*,-12.999853,*,*
6,10,-13.80729,0.01543,-13.80854,0.00405,*,*,*,*,*,*,*,*,-12.303666,-11.861210,-11.323927,-10.387548,-11.328200,-12.037132,*,-12.044651,*,*
6,12,-17.45324,0.13561,-17.46015,0.13561,*,*,*,*,*,*,*,*,-18.210739,-17.280951,-17.030811,-16.360535,-16.945643,-17.433889,*,-17.860573,*,*
6,14,*,*,-22.36849,0.28404,*,*,*,*,*,*,*,*,-24.003901,-23.098671,-23.277046,-22.001662,-22.465761,-22.773704,*,-23.659992,*,*
