Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
3,2,1.965,0.05,1.965,0.05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3,4,-2.46658,8e-05,-2.46762,0.0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3,6,-10.36309,0.10002,-10.36246,0.08944,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5,4,-1.68812,0.05001,-1.68731,0.05001,*,*,*,*,*,*,*,*,-2.526808,-2.279901,-1.803312,0.846876,-2.774050,-1.419145,*,-1.397994,*,*
5,6,-8.66513,0.00042,-8.66431,1e-05,*,*,*,*,*,*,*,*,-9.210546,-8.240749,-8.631555,-7.966554,-9.233186,-10.395199,*,-10.546858,*,*
5,8,-10.81701,0.00222,-10.81787,0.00102,*,*,*,*,*,*,*,*,-10.917024,-11.515808,-12.502392,-11.606203,-11.807218,-13.551848,*,-13.620367,*,*
5,10,-14.24995,0.02954,-14.19493,0.02104,*,*,*,*,*,*,*,*,-13.291408,-13.717535,-13.507655,-11.461625,-13.122501,-13.126483,*,-13.329628,*,*
5,12,*,*,-15.68949,0.21577,*,*,*,*,*,*,*,*,-18.728551,-18.572977,-18.424509,-16.133742,-17.699405,-16.897968,*,-17.455667,*,*
5,14,*,*,*,*,*,*,*,*,*,*,*,*,-24.298874,-23.969289,-24.207525,-21.619038,-22.774684,-21.929823,*,-22.923843,*,*
5,16,*,*,*,*,*,*,*,*,*,*,*,*,-27.764083,-27.413529,-28.242833,-25.316270,-26.234581,-25.334122,*,*,*,*
5,18,*,*,*,*,*,*,*,*,*,*,*,*,-27.713846,-28.771445,-29.790424,-26.729414,-27.554892,-26.078545,*,*,*,*
5,20,*,*,*,*,*,*,*,*,*,*,*,*,-28.581411,-29.795685,-30.967877,-27.810580,-28.539580,-27.115782,*,*,*,*
5,22,*,*,*,*,*,*,*,*,*,*,*,*,-29.796965,-30.939263,-32.032923,-28.899352,-29.356921,-28.358147,*,*,*,*
5,24,*,*,*,*,*,*,*,*,*,*,*,*,-30.456628,-31.532665,-32.706976,-29.641333,-29.828001,-29.239284,*,*,*,*
5,26,*,*,*,*,*,*,*,*,*,*,*,*,-30.780729,-31.482030,-32.725829,-29.660699,-29.817125,-29.325840,*,*,*,*
5,28,*,*,*,*,*,*,*,*,*,*,*,*,-31.366292,-31.407179,-32.518331,-29.201157,-29.307458,-28.650734,*,*,*,*
7,4,-5.98969,0.08444,-5.79791,0.05256,*,*,*,*,*,*,*,*,-5.735669,-6.218706,-6.310319,-4.459843,-6.422230,-6.110239,*,-6.114694,*,*
7,6,-9.49512,0.00102,-9.49592,0.00094,*,*,*,*,*,*,*,*,-9.703610,-8.916965,-9.542373,-9.413977,-9.160855,-11.533983,*,-11.670210,*,*
7,8,-10.99141,0.00042,-10.99118,1e-05,*,*,*,*,*,*,*,*,-8.404419,-9.320395,-10.243739,-10.017918,-8.194515,-11.710668,*,-11.761541,*,*
7,10,-11.11571,0.01505,-11.11678,0.01503,*,*,*,*,*,*,*,*,-9.646474,-9.775151,-9.434819,-8.646675,-9.009230,-10.071017,*,-10.059535,*,*
7,12,-15.53506,0.02773,-15.52688,0.02667,*,*,*,*,*,*,*,*,-15.267788,-14.922188,-14.874046,-14.366478,-14.356576,-15.754681,*,-16.217715,*,*
