,Z,N
"(20, 15)",20,15
"(20, 16)",20,16
"(20, 31)",20,31
"(20, 32)",20,32
"(20, 33)",20,33
"(20, 34)",20,34
"(20, 35)",20,35
"(20, 36)",20,36
"(20, 37)",20,37
"(20, 38)",20,38
"(20, 39)",20,39
"(20, 40)",20,40
"(21, 18)",21,18
"(21, 37)",21,37
"(21, 38)",21,38
"(21, 39)",21,39
"(21, 40)",21,40
"(21, 41)",21,41
"(22, 17)",22,17
"(22, 18)",22,18
"(22, 36)",22,36
"(22, 37)",22,37
"(22, 38)",22,38
"(22, 39)",22,39
"(22, 40)",22,40
"(22, 41)",22,41
"(22, 42)",22,42
"(23, 20)",23,20
"(23, 36)",23,36
"(23, 37)",23,37
"(23, 38)",23,38
"(23, 39)",23,39
"(23, 40)",23,40
"(23, 41)",23,41
"(23, 42)",23,42
"(23, 43)",23,43
"(23, 44)",23,44
"(24, 18)",24,18
"(24, 19)",24,19
"(24, 20)",24,20
"(24, 21)",24,21
"(24, 22)",24,22
"(24, 36)",24,36
"(24, 37)",24,37
"(24, 38)",24,38
"(24, 39)",24,39
"(24, 40)",24,40
"(24, 41)",24,41
"(24, 42)",24,42
"(24, 43)",24,43
"(24, 44)",24,44
"(24, 45)",24,45
"(25, 21)",25,21
"(25, 22)",25,22
"(25, 41)",25,41
"(25, 42)",25,42
"(25, 43)",25,43
"(25, 44)",25,44
"(25, 45)",25,45
"(25, 46)",25,46
"(25, 47)",25,47
"(25, 48)",25,48
"(26, 19)",26,19
"(26, 20)",26,20
"(26, 21)",26,21
"(26, 22)",26,22
"(26, 23)",26,23
"(26, 24)",26,24
"(26, 41)",26,41
"(26, 42)",26,42
"(26, 43)",26,43
"(26, 44)",26,44
"(26, 45)",26,45
"(26, 46)",26,46
"(26, 47)",26,47
"(26, 48)",26,48
"(26, 49)",26,49
"(26, 50)",26,50
"(27, 23)",27,23
"(27, 24)",27,24
"(27, 43)",27,43
"(27, 44)",27,44
"(27, 45)",27,45
"(27, 46)",27,46
"(27, 47)",27,47
"(27, 48)",27,48
"(27, 49)",27,49
"(27, 50)",27,50
"(27, 51)",27,51
"(28, 20)",28,20
"(28, 21)",28,21
"(28, 22)",28,22
"(28, 23)",28,23
"(28, 24)",28,24
"(28, 25)",28,25
"(28, 26)",28,26
"(28, 43)",28,43
"(28, 44)",28,44
"(28, 45)",28,45
"(28, 46)",28,46
"(28, 47)",28,47
"(28, 48)",28,48
"(28, 49)",28,49
"(28, 50)",28,50
"(28, 51)",28,51
"(28, 52)",28,52
"(28, 53)",28,53
"(28, 54)",28,54
"(29, 26)",29,26
"(29, 46)",29,46
"(29, 47)",29,47
"(29, 48)",29,48
"(29, 49)",29,49
"(29, 50)",29,50
"(29, 51)",29,51
"(29, 52)",29,52
"(29, 53)",29,53
"(29, 54)",29,54
"(30, 24)",30,24
"(30, 25)",30,25
"(30, 26)",30,26
"(30, 27)",30,27
"(30, 28)",30,28
"(30, 46)",30,46
"(30, 47)",30,47
"(30, 48)",30,48
"(30, 49)",30,49
"(30, 50)",30,50
"(30, 51)",30,51
"(30, 52)",30,52
"(30, 53)",30,53
"(30, 54)",30,54
"(30, 55)",30,55
"(31, 29)",31,29
"(31, 30)",31,30
"(31, 53)",31,53
"(31, 54)",31,54
"(31, 55)",31,55
"(31, 56)",31,56
"(32, 27)",32,27
"(32, 28)",32,28
"(32, 29)",32,29
"(32, 30)",32,30
"(32, 31)",32,31
"(32, 32)",32,32
"(32, 53)",32,53
"(32, 54)",32,54
"(32, 55)",32,55
"(32, 56)",32,56
"(32, 57)",32,57
"(32, 58)",32,58
"(33, 31)",33,31
"(33, 32)",33,32
"(33, 55)",33,55
"(33, 56)",33,56
"(33, 57)",33,57
"(33, 58)",33,58
"(33, 59)",33,59
"(34, 29)",34,29
"(34, 30)",34,30
"(34, 31)",34,31
"(34, 32)",34,32
"(34, 33)",34,33
"(34, 34)",34,34
"(34, 55)",34,55
"(34, 56)",34,56
"(34, 57)",34,57
"(34, 58)",34,58
"(34, 59)",34,59
"(34, 60)",34,60
"(34, 61)",34,61
"(35, 34)",35,34
"(35, 58)",35,58
"(35, 59)",35,59
"(35, 60)",35,60
"(35, 61)",35,61
"(35, 62)",35,62
"(35, 63)",35,63
"(36, 31)",36,31
"(36, 32)",36,32
"(36, 33)",36,33
"(36, 34)",36,34
"(36, 35)",36,35
"(36, 36)",36,36
"(36, 58)",36,58
"(36, 59)",36,59
"(36, 60)",36,60
"(36, 61)",36,61
"(36, 62)",36,62
"(36, 63)",36,63
"(36, 64)",36,64
"(36, 65)",36,65
"(37, 35)",37,35
"(37, 36)",37,36
"(37, 37)",37,37
"(37, 38)",37,38
"(37, 62)",37,62
"(37, 63)",37,63
"(37, 64)",37,64
"(37, 65)",37,65
"(37, 66)",37,66
"(37, 67)",37,67
"(38, 35)",38,35
"(38, 36)",38,36
"(38, 37)",38,37
"(38, 38)",38,38
"(38, 62)",38,62
"(38, 63)",38,63
"(38, 64)",38,64
"(38, 65)",38,65
