Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
4,3,10.67623,0.00545,10.67735,0.00545,*,*,*,*,6.443783,7.048382,5.934521,6.440801,8.148447,7.663116,7.163594,*,*
4,5,1.66534,0.0004,1.66454,8e-05,*,*,*,*,4.227197,3.748223,3.396511,4.384826,4.422806,5.162957,4.759518,*,*
4,7,0.50392,0.00634,0.50164,0.00025,*,*,*,*,*,*,*,0.768292,0.202856,0.962122,0.456811,*,*
6,3,14.25489,0.02317,14.22461,0.01837,*,*,*,*,13.008647,13.925392,13.16693,12.912159,14.815263,14.263701,13.935832,*,*
6,5,13.11966,0.00088,13.12059,9e-05,*,*,*,*,10.587225,10.296875,9.879111,10.740053,11.240328,12.105986,11.773088,*,*
6,7,4.94631,0.0,4.94631,0.0,*,*,*,*,4.735447,5.118022,4.832683,5.440403,5.133451,5.909419,5.528189,*,*
6,9,1.21807,0.0008,1.21807,0.0008,*,*,*,*,1.650184,1.154518,0.326359,0.761496,1.502586,0.76607,0.324536,*,*
6,11,0.72661,0.01774,0.73355,0.01773,*,*,*,*,1.036156,0.244444,*,0.410657,0.672917,1.694974,0.271479,*,*
6,13,0.57683,0.0937,0.57683,0.0937,*,*,*,*,0.790987,*,*,0.052183,0.315335,1.444164,0.038177,*,*
8,3,*,*,*,*,*,*,*,*,16.869121,18.193664,17.864005,16.765575,18.340909,17.685612,17.508991,*,*
8,5,17.00684,0.02078,16.8705,0.02582,*,*,*,*,15.364222,15.501942,15.200999,15.397151,16.185539,17.115797,16.884035,*,*
8,7,13.22307,0.0005,13.22349,0.00049,*,*,*,*,9.623889,10.146416,9.902438,10.33361,10.071339,11.442618,11.065913,*,*
8,9,4.14313,0.00011,4.14308,0.0,*,*,*,*,5.596709,5.311201,4.62634,4.88045,5.75818,5.169312,4.773991,4.42,4.05
8,11,3.95492,0.00276,3.95564,0.00264,*,*,*,*,4.773976,3.994825,3.483687,3.868705,4.401949,4.128976,4.021616,3.11,3.85
8,13,3.80587,0.01203,3.80545,0.01203,*,*,*,*,3.946665,3.077787,2.628125,3.068775,3.471699,3.227742,3.259095,2.17,2.23
8,15,2.74251,0.13451,2.73298,0.13436,*,*,*,*,2.122447,1.447712,1.064084,1.580842,1.934983,1.808532,1.470371,0.77,2.59
8,25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.16
10,3,*,*,*,*,*,*,*,*,19.028716,20.288792,19.838848,18.322019,20.108657,18.899554,18.896544,*,*
10,5,*,*,*,*,*,*,*,*,19.038406,19.369108,19.04644,18.609354,19.878982,19.96987,19.863451,*,*
10,7,15.60688,0.03385,15.55765,0.02048,*,*,*,*,13.523762,14.285748,14.166127,14.402378,14.376568,15.794922,15.46952,*,*
10,9,11.63704,0.0004,11.63688,0.0004,*,*,*,*,8.817763,8.866796,8.331073,8.897093,9.556251,9.766101,9.364008,10.3,11.28
10,11,6.76116,4e-05,6.76116,4e-05,*,*,*,*,8.292833,7.370359,7.422532,7.643377,7.989034,8.088592,7.81242,6.15,5.2
10,13,5.20065,0.0001,5.20065,0.0001,*,*,*,*,6.468965,6.173105,5.305916,5.628911,6.643595,5.699501,5.612614,4.72,4.58
10,15,4.22787,0.02565,4.15517,0.02905,*,*,*,*,4.513179,4.166165,3.796167,4.123685,4.375647,4.183066,3.897185,3.01,4.29
10,17,1.43098,0.11358,1.50152,0.09262,*,*,*,*,1.303708,1.496501,1.333265,1.776098,1.692907,1.592885,0.908032,1.13,1.5
10,19,1.25804,0.3061,0.97125,0.19556,*,*,*,*,0.479558,0.061589,0.038226,0.48984,0.684976,0.488572,0.233798,0.16,0.04
10,21,*,*,0.16984,0.12654,*,*,*,*,0.076459,*,*,*,*,*,*,*,*
12,3,*,*,*,*,*,*,*,*,21.12827,22.386438,22.045297,20.335172,21.961885,20.631669,20.637264,*,*
12,5,*,*,*,*,*,*,*,*,21.970807,22.471075,22.012948,21.25206,22.723688,22.428513,22.465491,*,*
12,7,*,*,*,*,*,*,*,*,17.137607,18.011985,17.955013,17.867502,17.939169,19.285773,19.181409,*,*
12,9,14.73116,0.0316,14.64516,0.00201,*,*,*,*,12.359734,12.116003,12.317124,12.706545,13.045228,13.642738,13.140206,13.71,16.02
12,11,13.14812,0.00186,13.1449,0.00035,*,*,*,*,11.378513,11.022249,10.88167,10.979687,11.524537,11.797831,11.434733,12.08,12.56
12,13,7.33058,3e-05,7.33053,5e-05,*,*,*,*,8.90336,8.77927,8.031875,8.419378,9.688472,8.72677,8.645858,7.25,6.51
12,15,6.44339,4e-05,6.44339,4e-05,*,*,*,*,6.826442,6.853457,6.362617,6.582018,6.960458,6.550586,6.309098,4.85,7.3
12,17,3.67171,0.01412,3.6553,0.01157,*,*,*,*,3.607171,4.023837,3.893449,4.199937,4.026734,4.16641,3.611714,4.14,2.89
12,19,2.37803,0.01473,2.30965,0.00462,*,*,*,*,2.665379,2.439917,2.432406,2.688836,2.839161,2.701295,2.587397,2.8,1.15
12,21,2.22247,0.02638,2.28012,0.00436,*,*,*,*,2.366706,0.897106,0.266186,0.882092,1.115417,0.959924,0.607786,1.46,1.68
12,23,*,*,0.75488,0.27121,*,*,*,*,1.730127,0.88503,0.929367,1.078112,1.214823,1.051625,0.89147,0.95,0.15
12,25,*,*,0.24,0.11,*,*,*,*,0.852427,*,*,0.058602,0.3209,0.104983,*,*,*
12,27,*,*,*,*,*,*,*,*,0.021493,*,*,*,*,*,*,*,*
14,3,*,*,*,*,*,*,*,*,23.260461,24.151788,23.875675,22.000565,23.385444,21.858734,*,*,*
14,5,*,*,*,*,*,*,*,*,24.558714,25.237235,24.970858,23.916757,25.228355,24.967939,25.136709,*,*
14,7,*,*,*,*,*,*,*,*,20.147753,21.07784,21.062792,20.700548,20.807327,21.974508,22.100112,*,*
14,9,*,*,*,*,*,*,*,*,14.680589,15.065661,14.902062,15.123931,16.024069,16.04241,15.559605,17.83,19.51
14,11,15.00167,0.02189,14.98919,0.02189,*,*,*,*,13.958443,13.559439,13.710365,13.898395,14.530773,14.755782,14.426803,14.55,14.63
14,13,13.31099,0.003,13.3148,0.00015,*,*,*,*,12.33567,11.945758,11.652097,11.917659,12.766772,12.595224,12.540888,12.4,14.01
14,15,8.47357,2e-05,8.4736,0.0,*,*,*,*,9.280591,9.381144,8.96315,9.243757,9.578778,9.474023,9.101342,7.4,9.28
14,17,6.5874,3e-05,6.58739,4e-05,*,*,*,*,5.935049,6.516928,6.402279,6.598267,6.439509,6.776051,6.270984,6.46,5.77
14,19,4.48307,0.01579,4.50796,0.00076,*,*,*,*,4.879936,4.785657,4.888132,5.008579,5.079051,5.126724,5.125804,4.8,3.97
14,21,2.47485,0.04092,2.50592,0.03854,*,*,*,*,3.630291,2.949327,2.459429,2.823523,3.216737,2.627776,2.248238,3.35,1.92
14,23,2.16881,0.20901,2.2067,0.13456,*,*,*,*,3.290107,2.284126,2.22424,2.41129,2.550667,2.543682,2.388973,1.77,1.47
14,25,2.07584,0.3649,1.58067,0.17132,*,*,*,*,2.634726,1.641522,1.45242,1.724073,1.947735,1.681707,1.484559,1.65,0.58
14,27,*,*,1.38133,0.6533,*,*,*,*,2.179804,1.137787,0.873818,1.274819,1.524767,1.418108,1.201824,2.37,0.39
14,29,*,*,*,*,*,*,*,*,1.204673,0.335377,*,0.460627,0.801857,0.495579,0.344709,*,0.7
14,31,*,*,*,*,*,*,*,*,0.787353,*,*,0.111759,0.71344,0.230859,0.284503,*,*
16,3,*,*,*,*,*,*,*,*,24.417532,24.893332,24.760723,22.855794,24.007814,22.468547,*,*,*
16,5,*,*,*,*,*,*,*,*,26.811979,27.418283,27.362897,26.069137,26.998917,26.710308,*,*,*
16,7,*,*,*,*,*,*,*,*,22.512771,23.666819,23.698769,23.070658,23.144633,24.294398,24.481574,*,*
16,9,*,*,*,*,*,*,*,*,16.841072,17.580836,17.416174,17.425102,18.337903,18.078782,17.608569,19.65,19.0
16,11,*,*,*,*,*,*,*,*,16.097399,16.156071,16.064809,16.129488,17.044985,17.111921,16.849969,16.59,15.25
16,13,15.3041,0.16763,15.30094,0.16763,*,*,*,*,14.696925,14.411919,14.205889,14.480188,15.298212,15.410179,15.284464,14.94,14.93
16,15,13.05343,0.00335,13.05459,0.00031,*,*,*,*,11.427878,11.653826,11.11379,11.633422,12.032038,12.237267,11.771178,12.23,14.44
16,17,8.64161,3e-05,8.64164,0.0,*,*,*,*,8.160044,8.928863,8.792201,8.940306,8.752025,9.336276,8.879687,8.23,6.86
16,19,6.98588,4e-05,6.98584,4e-05,*,*,*,*,6.958123,7.046786,7.193679,7.197905,7.273512,7.537307,7.518041,7.12,6.66
16,21,4.3036,6e-05,4.3036,6e-05,*,*,*,*,5.502056,5.005615,4.561574,4.901723,5.304527,4.768516,4.350808,5.19,4.16
16,23,4.37236,0.05051,4.37278,0.05051,*,*,*,*,4.849982,4.010378,4.141656,4.151979,4.31597,4.450771,4.623352,4.08,3.65
16,25,4.22385,0.18426,4.24205,0.00571,*,*,*,*,4.622113,3.503673,3.518051,3.606155,3.821615,3.560797,3.44701,3.58,3.32
16,27,2.35905,0.2371,2.62903,0.0057,*,*,*,*,3.650607,2.794125,2.382209,2.77113,3.085942,2.770926,2.633491,2.66,2.81
16,29,2.20782,1.78649,2.85667,1.03537,*,*,*,*,2.813038,2.071774,1.547787,2.005242,2.566989,2.049993,1.93699,1.43,2.31
16,31,*,*,*,*,*,*,*,*,2.047089,1.365343,0.551472,1.505906,1.932971,1.5716,1.444956,0.37,0.56
16,33,*,*,*,*,*,*,*,*,0.367067,*,*,0.21362,0.633178,0.471891,*,0.04,*
18,3,*,*,*,*,*,*,*,*,24.398866,24.907725,24.922631,23.044799,24.06994,22.676207,*,*,*
18,5,*,*,*,*,*,*,*,*,27.457322,28.221942,28.263032,26.846763,27.706691,27.167198,*,*,*
18,7,*,*,*,*,*,*,*,*,24.334883,25.658896,25.832023,24.838055,24.782053,25.713855,*,*,*
18,9,*,*,*,*,*,*,*,*,18.695614,19.695972,19.626509,19.437129,20.135459,20.063166,19.702761,*,*
18,11,*,*,*,*,*,*,*,*,18.140945,18.445307,18.396782,18.293257,19.122282,19.314439,19.118694,19.77,18.47
18,13,*,*,*,*,*,*,*,*,16.830285,17.835121,16.552793,16.736138,17.501029,17.833391,17.754748,17.5,18.04
18,15,15.25525,0.00181,15.25526,0.00181,*,*,*,*,13.606846,15.10784,13.438252,13.923777,14.226094,14.705813,14.269183,14.63,15.45
18,17,12.74151,0.00084,12.74031,0.00068,*,*,*,*,10.679913,11.395639,11.316845,11.376347,11.196029,12.04549,11.560949,12.27,12.07
18,19,8.78744,0.00021,8.78744,0.00021,*,*,*,*,9.273697,9.413003,9.579187,9.552475,9.600196,10.127605,10.144313,9.55,9.02
18,21,6.59878,0.00501,6.59869,0.005,*,*,*,*,7.50447,7.12267,6.704737,7.028197,7.470599,7.02245,6.683751,7.31,5.51
18,23,6.09889,0.00033,6.09893,0.00035,*,*,*,*,6.806913,6.03094,5.881481,6.031306,6.453546,6.168713,6.279502,5.71,5.66
18,25,5.65845,0.00785,5.65845,0.00785,*,*,*,*,6.367978,5.317207,5.324523,5.354724,5.640905,5.477401,5.52486,4.6,3.83
18,27,5.16885,0.00166,5.16886,0.00166,*,*,*,*,5.51075,4.519973,4.372075,4.548144,4.880428,4.601961,4.684504,4.56,4.75
18,29,4.25903,0.10796,3.66473,0.00158,*,*,*,*,4.270316,3.789505,3.059564,3.7102,4.178561,3.772109,3.770662,2.82,3.83
