Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,4,12.91338,0.05,12.91442,0.05,*,*,*,*,14.910809,14.810727,14.164196,12.045544,14.66309,13.085098,13.036537,*,*
3,6,6.09651,0.00194,6.09484,0.00019,*,*,*,*,9.232785,7.940948,7.75287,8.180127,7.896722,8.443135,8.448223,*,*
3,8,0.29959,0.01939,0.36928,0.00064,*,*,*,*,2.201044,1.526354,1.578897,2.729825,1.880899,2.585378,2.209686,*,*
5,4,31.5953,0.07072,31.4027,0.02517,*,*,*,*,28.077667,29.099148,28.96267,26.616666,29.61697,28.267756,28.322708,*,*
5,6,19.89038,0.00107,19.89142,0.0009,*,*,*,*,21.594547,20.771574,20.99244,20.858972,21.122226,22.061152,22.185401,*,*
5,8,8.2484,0.001,8.24839,0.001,*,*,*,*,10.939263,11.216008,11.623706,11.819777,10.470753,11.599785,11.521732,*,*
5,10,3.73252,0.0224,3.74634,0.02106,*,*,*,*,4.575428,3.728081,2.58416,2.585247,3.196183,2.160013,1.918946,*,*
5,12,1.3441,0.17233,1.38456,0.20518,*,*,*,*,3.412371,1.758391,0.747543,1.567248,1.666138,1.153444,1.083112,*,*
5,14,*,*,0.08871,0.56362,*,*,*,*,3.095942,0.983309,0.484685,1.245472,1.140647,0.91115,0.988637,*,*
5,16,*,*,*,*,*,*,*,*,1.046946,*,*,*,*,*,*,*,*
7,4,*,*,*,*,*,*,*,*,37.528879,39.279059,39.830141,36.649842,39.11206,38.015899,38.389292,*,*
7,6,35.10072,0.04616,35.10071,0.04615,*,*,*,*,32.045607,31.797405,32.194723,31.5708,32.355595,33.6915,33.878223,*,*
7,8,21.38668,0.00027,21.38668,0.00027,*,*,*,*,20.295356,21.175005,21.693806,21.462914,20.155886,22.237839,22.276732,*,*
7,10,8.3727,0.01501,8.37399,0.015,*,*,*,*,12.181318,11.670764,10.814787,10.448534,11.285469,9.960133,9.819726,*,*
7,12,8.15187,0.02223,8.15643,0.02223,*,*,*,*,10.196742,8.875117,8.023387,8.305049,8.543528,7.843676,8.077126,*,*
7,14,6.7536,0.09645,6.767,0.13505,*,*,*,*,9.050459,7.25846,6.829876,7.141798,7.043982,6.631759,7.085771,*,*
7,16,*,*,4.65412,0.44142,*,*,*,*,5.988465,4.335397,4.141003,4.632644,4.543569,4.409573,4.410916,*,*
7,18,*,*,*,*,*,*,*,*,*,*,*,0.42113,0.342239,*,*,*,*
9,4,*,*,*,*,*,*,*,*,43.072719,45.190867,46.055045,42.007507,44.158996,42.6806,43.346658,*,*
9,6,*,*,*,*,*,*,*,*,39.954655,40.213483,40.755288,39.166032,40.481106,41.26961,41.631105,*,*
9,8,30.9663,0.13379,30.75768,0.014,*,*,*,*,28.801288,29.987459,30.696434,30.242626,29.065934,31.932861,32.016524,*,*
9,10,19.58172,0.00026,19.58178,0.00025,*,*,*,*,19.114564,19.090098,18.60346,18.592514,19.160561,18.977089,18.884622,19.29,19.48
9,12,14.7028,0.0018,14.70279,0.0018,*,*,*,*,17.160018,15.70535,15.673795,15.567647,15.717786,15.488271,15.700915,14.44,19.9
9,14,12.76534,0.07956,12.80977,0.03337,*,*,*,*,14.546387,13.525369,12.734724,12.754766,13.319085,12.188452,12.772171,11.75,11.84
9,16,8.19968,0.1264,8.09373,0.10204,*,*,*,*,10.799886,9.847074,9.553025,9.649797,9.502653,9.189823,9.218562,7.15,8.32
9,18,2.48848,0.38929,2.02652,0.40158,*,*,*,*,4.223424,4.671898,4.464347,4.832298,4.331143,3.742411,2.857788,3.8,3.06
9,20,*,*,1.44273,0.6542,*,*,*,*,2.403931,1.639552,1.746431,2.245431,2.246098,1.669666,1.381835,2.16,1.19
9,22,*,*,*,*,*,*,*,*,1.166682,*,*,*,*,*,*,0.87,*
9,24,*,*,*,*,*,*,*,*,0.608922,*,*,*,*,*,*,*,*
11,4,*,*,*,*,*,*,*,*,46.950996,48.947302,49.909537,45.4315,47.423757,45.537438,46.284402,*,*
11,6,*,*,*,*,*,*,*,*,46.150058,46.68212,47.208063,44.862171,46.639295,46.444597,47.050605,*,*
11,8,*,*,38.38646,1.00141,*,*,*,*,36.08282,37.49229,38.436873,37.568861,36.619834,39.578379,39.915186,*,*
11,10,31.2536,0.01202,31.25666,0.01054,*,*,*,*,25.688302,25.61416,26.095049,26.295581,26.269348,27.364017,27.178384,29.67,31.13
11,12,23.48833,0.0007,23.48786,0.0001,*,*,*,*,23.54143,22.450237,22.884196,22.588961,22.683735,23.09025,23.06364,22.9,22.55
11,14,15.9706,0.0012,15.97059,0.0012,*,*,*,*,19.381986,19.058553,18.003508,18.056137,19.469852,17.751266,18.198683,16.09,16.34
11,16,12.30225,0.0037,12.30261,0.00391,*,*,*,*,15.363727,15.11602,14.694329,14.566903,14.484176,13.886088,13.952666,12.35,12.25
