Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
2,2,20.57762,0.0,20.57762,0.0,*,*,*,*,*,*,*,*,*,*,*
2,4,1.86244,0.05001,1.71045,0.02,*,*,8.483894,7.775,8.24297,5.670896,6.40074,5.54314,4.591812,*,*
2,6,2.57431,0.01802,2.53476,0.00756,*,*,4.889576,3.984382,4.174259,3.180186,2.905917,2.602903,3.409858,*,*
2,8,0.20154,0.07593,-0.19,0.10398,*,*,*,*,*,*,*,*,*,*,*
4,4,18.89968,0.00011,18.89864,8e-05,*,*,15.274275,15.550025,16.069023,14.422751,15.315641,14.780853,13.360124,*,*
4,6,6.81229,6e-05,6.81228,5e-05,*,*,11.068603,10.471101,11.123155,10.134389,9.800596,9.935252,10.011511,*,*
4,8,3.16888,0.01629,3.17072,0.00192,*,*,6.105773,5.994602,6.650217,6.209595,5.104022,5.414114,5.776953,*,*
4,10,1.36464,0.15038,1.7759,0.13264,*,*,2.775692,*,*,*,*,*,*,*,*
4,12,*,*,0.45,0.14142,*,*,2.217056,*,*,*,*,*,*,*,*
4,14,*,*,*,*,*,*,2.159729,*,*,*,*,*,*,*,*
6,4,21.28313,0.00218,21.28362,0.00214,*,*,21.137317,21.669426,22.65959,20.468506,21.411396,21.056942,19.913874,*,*
6,6,18.72166,0.00095,18.72071,6e-05,*,*,16.817853,16.408457,17.164751,16.439736,16.344277,16.932028,16.939529,*,*
6,8,8.17644,0.0,8.17643,0.0,*,*,10.69371,11.076443,11.844913,11.134894,10.038805,10.78588,10.925578,*,*
6,10,4.25033,0.00367,4.25033,0.00367,*,*,6.575056,6.330419,6.153865,5.453214,5.458701,4.661829,5.382427,*,*
6,12,4.18397,0.03466,4.18395,0.03466,*,*,5.445289,4.852331,4.481995,4.288825,4.0345,2.339552,5.073734,*,*
6,14,2.93437,0.25861,2.98151,0.25074,*,*,5.071284,4.159441,4.073257,3.906487,3.46744,2.008822,4.998689,*,*
6,16,*,*,*,*,*,*,3.85763,2.867141,2.99982,2.920902,2.509194,2.429038,4.27356,*,*
