Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,2,21.71562,0.21794,21.71562,0.21794,*,*,*,*,*,*,*,*,*,*,*
3,4,7.24997,8e-05,7.25109,0.0,*,*,8.619144,8.383008,8.390806,7.524607,7.775485,7.663314,12.881689,*,*
3,6,4.0639,0.00194,4.06222,0.00019,*,*,4.369239,4.040363,3.699449,3.695172,3.107129,3.298737,10.109384,*,*
3,8,0.32459,0.02452,0.39569,0.01274,*,*,*,*,*,*,*,*,*,*,*
3,10,*,*,0.1,0.07616,*,*,*,*,*,*,*,*,*,*,*
5,4,18.57713,0.0014,18.5764,0.00135,*,*,18.725739,18.947098,19.88027,17.658147,18.612572,18.126239,16.769968,*,*
5,6,11.45412,0.00016,11.45422,2e-05,*,*,13.939983,13.513586,14.19865,13.278255,13.122879,13.420782,13.447859,*,*
5,8,4.87805,0.00177,4.87877,0.00166,*,*,8.642154,8.706322,9.436962,8.771976,7.796372,8.234898,8.241194,*,*
5,10,2.76272,0.03083,2.77676,0.02987,*,*,4.884169,*,*,*,*,*,*,*,*
5,12,1.38219,0.1811,1.46751,0.20558,*,*,3.918704,*,*,*,*,*,*,*,*
5,14,*,*,0.09371,0.56364,*,*,3.701345,*,*,*,*,*,*,*,*
7,4,22.5679,0.40265,22.56778,0.40265,*,*,23.1987,23.788117,25.022,22.570344,23.169089,22.884965,21.918564,*,*
7,6,20.06392,0.00104,20.0639,0.00104,*,*,18.881361,18.759778,19.555583,18.570214,18.542912,19.157022,19.521154,*,*
7,8,10.8333,0.0,10.8333,0.0,*,*,13.160585,13.497047,14.306423,13.569866,12.544877,13.547429,13.637978,*,*
7,10,5.88361,0.01524,5.88515,0.01518,*,*,8.592532,8.475375,8.463722,7.826587,7.691671,7.210777,7.55541,*,*
7,12,5.32365,0.02478,5.3282,0.02478,*,*,7.21752,6.663926,6.4301,6.151686,5.938809,5.514394,6.856643,*,*
7,14,4.58526,0.11011,4.6059,0.15554,*,*,6.624692,5.810701,5.795118,5.556967,5.115819,4.289932,6.479892,*,*
7,16,*,*,3.11569,0.4691,*,*,5.075406,4.301012,4.418315,4.258056,3.813533,3.734265,5.300521,*,*
9,4,*,*,*,*,*,*,25.800799,26.58067,27.968392,25.12537,*,25.119695,24.363994,*,*
9,6,*,*,23.46897,0.04344,*,*,22.664279,22.776639,23.679289,22.297068,22.452818,22.858934,23.592338,*,*
9,8,16.79987,0.00832,16.79987,0.00832,*,*,17.259799,17.707601,18.665882,17.892771,16.85844,18.321717,18.633024,*,*
9,10,10.4324,0.00054,10.43187,0.00046,*,*,11.985691,12.054077,12.27722,11.887557,11.545003,11.738209,12.139443,11.78,9.56
9,12,8.10146,0.0018,8.10146,0.0018,*,*,10.547119,9.917511,10.169226,9.792018,9.438669,9.350006,10.670858,8.77,10.01
9,14,7.53495,0.0805,7.57943,0.03555,*,*,9.264223,8.827048,8.693673,8.362715,8.220696,7.689195,9.279426,7.11,8.42
9,16,4.35814,0.12196,4.28167,0.13726,*,*,7.397499,6.985017,7.06313,6.753523,6.294384,6.131416,7.616063,4.25,4.23
9,18,1.41623,0.41188,1.26991,0.40538,*,*,4.095251,4.387147,4.429601,4.261866,3.691654,3.369229,4.599071,2.85,3.17
9,20,*,*,1.66273,0.6561,*,*,2.893408,*,*,2.794871,2.451875,*,*,1.91,2.94
9,22,*,*,*,*,*,*,*,*,*,*,*,*,*,1.55,1.88
9,24,*,*,*,*,*,*,*,*,*,*,*,*,*,0.48,0.71
9,28,*,*,*,*,*,*,*,*,*,*,*,*,*,1.39,*
11,6,*,*,*,*,*,*,25.628929,25.833554,*,*,25.395793,*,*,*,*
11,8,19.33448,0.05171,20.17991,0.09447,*,*,20.74352,21.286726,22.389113,21.476297,20.512292,22.064805,22.702804,*,*
11,10,17.1032,0.0067,17.10655,0.00112,*,*,15.199268,15.195588,15.931073,15.672298,15.027701,15.891741,16.317566,16.75,16.76
11,12,12.41873,0.00041,12.41966,0.00017,*,*,13.618123,13.133218,13.679503,13.254142,12.843573,13.110791,14.36883,12.92,12.24
11,14,9.01102,0.0012,9.01123,0.0012,*,*,11.592571,11.497259,11.245247,10.975755,11.256515,10.478035,11.989666,9.52,9.71
11,16,6.72644,0.0068,6.72833,0.00511,*,*,9.608735,9.541976,9.540029,9.182486,8.75962,8.497175,9.955303,7.2,6.21
11,18,4.41707,0.01844,4.40301,0.0126,*,*,6.185195,6.682937,6.827515,6.582682,5.818576,5.737917,7.059963,5.83,4.72
11,20,3.77764,0.21281,4.29996,0.01475,*,*,4.923526,4.918348,5.203632,5.019532,4.484675,4.298224,6.303443,4.01,4.86
11,22,2.2465,0.94471,2.93136,0.45145,*,*,4.561909,3.450612,*,3.212465,2.848356,2.751281,4.67141,3.01,3.46
11,24,*,*,*,*,*,*,4.032332,3.451514,3.254516,3.1846,2.798819,2.552583,4.900683,2.17,2.6
11,26,*,*,*,*,*,*,3.178257,*,*,*,*,*,*,1.15,1.59
11,28,*,*,*,*,*,*,2.386293,*,*,*,*,*,*,0.67,0.75
11,30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.52
11,32,*,*,*,*,*,*,1.88374,*,*,*,*,*,*,*,0.27
13,8,*,*,*,*,*,*,23.767951,24.411928,25.560073,24.422293,23.558056,24.998211,25.994365,*,*
13,10,*,*,*,*,*,*,17.916802,18.128935,18.958502,18.586532,18.143328,18.904919,19.376336,19.01,17.67
13,12,16.93054,0.00282,16.93843,0.00024,*,*,16.166712,15.995983,16.566995,16.182441,15.958284,16.270198,17.580381,16.53,17.26
13,14,13.05767,0.00013,13.05803,8e-05,*,*,14.308888,14.183942,14.220598,13.993148,14.196457,13.794719,15.395814,12.87,13.16
13,16,9.4362,0.0012,9.42843,0.00035,*,*,11.81261,11.967605,11.99013,11.670491,11.260838,11.083314,12.49864,9.41,8.78
13,18,7.15253,0.02472,7.15718,0.00365,*,*,8.28741,9.516344,9.188173,8.913736,8.090715,8.231594,9.682716,8.98,7.78
13,20,5.53873,0.1126,5.46933,0.01001,*,*,6.981825,6.643416,7.515749,7.253118,6.640897,6.642991,8.748643,6.46,6.63
13,22,5.26901,0.20842,5.29476,0.00798,*,*,6.220439,5.484256,5.100925,5.19992,4.856684,4.538612,6.360349,5.21,5.58
13,24,3.90697,0.3945,4.21214,0.23418,*,*,5.700989,5.06006,4.95928,4.853263,4.419293,4.252042,6.529856,4.16,5.09
13,26,2.72549,1.64309,*,*,*,*,4.913299,4.208192,3.917237,3.950884,3.625629,3.301965,5.66371,3.29,3.86
13,28,*,*,*,*,*,*,4.125904,3.404585,3.010352,3.165432,2.902768,2.654864,5.19506,2.92,2.56
