Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
2,4,0.97244,0.00076,0.97545,5e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
2,6,2.1397,0.00691,2.12505,0.0001,*,*,*,*,*,*,*,*,*,*,*,*,*
2,8,*,*,*,*,*,*,*,*,-2.102566,-3.239243,-3.5705,-1.599349,-2.073222,-1.320502,*,*,*
2,10,*,*,*,*,*,*,*,*,-4.935763,-6.138534,-7.020108,-5.264757,-5.221013,-4.165611,*,*,*
2,12,*,*,*,*,*,*,*,*,-5.261139,-7.213507,-8.051487,-6.849926,-6.481195,-6.448865,*,*,*
2,14,*,*,*,*,*,*,*,*,-5.167079,-7.28062,-8.363203,-6.693687,-6.10919,-5.990573,*,*,*
2,16,*,*,*,*,*,*,*,*,-5.566208,-7.307499,-8.335196,-6.44048,-5.709789,-5.633526,*,*,*
2,18,*,*,*,*,*,*,*,*,-5.877151,-7.134207,-8.153501,-6.2019,-5.321152,-5.337646,*,*,*
2,20,*,*,*,*,*,*,*,*,-5.862445,-6.906798,-7.894181,-6.004909,-5.201682,-5.209019,*,*,*
2,22,*,*,*,*,*,*,*,*,-5.475503,-6.60486,-7.761987,-5.815174,-5.287227,-5.042696,*,*,*
2,24,*,*,*,*,*,*,*,*,-5.499006,-6.599306,-7.638874,-5.989387,-5.612801,-5.425341,*,*,*
2,26,*,*,*,*,*,*,*,*,-6.403333,-7.638632,-8.420487,-7.068817,-6.575977,-6.87515,*,*,*
4,4,29.57591,0.00545,29.576,0.00545,*,*,*,*,*,*,*,*,*,*,*,*,*
4,6,8.47764,0.0004,8.47682,9e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
4,8,3.6728,0.015,3.67236,0.00191,*,*,*,*,*,*,*,*,*,*,*,*,*
4,10,1.26464,0.13309,1.2659,0.13226,*,*,*,*,*,-0.322965,-1.625082,-1.273506,-0.910027,-1.362232,*,*,*
4,12,*,*,*,*,*,*,*,*,*,-1.963692,-2.842595,-1.682457,-1.737343,-1.88683,*,*,*
4,14,*,*,*,*,*,*,*,*,*,-2.194511,-2.771288,-1.668632,-1.807091,-1.85248,*,*,*
4,16,*,*,*,*,*,*,*,*,-1.530705,-3.918487,-4.251389,-2.960105,-2.838536,-2.895896,*,*,*
4,18,*,*,*,*,*,*,*,*,-4.861031,-5.811371,-6.470155,-4.702243,-4.072816,-4.475046,*,*,*
4,20,*,*,*,*,*,*,*,*,-5.383166,-6.511683,-7.295125,-5.219581,-4.627869,-4.528577,*,*,*
4,22,*,*,*,*,*,*,*,*,-4.971206,-6.174586,-7.136567,-5.054967,-4.526551,-4.0107,*,*,*
4,24,*,*,*,*,*,*,*,*,-5.006461,-6.117143,-7.010636,-4.981138,-4.768602,-4.033919,*,*,*
4,26,*,*,*,*,*,*,*,*,-5.600082,-6.848339,-7.758231,-5.931678,-5.582975,-5.150135,*,*,*
4,28,*,*,*,*,*,*,*,*,-6.532542,-8.320443,-9.199771,-7.911702,-7.581694,-7.476156,*,*,*
4,30,*,*,*,*,*,*,*,*,-6.755851,-8.679791,-9.713734,-8.034596,-7.549169,-7.284077,*,*,*
4,32,*,*,*,*,*,*,*,*,-6.604494,-8.397395,-9.387134,-7.706081,-7.165558,-6.939388,*,*,*
4,34,*,*,*,*,*,*,*,*,-6.434218,-8.209314,-9.221309,-7.414568,-6.888176,-6.648524,*,*,*
6,4,35.53801,0.02307,35.50823,0.01824,*,*,*,*,*,*,*,*,*,*,*,*,*
6,6,31.84132,0.0004,31.84131,7e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
6,8,13.12274,0.0,13.12274,0.0,*,*,*,*,*,*,*,*,*,*,*,*,*
6,10,5.4684,0.00358,5.46839,0.00358,*,*,*,*,*,*,*,*,*,*,*,*,*
6,12,4.91058,0.03022,4.9175,0.03021,*,*,*,*,*,*,*,*,*,*,*,*,*
6,14,3.5112,0.24104,3.55834,0.23257,*,*,*,*,*,*,*,*,*,*,*,*,*
6,16,*,*,0.035,0.02,*,*,*,*,*,*,*,*,*,*,*,*,*
6,18,*,*,*,*,*,*,*,*,-2.291792,-2.580687,-2.897517,-1.797429,-1.717957,-2.499606,*,*,*
