Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,4,12.91338,0.05,12.91442,0.05,*,*,*,*,*,*,*,*,*,*,*,*,*
3,6,6.09651,0.00194,6.09484,0.00019,*,*,*,*,*,*,*,*,*,*,*,*,*
3,8,0.29959,0.01939,0.36928,0.00064,*,*,*,*,*,*,*,*,*,*,*,*,*
3,10,*,*,*,*,*,*,*,*,-2.024772,-3.09705,-4.169312,-3.104869,-2.910767,-2.618041,*,*,*
3,12,*,*,*,*,*,*,*,*,-2.474381,-4.413004,-5.29833,-4.239824,-3.934631,-4.120705,*,*,*
3,14,*,*,*,*,*,*,*,*,-2.418262,-4.590863,-5.39266,-4.06163,-3.796284,-3.806607,*,*,*
3,16,*,*,*,*,*,*,*,*,-3.424575,-5.498493,-6.158666,-4.574393,-4.136722,-4.136798,*,*,*
3,18,*,*,*,*,*,*,*,*,-5.279177,-6.435515,-7.256188,-5.356729,-4.6447,-4.812532,*,*,*
3,20,*,*,*,*,*,*,*,*,-5.589209,-6.68247,-7.566646,-5.598752,-4.866595,-4.815829,*,*,*
3,22,*,*,*,*,*,*,*,*,-5.203038,-6.366468,-7.408472,-5.446806,-4.888512,-4.574323,*,*,*
3,24,*,*,*,*,*,*,*,*,-5.24213,-6.330703,-7.299357,-5.479664,-5.169556,-4.750339,*,*,*
3,26,*,*,*,*,*,*,*,*,-5.978283,-7.252086,-8.067542,-6.464478,-6.080757,-5.969051,*,*,*
5,4,31.5953,0.07072,31.4027,0.02517,*,*,*,*,*,*,*,*,*,*,*,*,*
5,6,19.89038,0.00107,19.89142,0.0009,*,*,*,*,*,*,*,*,*,*,*,*,*
5,8,8.2484,0.001,8.24839,0.001,*,*,*,*,*,*,*,*,*,*,*,*,*
5,10,3.73252,0.0224,3.74634,0.02106,*,*,*,*,*,*,*,*,*,*,*,*,*
5,12,1.3441,0.17233,1.38456,0.20518,*,*,*,*,*,*,*,*,*,*,*,*,*
5,14,*,*,0.08871,0.56362,*,*,*,*,*,*,*,*,*,*,*,*,*
5,16,*,*,*,*,*,*,*,*,*,-1.146624,-1.357352,-0.364397,-0.336387,-0.402309,*,*,*
5,18,*,*,*,*,*,*,*,*,-3.474812,-4.140576,-4.611075,-3.16125,-2.816411,-3.392375,*,*,*
5,20,*,*,*,*,*,*,*,*,-4.411611,-5.411276,-6.078734,-4.275563,-3.660013,-3.775295,*,*,*
5,22,*,*,*,*,*,*,*,*,-4.373656,-5.538892,-6.501601,-4.50998,-4.049252,-3.573463,*,*,*
5,24,*,*,*,*,*,*,*,*,-4.543375,-5.773065,-6.734418,-4.704825,-4.417432,-3.693187,*,*,*
5,26,*,*,*,*,*,*,*,*,-4.918029,-6.381339,-7.280504,-5.460297,-5.180433,-4.663783,*,*,*
5,28,*,*,*,*,*,*,*,*,-5.392721,-7.326937,-8.275041,-6.92402,-6.590424,-6.644156,*,*,*
5,30,*,*,*,*,*,*,*,*,-5.448692,-7.745346,-8.690711,-7.155318,-6.680754,-6.608923,*,*,*
5,32,*,*,*,*,*,*,*,*,-5.39037,-7.637275,-8.579543,-6.940762,-6.428039,-6.301184,*,*,*
5,34,*,*,*,*,*,*,*,*,-5.654833,-7.610564,-8.477061,-6.785873,-6.325857,-6.142961,*,*,*
7,6,35.10072,0.04616,35.10071,0.04615,*,*,*,*,*,*,*,*,*,*,*,*,*
7,8,21.38668,0.00027,21.38668,0.00027,*,*,*,*,*,*,*,*,*,*,*,*,*
7,10,8.3727,0.01501,8.37399,0.015,*,*,*,*,*,*,*,*,*,*,*,*,*
7,12,8.15187,0.02223,8.15643,0.02223,*,*,*,*,*,*,*,*,*,*,*,*,*
7,14,6.7536,0.09645,6.767,0.13505,*,*,*,*,*,*,*,*,*,*,*,*,*
7,16,*,*,4.65412,0.44142,*,*,*,*,*,*,*,*,*,*,*,*,*
7,18,*,*,*,*,*,*,*,*,-0.056563,-0.091686,-0.395654,*,*,-0.470226,*,*,*
7,20,*,*,*,*,*,*,*,*,-1.555533,-2.490091,-2.77883,-1.640526,-1.2312,-1.709702,*,*,*
7,22,*,*,*,*,*,*,*,*,-2.520464,-3.803338,-4.942363,-3.298626,-2.90981,-2.561856,*,*,*
7,24,*,*,*,*,*,*,*,*,-2.935185,-4.480593,-5.62934,-3.82268,-3.50114,-3.007864,*,*,*
7,26,*,*,*,*,*,*,*,*,-2.97502,-4.737865,-5.781511,-4.140916,-3.859981,-3.595343,*,*,*
7,28,*,*,*,*,*,*,*,*,-2.902707,-5.02447,-5.964739,-4.594808,-4.236087,-4.495246,*,*,*
7,30,*,*,*,*,*,*,*,*,-2.802636,-5.327303,-6.099056,-4.718664,-4.37593,-4.565684,*,*,*
7,32,*,*,*,*,*,*,*,*,-2.835865,-5.550592,-6.141182,-4.705541,-4.354605,-4.454833,*,*,*
7,34,*,*,*,*,*,*,*,*,-3.969588,-6.120707,-6.648832,-5.214264,-4.864603,-4.771308,*,*,*
7,36,*,*,*,*,*,*,*,*,-5.626448,-6.702337,-7.440321,-5.936402,-5.571821,-5.24323,*,*,*
9,8,30.9663,0.13379,30.75768,0.014,*,*,*,*,*,*,*,*,*,*,*,*,*
9,10,19.58172,0.00026,19.58178,0.00025,*,*,*,*,*,*,*,*,*,*,*,*,*
9,12,14.7028,0.0018,14.70279,0.0018,*,*,*,*,*,*,*,*,*,*,*,*,*
9,14,12.76534,0.07956,12.80977,0.03337,*,*,*,*,*,*,*,*,*,*,*,*,*
9,16,8.19968,0.1264,8.09373,0.10204,*,*,*,*,*,*,*,*,*,*,*,*,*
9,18,2.48848,0.38929,2.02652,0.40158,*,*,*,*,*,*,*,*,*,*,*,*,*
9,20,*,*,1.44273,0.6542,*,*,*,*,*,*,*,*,*,*,*,*,*
9,22,*,*,*,*,*,*,*,*,*,-0.808818,-2.016983,-0.84865,-0.649331,-0.629485,*,*,-0.05
9,24,*,*,*,*,*,*,*,*,*,-1.023175,-1.94766,-0.941191,-0.827518,-0.925637,*,-1.68,-2.19
9,26,*,*,*,*,*,*,*,*,-0.11587,-1.980913,-2.934905,-1.792452,-1.562841,-1.833301,*,-4.06,-2.2
9,28,*,*,*,*,*,*,*,*,-0.590007,-2.629952,-3.523485,-2.305013,-1.981759,-2.221398,*,-1.14,-2.58
9,30,*,*,*,*,*,*,*,*,-0.796586,-2.965408,-3.804526,-2.440116,-2.13532,-2.308141,*,-7.75,*
9,32,*,*,*,*,*,*,*,*,-0.703513,-3.042937,-3.580908,-2.240658,-1.936278,-2.310697,*,-4.36,*
9,34,*,*,*,*,*,*,*,*,-2.295737,-4.283133,-4.649631,-3.186438,-2.859025,-2.825212,*,-8.46,*
9,36,*,*,*,*,*,*,*,*,-5.290342,-5.889871,-6.699493,-5.251895,-4.901565,-4.747244,*,-5.04,*
9,38,*,*,*,*,*,*,*,*,-5.861152,-6.747793,-7.656167,-5.970358,-5.295241,-5.166866,*,*,*
9,40,*,*,*,*,*,*,*,*,-5.214079,-6.774491,-7.736877,-5.804341,-5.056892,-4.959279,*,*,*
11,8,*,*,38.38646,1.00141,*,*,*,*,*,*,*,*,*,*,*,*,*
11,10,31.2536,0.01202,31.25666,0.01054,*,*,*,*,*,*,*,*,*,*,*,*,*
11,12,23.48833,0.0007,23.48786,0.0001,*,*,*,*,*,*,*,*,*,*,*,*,*
11,14,15.9706,0.0012,15.97059,0.0012,*,*,*,*,*,*,*,*,*,*,*,*,*
11,16,12.30225,0.0037,12.30261,0.00391,*,*,*,*,*,*,*,*,*,*,*,*,*
11,18,7.96019,0.0135,7.94485,0.00823,*,*,*,*,*,*,*,*,*,*,*,*,*
11,20,6.15287,0.21172,6.5766,0.01578,*,*,*,*,*,*,*,*,*,*,*,*,*
11,22,3.90811,0.90016,4.60856,0.45013,*,*,*,*,*,*,*,*,*,*,*,*,*
11,28,*,*,*,*,*,*,*,*,*,-0.085451,-0.908332,-0.019124,*,-0.165675,*,*,-0.55
11,30,*,*,*,*,*,*,*,*,*,-0.719724,-1.831453,-0.459379,-0.077242,-0.478609,*,-3.4,-1.19
11,32,*,*,*,*,*,*,*,*,*,-0.820223,-1.736719,-0.395507,-0.010316,-0.561127,*,-3.8,-1.69
11,34,*,*,*,*,*,*,*,*,-0.796437,-2.402432,-2.931524,-1.27191,-0.850537,-0.850995,*,-5.08,*
11,36,*,*,*,*,*,*,*,*,-4.525999,-4.950366,-5.821716,-4.409798,-3.950269,-4.289673,*,-3.74,*
11,38,*,*,*,*,*,*,*,*,-4.582521,-6.004588,-6.638585,-5.100621,-4.371457,-4.548807,*,-6.3,*
11,40,*,*,*,*,*,*,*,*,-3.735757,-5.814494,-6.657991,-4.976978,-4.255914,-4.117848,*,-8.62,*
11,42,*,*,*,*,*,*,*,*,-5.449048,-5.615237,-6.595565,-4.868708,-4.244265,-4.01962,*,-6.17,*
11,44,*,*,*,*,*,*,*,*,-2.805437,-5.850378,-6.433242,-4.717257,-4.19945,-4.173188,*,-8.62,*
11,46,*,*,*,*,*,*,*,*,-4.628779,-6.025652,-6.820046,-5.022974,-4.143269,-4.296064,*,*,*
11,48,*,*,*,*,*,*,*,*,-4.935835,-6.1611,-7.029182,-4.966845,-4.310201,-4.221395,*,*,*
11,50,*,*,*,*,*,*,*,*,-5.035987,-6.248704,-7.137793,-5.096228,-4.537578,-4.19215,*,*,*
11,52,*,*,*,*,*,*,*,*,-5.004111,-6.758642,-7.441427,-5.681081,-5.169425,-4.869667,*,*,*
13,12,31.82838,0.01865,31.80668,0.00035,*,*,*,*,*,*,*,*,*,*,*,*,*
13,14,24.42312,0.00049,24.42352,8e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
13,16,17.1613,0.0012,17.15353,0.00035,*,*,*,*,*,*,*,*,*,*,*,*,*
13,18,12.88094,0.02038,12.88558,0.00226,*,*,*,*,*,*,*,*,*,*,*,*,*
13,20,9.71838,0.07554,9.68931,0.00734,*,*,*,*,*,*,*,*,*,*,*,*,*
13,22,7.74345,0.18962,7.86898,0.01015,*,*,*,*,*,*,*,*,*,*,*,*,*
13,24,6.06612,0.37443,6.10934,0.18039,*,*,*,*,*,*,*,*,*,*,*,*,*
13,26,4.69254,1.50852,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
13,30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.87,*
13,32,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-1.19,*
13,34,*,*,*,*,*,*,*,*,*,-0.400409,-1.111656,*,*,*,*,-1.5,-1.09
