Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
2    2    -21.67            *            *            *            *            *            
2    3    -21.5165          *            *            -0.1535      *            *            
2    4    -27.393           *            *            5.8765       5.723        *            
2    5    -21.806           *            *            -5.587       0.2895       *            
2    6    -28.549           *            *            6.743        1.156        *            
3    2    -19.919           -1.751       *            *            *            *            
3    3    -27.317           5.8005       *            7.398        *            *            
3    4    -38.04            10.647       *            10.723       18.121       *            
3    5    -36.54775         14.74175     *            -1.49225     9.23075      *            
3    6    -42.5255          13.9765      *            5.97775      4.4855       *            
4    2    -24.198           4.279        2.528        *            *            *            
4    3    -36.4875          9.1705       14.971       12.2895      *            *            
4    4    -49.397           11.357       22.004       12.9095      25.199       0.573        
4    5    -54.2745          17.72675     32.4685      4.8775       17.787       -4.458       
4    6    -61.762           19.2365      33.213       7.4875       12.365       -6.069       
4    7    -64.403           *            *            2.641        10.1285      -14.297      
4    8    -69.034           *            *            4.631        7.272        -12.185      
5    4    -51.229           1.832        13.189       *            *            -3.01        
5    5    -59.2505          4.976        22.70275     8.0215       *            -3.6335      
5    6    -71.262           9.5          28.7365      12.0115      20.033       -4.922       
5    7    -76.62775         12.22475     *            5.36575      17.37725     -11.78       
5    8    -82.9885          13.9545      *            6.36075      11.7265      -12.163      
6    4    -56.351           5.122        6.954        *            *            -3.853       
6    5    -68.5015          9.251        14.227       12.1505      *            -3.714       
6    6    -86.022           14.76        24.26        17.5205      29.671       -8.325       
6    7    -95.1625          18.53475     30.7595      9.1405       26.661       -12.588      
6    8    -104.303          21.3145      35.269       9.1405       18.281       -14.241      
6    9    -103.5135         *            *            -0.7895      8.351        -10.8105     
6    10   -109.314          *            *            5.8005       5.011        -11.98       
6    11   -104.362          *            *            -4.952       0.8485       *            
6    12   -113.33           *            *            8.968        4.016        *            
6    13   -109.212          *            *            -4.118       4.85         *            
6    14   -116.634          *            *            7.422        3.304        *            
6    15   -111.1415         *            *            -5.4925      1.9295       *            
6    16   -116.879          *            *            5.7375       0.245        *            
7    4    -55.7895          -0.5615      4.5605       *            *            *            
7    5    -70.47225         1.97075      11.22175     14.68275     *            *            
7    6    -91.665           5.643        20.403       21.19275     35.8755      -12.136      
7    7    -102.81025        7.64775      26.1825      11.14525     32.338       -15.25975    
7    8    -114.7855         10.4825      31.797       11.97525     23.1205      -15.2235     
7    9    -116.02525        12.51175     *            1.23975      13.215       -11.0975     
7    10   -123.985          14.671       *            7.95975      9.1995       -12.6965     
7    11   -120.7285         16.3665      *            -3.2565      4.70325      *            
7    12   -132.277          18.947       *            11.5485      8.292        *            
7    13   -128.46525        19.25325     *            -3.81175     7.73675      *            
7    14   -138.5735         21.9395      *            10.10825     6.2965       *            
7    15   -134.152          23.0105      *            -4.4215      5.68675      *            
7    16   -140.7405         23.8615      *            6.5885       2.167        *            
8    4    -57.808           2.0185       1.457        *            *            *            
8    5    -73.733           3.26075      5.2315       15.925       *            *            
8    6    -97.308           5.643        11.286       23.575       39.5         -12.657      
8    7    -111.193          8.38275      16.0305      13.885       37.46        -14.3915     
8    8    -126.738          11.9525      22.435       15.545       29.43        -12.416      
8    9    -130.022          13.99675     26.5085      3.284        18.829       -6.5595      
8    10   -140.156          16.171       30.842       10.134       13.418       -7.553       
8    11   -137.845          17.1165      33.483       -2.311       7.823        -6.0315      
8    12   -151.224          18.947       37.894       13.379       11.068       -13.61       
8    13   -147.7185         19.25325     38.5065      -3.5055      9.8735       -15.0565     
8    14   -160.513          21.9395      43.879       12.7945      9.289        -18.883      
8    15   -158.5975         24.4455      47.456       -1.9155      10.879       -21.0855     
8    16   -167.472          26.7315      50.593       8.8745       6.959        -22.538      
8    17   -164.022          *            *            -3.45        5.4245       -24.5805     
8    18   -170.172          *            *            6.15         2.7          -24.993      
8    19   -165.861          *            *            -4.311       1.839        *            
8    20   -171.23           *            *            5.369        1.058        *            
9    8    -125.98           -0.758       11.1945      *            *            -6.015       
9    9    -135.15725        5.13525      19.132       9.17725      *            -4.047       
9    10   -147.7595         7.6035       23.7745      12.60225     21.7795      -4.674       
9    11   -150.756          12.911       30.0275      2.9965       15.59875     -6.43075     
9    12   -162.1925         10.9685      29.9155      11.4365      14.433       -9.9075      
9    13   -162.16975        14.45125     33.7045      -0.02275     11.41375     -13.14125    
9    14   -171.937          11.424       33.3635      9.76725      9.7445       -11.36       
9    15   -172.01875        13.42125     37.86675     0.08175      9.849        -15.2535     
9    16   -180.2905         12.8185      39.55        8.27175      8.3535       -13.417      
9    17   -178.1735         14.1515      *            -2.117       6.15475      -15.7215     
9    18   -185.4465         15.2745      *            7.273        5.156        -16.406      
9    19   -183.384          17.523       *            -2.0625      5.2105       *            
9    20   -189.0015         17.7715      *            5.6175       3.555        *            
10   8    -132.232          6.252        5.494        *            *            -6.624       
10   9    -143.7975         8.64025      13.7755      11.5655      *            -4.3045      
10   10   -155.363          7.6035       15.207       11.5655      23.131       -0.325       
10   11   -164.577          13.821       26.732       9.214        20.7795      -6.255       
10   12   -174.981          12.7885      23.757       10.404       19.618       -6.525       
10   13   -180.006          17.83625     32.2875      5.025        15.429       -13.861      
10   14   -188.311          16.374       27.798       8.305        13.33        -8.787       
10   15   -191.075          19.05625     32.4775      2.764        11.069       -15.0565     
10   16   -199.429          19.1385      31.957       8.354        11.118       -10.616      
10   17   -198.725          20.5515      34.703       -0.704       7.65         -11.8275     
10   18   -207.201          21.7545      37.029       8.476        7.772        -11.429      
10   19   -207.432          24.048       41.571       0.231        8.707        -15.11       
10   20   -213.343          24.3415      42.113       5.911        6.142        -14.871      
11   8    -124.9145         -7.3175      -1.0655      *            *            *            
11   9    -141.8235         -1.974       6.66625      16.909       *            *            
11   10   -159.5325         4.1695       11.773       17.709       34.618       -5.2525      
11   11   -170.5775         6.0005       19.8215      11.045       28.754       -7.12025     
11   12   -183.0175         8.0365       20.825       12.44        23.485       -6.958       
11   13   -188.1505         8.1445       25.98075     5.133        17.573       -9.0945      
11   14   -194.9235         6.6125       22.9865      6.773        11.906       -4.431       
11   15   -200.2315         9.1565       28.21275     5.308        12.081       -9.76175     
11   16   -209.5995         10.1705      29.309       9.368        14.676       -9.3625      
11   17   -209.04775        10.32275     30.87425     -0.55175     8.81625      -8.729       
11   18   -216.901          9.7          31.4545      7.85325      7.3015       -8.3105      
11   19   -218.2435         10.8115      34.8595      1.3425       9.19575      -11.77       
11   20   -224.976          11.633       35.9745      6.7325       8.075        -11.2295     
12   8    -134.087          9.1725       1.855        *            *            *            
12   9    -148.9895         7.166        5.192        14.9025      *            *            
12   10   -165.492          5.9595       10.129       16.5025      31.405       -4.96        
12   11   -178.383          7.8055       13.806       12.891       29.3935      -6.2855      
12   12   -192.874          9.8565       17.893       14.491       27.382       -9.211       
12   13   -202.33           14.1795      22.324       9.456        23.947       -9.453       
12   14   -211.786          16.8625      23.475       9.456        18.912       -8.505       
12   15   -218.548          18.3165      27.473       6.762        16.218       -10.242      
12   16   -227.84           18.2405      28.411       9.292        16.054       -11.229      
12   17   -229.9505         20.90275     31.2255      2.1105       11.4025      -10.5755     
12   18   -239.691          22.79        32.49        9.7405       11.851       -11.962      
12   19   -242.505          24.2615      35.073       2.814        12.5545      -15.48       
12   20   -250.419          25.443       37.076       7.914        10.728       -14.918      
12   21   -249.719          *            *            -0.7         7.214        -13.987      
12   22   -254.679          *            *            4.96         4.26         -13.036      
12   23   -251.6485         *            *            -3.0305      1.9295       *            
12   24   -259.578          *            *            7.9295       4.899        *            
12   25   -254.242          *            *            -5.336       2.5935       *            
12   26   -261.996          *            *            7.754        2.418        *            
12   27   -253.9355         *            *            -8.0605      -0.3065      *            
12   28   -262.985          *            *            9.0495       0.989        *            
13   10   -163.0315         -2.4605      3.499        *            *            -9.817       
