Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
2    4    6.196474          5.203267          4.4658            3.015476          4.326362          3.56613           4.75056           4.40656           5.78756           1.76456           
2    6    0.400608          -1.16138          -1.737301         -0.696936         -1.366929         -0.773963         -0.9837           -0.8777           0.3923            -0.1117           
2    8    *                 *                 *                 *                 *                 *                 *                 *                 *                 1.14353           
4    4    -7.857852         -6.977503         -7.572366         -8.712358         -6.111821         -7.13194          -4.37691          -3.54491          -7.64991          *                 
4    6    6.818161          5.741684          6.042027          6.041575          5.745762          6.620569          3.88736           3.32636           7.75236           4.63336           
4    8    2.304238          2.121739          2.484469          3.305088          1.634078          2.703436          3.5992            4.4112            4.8792            5.3262            
4    10   -0.690269         *                 *                 *                 *                 *                 *                 *                 *                 -0.63164          
6    4    -1.392046         0.056808          0.28851           -2.157344         0.68865           -0.217367         *                 *                 *                 *                 
6    6    -4.436241         -5.135988         -4.797457         -4.661531         -4.256716         -2.803306         -2.17032          -3.21432          -2.23932          -3.72032          
6    8    2.306417          3.071725          3.554857          3.452557          2.049517          3.57256           5.15826           6.26826           5.14926           4.66226           
6    10   2.75684           2.016537          1.011824          0.746309          1.492886          -0.040501         -0.4574           -0.6084           0.2816            0.6426            
6    12   1.570864          0.186196          -0.828776         -0.211097         -0.203163         -0.876054         -0.89458          -1.00258          0.20142           0.68342           
6    14   2.351071          0.342829          -0.10756          0.44747           0.271576          -0.058214         -0.2072           0.5608            0.2518            0.7098            
8    6    -3.678284         -3.514467         -2.940791         -3.800827         -3.035691         -1.305426         -0.68323          -0.79623          -1.31323          -3.79123          
8    8    -3.936989         -2.953019         -2.377674         -2.602767         -4.072993         -1.161093         0.54301           1.91401           0.21301           -0.29399          
8    10   3.702672          3.392704          2.707814          2.408161          3.144698          2.230571          1.23085           0.77885           1.78085           1.41385           
