Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
4,3,10.67623,0.00545,10.67735,0.00545,*,*,16.0931,3.377708,8.937232,15.983833,16.258672,16.466262,*,*,*
4,5,1.66534,0.0004,1.66454,8e-05,*,*,4.227198,3.748223,3.396512,4.384826,4.422806,5.162957,4.759519,*,*
4,7,0.50392,0.00634,0.50164,0.00025,*,*,*,*,*,0.768293,0.202857,0.962123,0.456812,*,*
6,3,14.25489,0.02317,14.22461,0.01837,*,*,9.453809,8.544494,2.557536,2.987482,9.177109,9.362341,*,*,*
6,5,13.11966,0.00088,13.12059,9e-05,*,*,10.587226,10.296875,9.879112,10.740053,11.240328,12.105987,11.773088,*,*
6,7,4.94631,0.0,4.94631,0.0,*,*,4.735447,5.118022,4.832684,5.440404,5.133452,5.90942,5.528189,*,*
6,9,1.21807,0.0008,1.21807,0.0008,*,*,1.650185,1.154519,0.326359,0.761496,1.502586,0.766071,0.324537,*,*
6,11,0.72661,0.01774,0.73355,0.01773,*,*,1.036156,0.244445,*,0.410658,0.672917,1.694975,0.271479,*,*
6,13,0.57683,0.0937,0.57683,0.0937,*,*,0.790987,*,*,0.052183,0.315336,1.444165,0.038178,*,*
8,3,*,*,*,*,*,*,3.908266,*,3.279132,*,*,*,*,*,*
8,5,17.00684,0.02078,16.8705,0.02582,*,*,15.364223,15.501943,15.200999,15.397151,16.185539,17.115798,16.884036,*,*
8,7,13.22307,0.0005,13.22349,0.00049,*,*,9.623889,10.146416,9.902438,10.33361,10.071339,11.442618,11.065914,*,*
8,9,4.14313,0.00011,4.14308,0.0,*,*,5.596709,5.311202,4.62634,4.88045,5.75818,5.169313,4.773992,4.42,4.05
8,11,3.95492,0.00276,3.95564,0.00264,*,*,4.773977,3.994826,3.483688,3.868705,4.401949,4.128977,4.021617,3.11,3.85
8,13,3.80587,0.01203,3.80545,0.01203,*,*,3.946665,3.077788,2.628126,3.068775,3.471699,3.227743,3.259096,2.17,2.23
8,15,2.74251,0.13451,2.73298,0.13436,*,*,2.122447,1.447712,1.064085,1.580843,1.934984,1.808532,1.470372,0.77,2.59
8,25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.16
10,3,*,*,*,*,*,*,*,10.391842,10.630837,10.504031,*,10.588124,*,*,*
10,5,*,*,*,*,*,*,19.038407,19.369108,19.04644,18.609355,19.878983,19.96987,19.863452,*,*
10,7,15.60688,0.03385,15.55765,0.02048,*,*,13.523763,14.285749,14.166127,14.402378,14.376569,15.794922,15.469521,*,*
