Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,3,5.66341,0.05,5.66332,0.05,*,*,2.798064,2.93638,1.786549,2.188816,3.664078,3.126188,2.632441,*,*
3,5,2.03261,5e-05,2.03262,5e-05,*,*,1.096331,0.542144,*,1.423272,1.344148,2.068478,1.650082,*,*
5,3,13.01817,0.07072,12.8263,0.02517,*,*,9.799044,10.488155,9.574545,9.42376,11.367655,10.656134,10.226871,*,*
5,5,8.43627,0.00106,8.4372,0.0009,*,*,7.529266,7.177173,6.743149,7.567175,7.940679,8.630993,8.282997,*,*
5,7,3.37035,0.00146,3.36963,0.00132,*,*,2.421439,2.569733,2.273005,3.125941,2.783748,3.46778,3.034475,*,*
5,9,0.9698,0.02124,0.96958,0.02124,*,*,*,*,*,*,*,*,*,*,*
7,3,*,*,*,*,*,*,14.82401,15.874805,15.300968,14.563773,16.339486,15.645428,15.389142,*,*
7,5,15.0368,0.04617,15.03681,0.04616,*,*,13.021022,12.954589,12.565842,12.963454,13.707696,14.477688,14.177524,*,*
7,7,10.55338,0.00027,10.55338,0.00027,*,*,7.232557,7.687613,7.417736,7.903584,7.683775,8.68964,8.315014,*,*
7,9,2.4891,0.00262,2.48885,0.0023,*,*,3.685341,3.302045,2.539946,2.842735,3.699834,2.986354,2.582787,*,*
7,11,2.82822,0.02387,2.82823,0.02387,*,*,2.954487,2.191928,1.594431,2.171639,2.612161,2.950917,2.17782,*,*
7,13,2.16834,0.05796,2.1611,0.08058,*,*,2.42203,1.444471,1.044613,1.614326,1.951906,2.388807,1.710219,*,*
7,15,1.28381,0.21443,1.53843,0.24727,*,*,0.864444,0.021127,*,0.377699,0.720371,0.663537,0.340899,*,*
9,3,*,*,*,*,*,*,17.79,19.014034,18.607261,17.326625,19.004462,18.063643,17.959899,*,*
9,5,*,*,*,*,*,*,17.16627,17.369472,17.024609,16.83252,17.928349,18.358833,18.154802,*,*
9,7,14.16644,0.13405,13.95782,0.01629,*,*,11.606973,12.257998,12.04876,12.335521,12.257696,13.567244,13.218519,*,*
9,9,9.14932,0.00059,9.14991,0.00053,*,*,7.257406,7.143967,6.520811,6.892231,7.718929,7.452031,7.056789,7.51,9.91
9,11,6.60134,3e-05,6.60134,3e-05,*,*,6.568542,5.747956,5.483633,5.772435,6.264019,6.13208,5.936485,5.67,9.87
9,13,5.23039,0.01253,5.23034,0.01253,*,*,5.263264,4.68072,4.033931,4.402295,5.107095,4.521815,4.501956,4.64,3.41
9,15,3.84154,0.10748,3.81206,0.1032,*,*,3.353784,2.831601,2.472782,2.889892,3.186524,3.031805,2.727178,2.9,4.07
9,17,1.07225,0.19339,0.75661,0.1472,*,*,0.224196,0.325203,0.089937,0.632382,0.717786,0.471171,*,0.95,*
9,19,*,*,*,*,*,*,*,*,*,*,*,*,*,0.25,*
11,3,*,*,*,*,*,*,19.857447,21.050127,20.671627,19.104293,20.755232,19.553246,19.512443,*,*
11,5,*,*,*,*,*,*,20.415903,20.791114,20.387969,19.745937,21.150662,21.023303,20.968305,*,*
11,7,*,*,18.20654,1.00575,*,*,15.368607,16.166466,16.039539,16.064624,16.143839,17.445955,17.231402,*,*
11,9,14.15041,0.01373,14.1501,0.01059,*,*,10.638641,10.550185,10.3574,10.794068,11.356507,11.67737,11.230468,12.92,14.36
11,11,11.06959,0.00081,11.0682,0.0002,*,*,9.883572,9.269524,9.174497,9.322291,9.820325,9.959987,9.646184,9.98,10.29
11,13,6.95958,8e-05,6.95937,2e-05,*,*,7.769625,7.539907,6.750689,7.082968,8.208665,7.289061,7.216512,6.57,6.61
11,15,5.57582,0.00595,5.57428,0.0037,*,*,5.717498,5.540926,5.133444,5.388066,5.70373,5.400598,5.147447,5.15,6.03
11,17,3.54313,0.0135,3.54184,0.0109,*,*,2.476227,2.793807,2.629462,2.996265,2.906041,2.891442,2.282255,3.66,3.35
11,19,2.37523,0.02833,2.27664,0.00873,*,*,1.602472,1.270713,1.270636,1.607691,1.792685,1.610958,1.421527,2.07,1.3
11,21,1.66161,0.41415,1.6772,0.03979,*,*,1.210716,*,*,*,0.13827,0.029963,*,1.38,0.42
11,23,*,*,0.17132,0.74948,*,*,0.791542,*,*,0.126048,0.318904,0.160561,*,0.67,0.32
11,25,*,*,*,*,*,*,0.006604,*,*,*,*,*,*,*,*
