Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
3,4,12.91338,0.05,12.91442,0.05,*,*,14.910809,14.810727,14.164197,12.045544,14.663091,13.085099,13.403262,*,*
3,6,6.09651,0.00194,6.09484,0.00019,*,*,9.232785,7.940949,7.752871,8.180128,7.896722,8.443136,18.938728,*,*
3,8,0.29959,0.01939,0.36928,0.00064,*,*,2.201045,1.526354,1.578897,2.729825,1.8809,2.585378,21.262884,*,*
3,10,*,*,*,*,*,*,*,*,*,*,*,*,21.403677,*,*
3,12,*,*,*,*,*,*,*,*,*,*,*,*,22.650747,*,*
5,4,31.5953,0.07072,31.4027,0.02517,*,*,28.077667,29.099148,28.96267,26.616667,29.616972,28.267757,16.294733,*,*
5,6,19.89038,0.00107,19.89142,0.0009,*,*,21.594548,20.771575,20.99244,20.858973,21.122226,22.061153,19.90813,*,*
5,8,8.2484,0.001,8.24839,0.001,*,*,10.939263,11.216008,11.623707,11.819778,10.470754,11.599785,20.657483,*,*
5,10,3.73252,0.0224,3.74634,0.02106,*,*,4.575429,3.728081,2.58416,2.585247,3.196183,2.160013,20.225951,*,*
5,12,1.3441,0.17233,1.38456,0.20518,*,*,3.412372,1.758393,0.747543,1.567249,1.666139,1.153445,23.10492,*,*
5,14,*,*,0.08871,0.56362,*,*,3.095942,0.983308,0.484686,1.245472,1.140648,0.91115,26.061485,*,*
5,16,*,*,*,*,*,*,1.046947,*,*,*,*,*,27.974772,*,*
5,18,*,*,*,*,*,*,*,*,*,*,*,*,27.851643,*,*
5,20,*,*,*,*,*,*,*,*,*,*,*,*,28.542667,*,*
7,4,*,*,*,*,*,*,37.528879,39.279059,39.830141,36.649843,39.11206,38.015899,18.119962,*,*
7,6,35.10072,0.04616,35.10071,0.04615,*,*,32.045608,31.797406,32.194724,31.5708,32.355596,33.691501,20.06208,*,*
7,8,21.38668,0.00027,21.38668,0.00027,*,*,20.295356,21.175005,21.693807,21.462914,20.155887,22.237839,19.404059,*,*
7,10,8.3727,0.01501,8.37399,0.015,*,*,12.181319,11.670765,10.814787,10.448534,11.285469,9.960134,18.133584,*,*
7,12,8.15187,0.02223,8.15643,0.02223,*,*,10.196742,8.875118,8.023387,8.305051,8.543529,7.843677,21.412795,*,*
7,14,6.7536,0.09645,6.767,0.13505,*,*,9.050459,7.258461,6.829877,7.141798,7.043982,6.631759,24.45889,*,*
7,16,*,*,4.65412,0.44142,*,*,5.988465,4.335397,4.141004,4.632645,4.54357,4.409573,25.967881,*,*
