Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
4    2    -1.37209          -1.37218          *                 0.00545           0.00545           *                 4.394452          3.488855          2.756413          1.410638          3.254171          2.273563          2.528             2.083             3.482             *                 
4    4    27.23137          27.22837          *                 0.00076           6e-05             *                 18.943596         19.911555         19.321716         18.286275         21.419458         20.178963         22.004            22.735            18.648            15.224            
4    6    33.56931          33.58013          *                 0.00688           0.00012           *                 31.699089         33.152559         33.438984         31.362726         34.870089         33.911434         33.213            33.277            32.346            26.307            
4    8    38.31064          38.69732          *                 0.07159           0.09287           *                 39.778692         42.18634          43.166752         39.939963         42.250188         41.608171         *                 *                 *                 35.231            
4    10   *                 *                 *                 *                 *                 *                 45.288825         *                 *                 *                 *                 *                 *                 *                 *                 *                 
4    12   *                 *                 *                 *                 *                 *                 50.619071         *                 *                 *                 *                 *                 *                 *                 *                 *                 
4    14   *                 *                 *                 *                 *                 *                 55.826085         *                 *                 *                 *                 *                 *                 *                 *                 *                 
6    2    -2.14117          -2.11129          *                 0.0237            0.01904           *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 
6    4    3.82093           3.82094           *                 0.0004            8e-05             *                 10.817029         9.790339          10.099179         10.214857         9.440334          10.650364         6.954             6.325             10.953            8.102             
6    6    27.18461          27.18543          *                 0.0004            8e-05             *                 22.926307         22.276348         22.623375         22.87543          22.801536         24.590169         24.26             23.148            24.325            23.112            
6    8    36.63455          36.63581          *                 0.01501           0.00191           *                 32.378426         32.676274         33.143703         32.472839         32.666915         34.909234         35.269            34.455            34.045            31.898            
6    10   40.83831          40.83831          *                 0.13229           0.13229           *                 40.029295         40.484175         41.249008         39.961053         40.538226         41.699363         *                 *                 *                 37.376            
6    12   *                 47.10581          *                 *                 0.16849           *                 46.441631         47.544642         48.173406         46.342992         46.982985         47.620718         *                 *                 *                 42.861            
6    14   *                 *                 *                 *                 *                 *                 52.263965         53.593182         54.348332         51.970293         52.572851         52.926184         *                 *                 *                 *                 
6    16   *                 *                 *                 *                 *                 *                 57.168009         58.905568         59.855358         56.930628         57.357836         57.677355         *                 *                 *                 *                 
8    4    -1.77133          -1.638            *                 0.01846           0.024             *                 0.452513          0.440942          0.518453          1.576178          *                 1.031653          1.457             1.551             2.107             2.844             
8    6    6.57059           6.57016           *                 0.00011           3e-05             *                 9.55238           10.404373         10.717029         10.778793         9.428947          10.871443         11.286            12.311            11.375            11.115            
