A	elt	Z	S(2n)	S(2p)	Q(a)	Q(2B-)	Q(ep)	Q(B-	n)		
1	n	0	*	*	*	*	*	*			
1	H	1	*	*	*	*	*	*			
2	H	1	*	*	*	*	*	*			
3	H	1	8481.79	0	*	*	-13717#	2000#	*	*	
3	He	2	*	7718.04	0	*	*	*	*		
3	Li	3	*	-6800#	2000#	*	*	8242#	2000#	*	
4	H	1	4657.23	100	*	*	-702.06	234.52	*	1618.59	100
4	He	2	*	*	0	0	*	*	-34313#	2000#	
4	Li	3	*	2390.47	212.13	*	*	3084.41	212.13	*	
5	H	1	-1800	89.44	*	*	21213.56	102.47	*	22396.21	89.44
5	He	2	19842.62	20	*	735	20	-25907#	2003#	*	-22163.27
5	Li	3	33131#	2001#	17848.86	50	1965	50	*	-20231.21	111.8
5	Be	4	*	-7630#	2003#	*	*	27425#	2003#	*	
6	H	1	-1111.96	273.09	*	*	27788.84	254.13	*	22573.17	254.91
6	He	2	975.45	0.05	*	*	-782.94	5.45	*	-2158.11	50
6	Li	3	27378.94	212.13	25112.19	100	-1473.76	0	-33233#	2003#	-26094.54
6	Be	4	*	-1372.18	5.45	*	*	-145.17	20.73	*	
6	B	5	*	-7419#	2014#	*	*	28352#	2003#	*	
7	H	1	-100#	1000#	*	*	34228#	1004#	*	23472#	1004#
7	He	2	1300.74	21.38	*	*	10304.13	7.56	*	3914.93	7.56
7	Li	3	12914.42	50	32563.28	89.44	-2467.62	0	-12769.44	25.15	-34257.59
7	Be	4	37512#	2003#	10040.18	20	-1587.13	0.07	*	-9112.07	0.09
7	B	5	*	-1419.72	55.97	-3415#	2000#	*	6300.7	25.15	*
8	He	2	2125.05	0.1	*	*	26668.01	0.1	*	8631.26	0.09
8	Li	3	9283.71	0.05	35507.86	254.13	-6100.24	100	-1975.76	1	-35478#
8	Be	4	29576	5.45	27228.37	0.06	91.84	0.04	-30122.6	18.24	-28420.43
8	B	5	40541#	2003#	5743.25	1	-4826.54	212.13	*	725.49	1
8	C	6	*	-2111.29	19.04	*	*	12006.3	18.24	*	
9	He	2	1279.93	47.42	*	*	29587.37	46.82	*	11918.7	46.82
9	Li	3	6094.84	0.19	38758#	1004#	-10362.46	89.44	12538.41	0.92	*
9	Be	4	20563.18	0.1	29302.61	7.56	-2307.7	20	-17562.52	2.14	-27550.2
9	B	5	31402.7	25.17	17068.56	0.9	-1687.31	50.01	*	-15818.29	0.9
9	C	6	*	1435.97	2.14	-10653#	2003#	*	16680.33	2.14	*
10	He	2	-1444.83	92.85	*	*	36589.66	92.85	*	16170.92	92.85
10	Li	3	4035.81	12.72	*	-11248.01	254.45	21002.01	12.72	*	13632.85
10	Be	4	8476.82	0.09	33580.13	0.12	-7409.52	0.1	-3091.18	0.11	-35617.31
10	B	5	27013.59	1	23473.14	0.05	-4461.19	0.01	-26749.42	400	-20193.26
10	C	6	35508.23	18.24	3820.94	0.08	-5101.28	5.45	*	-2938.75	0.1
10	N	7	*	-1300.52	400	-10945#	2042#	*	19094.57	400	*
11	Li	3	369.28	0.64	*	-10832#	1004#	32060.55	0.61	*	20049.45
11	Be	4	7313.92	0.25	35336.6	46.82	-8320.87	7.56	9527.77	0.25	-36308.95
11	B	5	19891.42	0.9	30865.14	0.19	-8664.31	0.01	-15635.85	46.15	-31673.89
11	C	6	34404.21	2.14	15277	0.1	-7544.52	0.09	*	-9247.06	0.1
11	N	7	*	2690.87	46.16	-5797.91	52.56	*	4963.98	46.15	*
12	Li	3	185.69	32.59	*	*	35640.17	30.04	*	20761.09	30.01
12	Be	4	3672.36	1.91	38697.32	92.87	-8956.84	1.91	25077.76	1.91	*
12	B	5	14823.85	1.32	34261.17	12.79	-10001.32	1.32	-3968.67	1.66	-34647.83
12	C	6	31841.31	0.07	27185.43	0.08	-7366.59	0.04	-31914.61	24	-27466.14
12	N	7	37604.59	400	9290.48	1	-8008.41	1.41	*	1381.39	1
12	O	8	*	-1638	24	-5574.57	30.15	*	13976.25	24	*
13	Li	3	-110	70	*	*	40418.94	70.01	*	23831.81	70.03
13	Be	4	2660.72	10.18	*	-9701.66	47.91	30534.07	10.18	*	12218.36
13	B	5	8248.39	1	38744.25	1.17	-10817.87	1.02	11216.47	1.04	-39736.6
13	C	6	23667.02	0.06	31630.1	0.24	-10648.36	0.08	-19990.42	9.53	-29241.72
13	N	7	35100.71	46.15	17900.17	0.27	-9495.92	0.94	*	-15312.89	1.35
13	O	8	*	2111.91	9.53	-8220.46	9.76	*	15826.46	9.53	*
14	Be	4	1265.9	132.26	*	-11667.56	161.58	36934.61	132.25	*	15321.23
14	B	5	5848.35	21.25	39923.83	36.75	-11813.85	24.74	20800.27	21.21	-40606.17
14	C	6	13122.74	0	36635.81	1.91	-12012.51	0.08	-4987.89	0.03	-37928.15
14	N	7	30617.29	1	25083.92	1.32	-11612.11	0.01	-29100.99	41.12	-20987.5
14	O	8	40049.47	24	6570.16	0.03	-10115.81	0.07	*	-2406.2	0.03
14	F	9	*	-48.39	41.13	-9260.54	402.11	*	19329.95	41.12	*
15	Be	4	-24.1	166.11	*	*	39952.67	165.8	*	18090.81	167.15
15	B	5	3746.34	21.06	42600.59	73.09	-14194.93	21.04	28856.8	21.03	*
15	C	6	9394.5	0.8	38363.87	10.21	-12728.94	0.83	7017.54	0.94	-37370.32
15	N	7	21386.68	0.27	31038.45	1	-10991.18	0.01	-16465.31	14	-30851.22
15	O	8	36402.46	9.54	14847.34	0.49	-10218.71	0.49	-37359.77	66.69	-7453.26
15	F	9	*	3356.67	14	-10161.72	48.23	*	6414.36	14	*
15	Ne	10	*	-2522	66	*	*	24918.62	66.68	*	
16	Be	4	-1350	100	*	*	43753	165.84	*	20417.57	167.13
16	B	5	2693.81	32.46	*	-14321.98	38.78	31428.6	24.68	*	19168.05
16	C	6	5468.39	3.58	40838.31	132.29	-13808.54	4.05	18431.13	3.58	-43420.65
16	N	7	13322.14	2.3	32557.72	21.34	-10110.41	2.65	-4996.35	8.63	-30563.31
16	O	8	28887.42	0.03	22334.84	0	-7161.92	0	-28723.78	20.48	-21899.12
16	F	9	37426.78	41.95	6761.11	8.32	-9082.73	8.38	*	3289.84	8.32
16	Ne	10	*	-1401.05	20.48	-10352.75	31.55	*	13842.2	20.49	*
17	B	5	1384.56	205.18	*	-15689.49	215.77	35846.24	204.65	*	21950.87
17	C	6	4983.88	17.38	43371.86	166.7	-15052.09	20.13	21840.66	17.36	-43704.2
17	N	7	8373.99	15	35666.1	25.83	-11116.78	15.03	5918.38	15	-36531.4
17	O	8	19807	0.49	25259.85	0.8	-6358.69	0	-17309.21	0.35	-21791.87
17	F	9	30757.68	14	12727.68	0.25	-5818.69	0.37	-33221.51	1001.36	-11021.18
17	Ne	10	39857.56	66.68	933.1	0.61	-9039.9	9.53	*	13948.48	0.35
17	Na	11	*	-4028.52	1001.45	*	*	17203.99	1001.39	*	
18	B	5	1462.51	205.64	*	*	38679.47	205.01	*	22689.42	204.9
18	C	6	4917.5	30.21	47105.81	168.49	-17460.15	135.61	25702.08	30	*
18	N	7	8713.37	18.71	38577.28	30.8	-12975.43	28.19	12240.06	18.58	-37892.12
18	O	8	12188.45	0	29054.89	3.58	-6227.62	0	-6100.43	0.36	-29103.68
18	F	9	25949.77	8.33	19388.74	2.35	-4415.22	0.46	-24164.87	93.88	-14285.94
18	Ne	10	34811.8	20.48	4523.33	0.36	-5115.08	0.36	*	-1162.59	0.36
18	Na	11	*	220.21	94.25	-9351.33	102.49	*	15797.32	93.88	*
19	B	5	88.71	563.62	*	*	43913.96	525.62	*	26779.66	526.22
19	C	6	4760.78	99.91	*	-19836.98	192.79	29080.89	98.42	*	11229.27
19	N	7	8156.43	22.23	42437.98	204.76	-15526.88	26.67	17343.73	16.4	-43225.32
19	O	8	12001.01	2.64	32276.98	17.56	-8965.2	2.76	1580.81	2.64	-28875.38
19	F	9	19581.78	0.25	23935.46	15	-4013.8	0	-14416.83	10.54	-21889.58
19	Ne	10	30891.03	0.39	12017.13	0.16	-3528.47	0.52	-30076.34	50	-4754.1
19	Na	11	38386.46	1001.41	3600.25	10.54	-6062.28	17.52	*	4767.31	10.55
19	Mg	12	*	-750	50	-10811.9	83.35	*	19221.8	50	*
20	B	5	-515#	826#	*	*	46683#	804#	*	27965#	806#
20	C	6	3558.34	232.57	*	-22368.49	284.04	33707.39	230.63	*	13575.96
20	N	7	7489.31	81.05	44604.08	218.88	-17770.93	82.63	21783.96	78.89	-45292.72
20	O	8	11563.65	0.88	35701.03	30.01	-12322.88	3.69	10838.1	0.88	-35906.55
20	F	9	17033.21	0.46	27708.57	18.57	-8126.29	2.3	-6868.07	1.11	-23162.72
20	Ne	10	28502.18	0.36	20837.06	0	-4729.84	0	-24519.62	1.86	-17663.76
20	Na	11	34330.02	93.89	8600.45	1.21	-6254.56	8.39	*	1049.08	1.11
20	Mg	12	*	2417.86	1.9	-8934	20.56	*	8436.67	1.87	*
21	B	5	-1417#	1042#	*	*	52098#	910#	*	31755#	929#
21	C	6	2913#	604#	*	*	37581#	596#	*	15805#	601#
21	N	7	6767	135.05	49116.27	542.19	-20909.32	244.19	25279.52	134.06	-50507#
21	O	8	11413.46	12.29	38929.66	99.12	-15394.78	21.11	13793.81	12	-36730.5
21	F	9	14702.79	1.8	30481.83	16.5	-10342.6	15.11	2137.03	1.8	-29103.07
21	Ne	10	23626.46	0.16	23642.57	2.64	-7347.93	0.04	-16635.63	0.76	-16816.92
21	Na	11	31256.66	10.54	15275.13	0.1	-6561.25	0.27	-29175#	596#	-9456.14
21	Mg	12	37067.17	50.01	5426.14	0.77	-8021.51	0.83	*	10656.81	0.75
21	Al	13	*	517#	596#	-10608#	1165#	*	12850#	596#	*
22	C	6	35	20	*	*	44328.16	238.39	*	20307.97	267.5
22	N	7	6144.33	222.25	51263#	827#	-22452.75	291.3	28971.43	208.15	-52854#
22	O	8	10655.77	56.93	42798.47	237.55	-18061.15	64.34	17307.75	56.92	-43649#
22	F	9	13331.8	12.4	33551.06	79.86	-12744.71	22.33	7974.88	12.4	-29727.51
22	Ne	10	17125.42	0.02	26398.83	0.89	-9666.82	0.02	-7624.79	0.31	-23375.72
22	Na	11	28174.75	1.13	19741.99	0.17	-8479.54	0.49	-23383#	401#	-12422.88
22	Mg	12	34020.26	1.89	7935.94	0.31	-8142.46	0.48	-33738#	503#	-1957.13
22	Al	13	*	3227#	401#	-9262#	411#	*	13097#	401#	*
22	Si	14	*	-1283#	503#	*	*	15145#	503#	*	
23	C	6	-2385#	1161#	*	*	49549#	1004#	*	24335#	1018#
23	N	7	4654.12	441.42	55187#	993#	-25474.73	672.97	33435.16	421.89	*
23	O	8	9583.3	122.3	45600#	608#	-20217.3	156.51	19775.42	121.71	-46278.8
23	F	9	12809.77	33.37	36524.59	138.13	-14995.93	37.14	12815.12	33.32	-35768.51
23	Ne	10	15564.91	0.11	27794.02	12	-10911.82	2.64	319.46	0.19	-21726.05
23	Na	11	23487.86	0.1	24060.19	1.8	-10467.32	0	-16277.92	0.34	-19612.2
23	Mg	12	32520	0.77	14319.68	0.16	-9650.48	0.23	-29171#	503#	-4737.76
23	Al	13	36385#	596#	5645.24	0.36	-8606.24	10.54	*	4640.61	0.38
23	Si	14	*	1785#	503#	-10556#	505#	*	16808#	503#	*
24	N	7	969#	451#	*	-23937#	895#	39393#	412#	*	24245#
24	O	8	6925.27	174.42	49688.74	284.2	-21428.08	283.5	24452.05	164.88	-52959#
24	F	9	11391.49	98.45	38798.23	229.59	-16646.9	125.55	15962.42	97.67	-36464.88
24	Ne	10	14069.56	0.51	29812.62	56.92	-12172.73	1.02	7981.92	0.51	-27861.99
24	Na	11	19379.02	0.17	25789.21	12.4	-10825.35	0.03	-8369.04	0.23	-18992.13
24	Mg	12	29676.27	0.31	20486.79	0.02	-9316.55	0.01	-24678.76	19.47	-16068.49
24	Al	13	34393#	401#	9445.3	0.29	-9324.38	1.14	-33368#	503#	2192.02
24	Si	14	38736#	503#	3432.81	19.47	-9157.41	19.56	*	8929.74	19.47
24	P	15	*	-540#	643#	*	*	19282#	503#	*	
25	N	7	-3120#	656#	*	-23772#	1031#	44649#	512#	*	29411#
25	O	8	3434.98	205.1	51420#	1010#	-20739#	619#	29364.53	167.62	*
25	F	9	8093.73	102.04	39964.2	431.49	-16322.66	165.14	20691.98	96.45	-42893#
25	Ne	10	13024.09	29.05	31234.81	125.13	-12522.45	31.43	11157.28	29.05	-27824.87
25	Na	11	15970.59	1.2	27221.02	33.34	-11735.12	2.16	-441.84	1.2	-24191.3
25	Mg	12	23861.9	0.17	22616.68	0.11	-9885.92	0.06	-17020.11	10	-14530.11
25	Al	13	31806.68	0.35	13964.06	0.06	-9156.26	0.12	-28654#	401#	-7787.04
25	Si	14	36013#	503#	5277.1	10	-9501.44	10.03	*	10471.92	10
25	P	15	*	1588#	401#	-9677#	718#	*	12498#	401#	*
26	O	8	-18	5	*	-21375.08	284.25	34179.92	165.98	*	15255.55
26	F	9	5038.27	148	42867#	416#	-15540.84	235.66	25509.66	111.25	-44623#
26	Ne	10	9709.88	18.44	32597.23	165.9	-11226.84	59.83	16695.66	18.43	-34136.88
26	Na	11	14585.51	3.5	28983.24	97.73	-12079.07	12.88	5349.37	3.5	-25483.92
26	Mg	12	18423.61	0.03	24840.84	0.51	-10614.74	0.03	-9073.53	0.11	-21468.01
