Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
2,4,0.97244,0.00076,0.97545,5e-05,*,*,7.168914,6.175707,5.43824,3.987916,5.298802,4.53857,4.504942,*,*
2,6,2.1397,0.00691,2.12505,0.0001,*,*,2.540308,0.97832,0.402399,1.442764,0.772771,1.365737,1.220525,*,*
4,4,29.57591,0.00545,29.576,0.00545,*,*,21.718058,22.598407,22.003544,20.863552,23.464089,22.44397,22.41469,*,*
4,6,8.47764,0.0004,8.47682,9e-05,*,*,15.295801,14.219324,14.519667,14.519215,14.223402,15.098209,15.162113,*,*
4,8,3.6728,0.015,3.67236,0.00191,*,*,5.977038,5.794539,6.157269,6.977888,5.306878,6.376236,6.15174,*,*
4,10,1.26464,0.13309,1.2659,0.13226,*,*,0.574371,*,*,*,*,*,*,*,*
4,12,*,*,*,*,*,*,0.069108,*,*,*,*,*,*,*,*
4,14,*,*,*,*,*,*,0.039936,*,*,*,*,*,*,*,*
6,4,35.53801,0.02307,35.50823,0.01824,*,*,34.145964,35.594818,35.82652,33.380666,36.22666,35.320643,35.522096,*,*
6,6,31.84132,0.0004,31.84131,7e-05,*,*,27.405079,26.705332,27.043863,27.179789,27.584604,29.038014,29.141916,*,*
6,8,13.12274,0.0,13.12274,0.0,*,*,15.429157,16.194465,16.677597,16.575297,15.172257,16.6953,16.723828,*,*
6,10,5.4684,0.00358,5.46839,0.00358,*,*,8.22524,7.484937,6.480224,6.214709,6.961286,5.427899,5.196538,*,*
6,12,4.91058,0.03022,4.9175,0.03021,*,*,6.481444,5.096776,4.081804,4.699483,4.707417,4.034526,4.160286,*,*
6,14,3.5112,0.24104,3.55834,0.23257,*,*,5.862271,3.854029,3.40364,3.95867,3.782776,3.452986,3.643805,*,*
6,16,*,*,0.035,0.02,*,*,3.373341,1.393901,1.255638,2.000231,1.94645,1.855276,1.845152,*,*
8,4,*,*,*,*,*,*,41.371293,43.702197,44.691761,41.0194,42.951865,42.02807,42.589568,*,*
8,6,40.18323,0.01847,40.04947,0.024,*,*,36.504946,36.668763,37.242439,36.382403,37.147539,38.877804,39.218684,*,*
8,8,28.88699,0.00011,28.88742,3e-05,*,*,24.950001,25.933971,26.509316,26.284223,24.813997,27.725897,27.757788,*,*
8,10,12.18715,0.00062,12.18845,0.0,*,*,15.889822,15.579854,14.894964,14.595311,15.331848,14.417721,14.308825,13.81,12.48
8,12,11.56365,0.00088,11.56365,0.00088,*,*,13.714356,12.364289,11.754238,11.782787,12.08073,11.497062,11.868878,11.14,13.85
8,14,10.65594,0.05693,10.65577,0.05693,*,*,12.025834,10.429765,9.994679,10.10954,10.071636,9.59912,10.28141,8.41,10.02
8,16,6.35639,0.243,6.92527,0.17442,*,*,8.422132,7.141333,6.820408,7.074606,7.003687,6.779263,6.757769,4.59,6.41
8,18,*,*,*,*,*,*,2.07616,2.307809,1.994708,2.546163,2.236906,1.450361,0.441707,1.43,0.45
8,20,*,*,*,*,*,*,0.379705,*,*,0.045747,0.287884,*,*,*,0.31
10,4,*,*,*,*,*,*,45.409825,47.588315,48.394996,43.864306,46.247414,44.248891,45.075225,*,*
10,6,*,*,*,*,*,*,43.544543,44.022417,44.664581,42.632595,44.230324,44.397421,44.919294,*,*
10,8,34.82193,0.02048,34.8118,0.02048,*,*,32.51999,33.873285,34.825646,34.330922,33.182906,36.345934,36.472054,*,*
10,10,28.50173,0.00028,28.50218,0.00036,*,*,22.138628,22.380472,22.14354,22.57588,22.742422,23.599165,23.509265,26.44,32.62
10,12,17.12542,2e-05,17.12542,2e-05,*,*,20.465133,18.784961,19.471261,19.286935,19.080734,19.386299,19.455087,17.16,15.31
10,14,14.06944,0.00039,14.06956,0.00051,*,*,16.845146,16.399881,15.207127,15.186183,16.368745,14.545018,14.998527,14.64,14.68
10,16,9.7615,0.02678,9.70988,0.01844,*,*,13.033759,12.45417,12.115023,12.074479,11.876787,11.45636,11.505763,9.64,9.48
10,18,5.32764,0.1491,5.32401,0.12741,*,*,6.339753,6.954125,6.86509,7.082417,6.277665,5.981225,5.149407,6.3,5.19
10,20,4.28521,0.58928,4.16225,0.28289,*,*,4.376636,3.852991,4.069261,4.385873,4.106585,3.649373,3.616435,3.89,4.9
10,22,*,*,*,*,*,*,3.562575,0.99121,*,0.890714,0.869153,0.727002,0.697603,2.83,0.53
10,24,*,*,*,*,*,*,2.961041,1.426942,0.935194,1.343356,1.250896,0.807711,0.777016,0.54,0.14
10,26,*,*,*,*,*,*,1.397825,*,*,*,*,*,*,*,*
10,28,*,*,*,*,*,*,0.27053,*,*,*,*,*,*,*,*
10,32,*,*,*,*,*,*,0.027328,*,*,*,*,*,*,*,*
12,4,*,*,*,*,*,*,49.376357,51.456244,52.505864,47.895908,49.720259,47.675447,48.511425,*,*
12,6,*,*,*,*,*,*,49.110393,49.857734,50.31845,47.83083,49.650965,49.195331,49.966586,*,*
12,8,*,*,*,*,*,*,39.493961,41.0409,42.132228,41.088069,40.112881,43.188399,43.734572,*,*
12,10,34.10995,0.02703,34.02026,0.00189,*,*,29.03841,28.612711,29.913353,30.046289,29.573204,31.23707,30.934065,32.66,33.12
12,12,29.67924,0.00134,29.67627,0.00031,*,*,26.426134,25.822634,26.207551,25.847956,26.032585,26.727103,26.581766,28.24,30.25
12,14,18.42365,3e-05,18.42361,3e-05,*,*,21.584977,21.462352,20.472718,20.690796,22.400436,20.653817,21.04974,19.31,17.76
12,16,14.94669,0.002,14.94694,0.002,*,*,17.502946,17.653414,17.057432,16.918475,16.94886,16.180733,16.222348,14.01,15.99
